TOKEN	IOB
Depuis	O
plusieurs	O
siècles,	O
les	O
humains	O
se	O
livrent	O
à	O
toutes	O
sortes	O
d’observations	O
sur	O
l’infiniment	O
grand	O
et	O
l’infiniment	O
petit	O
grâce	O
à	O
la	O
construction	O
de	O
lentilles,	O
puis	O
de	O
télescopes	O
et	O
de	O
microscopes	O
de	O
plus	O
en	O
plus	O
perfectionnés.	O
Nous	O
devons	O
les	O
premières	O
véritables	O
observations	O
détaillées	O
sur	O
des	O
entités	O
biologiques	O
à	O
Antoni	B-PER
Van	I-PER
Leewenhoek	L-PER
(1632-1723),	O
qui,	O
durant	O
près	O
de	O
quarante	O
ans,	O
glissa	O
sous	O
la	O
lentille	O
de	O
différents	O
microscopes	O
de	O
sa	O
fabrication	O
de	O
nombreux	O
spécimens	O
prélevés	O
dans	O
son	O
environnement	O
immédiat,	O
et	O
découvrit,	O
entre	O
autres,	O
ce	O
qu’il	O
nomma	O
des	O
animalcules	O
Qui	O
sont	O
devenus,	O
dans	O
la	O
terminologie	O
actuelle,	O
des	O
protozoaires.	O
.	O
L’intérêt	O
des	O
humains	O
pour	O
ce	O
qu’ils	O
ne	O
peuvent	O
voir	O
à	O
l’œil	O
nu	O
ne	O
s’est,	O
depuis,	O
jamais	O
démenti.	O
L’observation	O
de	O
l’infiniment	O
petit	O
passionne	O
et	O
ouvre	O
à	O
un	O
univers	O
inconnu,	O
peuplant	O
notre	O
monde	O
d’un	O
nombre	O
prodigieux	O
d’êtres	O
dont	O
l’existence	O
était	O
alors	O
insoupçonnée,	O
les	O
faisant	O
presque	O
naître	O
sous	O
nos	O
yeux.	O
Les	O
bactéries,	O
les	O
virus	O
ou	O
les	O
acariens	O
ont	O
fait	O
leur	O
entrée	O
de	O
cette	O
manière,	O
transformant	O
nos	O
modes	O
de	O
vie	O
de	O
façon	O
drastique.	O
Ainsi,	O
par	O
exemple,	O
furent	O
mises	O
en	O
place	O
au	O
xix	O
e	O
siècle	O
des	O
pratiques	O
d’asepsie,	O
permettant	O
d’améliorer	O
durablement	O
l’hygiène	O
et	O
la	O
santé	O
Sur	O
ce	O
point,	O
voir	O
le	O
très	O
bel	O
ouvrage	O
de	O
Bruno	O
Latour,	O
Pasteur	O
:	O
guerre	O
et	O
paix	O
des	O
microbes	O
(Latour,	O
2001).	O
.	O
Les	O
techniques	O
se	O
développant,	O
nous	O
avons	O
eu	O
accès	O
à	O
des	O
détails	O
de	O
plus	O
en	O
plus	O
précis	O
du	O
vivant,	O
en	O
particulier	O
aux	O
structures	O
internes	O
des	O
cellules,	O
et	O
nous	O
avons	O
pu	O
comprendre	O
le	O
fonctionnement	O
de	O
nombreux	O
mécanismes.	O
Ici	O
encore,	O
les	O
conséquences	O
ont	O
été	O
nombreuses	O
:	O
transformation	O
de	O
notre	O
perception	O
du	O
corps,	O
de	O
la	O
maladie,	O
de	O
la	O
reproduction,	O
développement	O
de	O
nouvelles	O
techniques,	O
de	O
secteurs	O
d’activités,	O
etc.	O
Les	O
conséquences	O
de	O
l’utilisation	O
du	O
microscope	O
sont	O
visibles	O
jusque	O
dans	O
le	O
développement	O
de	O
l’imaginaire	O
visuel	O
:	O
quiconque	O
a	O
eu	O
un	O
jour	O
l’occasion	O
de	O
voir	O
le	O
documentaire	O
Microcosmos	O
a	O
pu	O
se	O
faire	O
la	O
réflexion	O
que	O
les	O
cinéastes	O
et	O
les	O
scénaristes	O
n’avaient	O
pas	O
dû	O
aller	O
chercher	O
plus	O
loin	O
pour	O
créer	O
les	O
monstres	O
qui	O
apparaissent	O
dans	O
les	O
nombreux	O
films	O
à	O
gros	O
budget	O
produits	O
par	O
Hollywood.	O
Microscope	O
avec	O
éclairage	O
artificiel	O
de	O
la	O
table	O
de	O
l’objectif	O
(début	O
du	O
xvii	O
e	O
siècle).	O
La	O
quantité	O
disponible	O
de	O
clichés	O
pris	O
au	O
microscope,	O
que	O
l’on	O
peut	O
voir	O
dans	O
les	O
revues	O
spécialisées	O
ou	O
même	O
grand	O
public,	O
et	O
la	O
facilité	O
à	O
se	O
procurer	O
un	O
de	O
ces	O
appareils	O
–	O
beaucoup	O
d’enfants	O
ont	O
reçu	O
le	O
nécessaire	O
du	O
petit	O
microscopiste	O
pour	O
Noël	O
–	O
nous	O
conduisent	O
ainsi	O
à	O
concevoir	O
l’observation	O
au	O
microscope	O
comme	O
une	O
activité	O
relativement	O
évidente.	O
Et,	O
en	O
effet,	O
la	O
chaîne	O
d’actions	O
en	O
microscopie	O
peut	O
paraître,	O
au	O
premier	O
abord,	O
assez	O
simple	O
:	O
un	O
sujet	O
prélevant,	O
dans	O
la	O
nature,	O
un	O
objet	O
biologique	O
à	O
connaître,	O
le	O
plaçant	O
sous	O
la	O
lentille	O
de	O
l’instrument	O
et	O
se	O
livrant	O
à	O
quelques	O
réglages	O
de	O
façon	O
à	O
obtenir	O
une	O
image	O
la	O
plus	O
nette	O
possible.	O
Le	O
rapport	O
entre	O
le	O
sujet	O
et	O
l’objet	O
semble	O
donc	O
direct,	O
avec	O
le	O
microscope	O
pour	O
seul	O
intermédiaire.	O
À	O
y	O
regarder	O
de	O
plus	O
près	O
cependant,	O
en	O
réglant	O
nous-mêmes	O
la	O
focale	O
de	O
façon	O
à	O
entrer	O
dans	O
le	O
détail	O
des	O
pratiques,	O
nous	O
découvrons	O
que	O
les	O
choses	O
sont	O
bien	O
plus	O
complexes.	O
Observer	O
une	O
entité	O
biologique,	O
quelle	O
qu’elle	O
soit,	O
ne	O
se	O
limite	O
pas,	O
loin	O
s’en	O
faut,	O
à	O
ce	O
résumé	O
assez	O
caricatural,	O
comme	O
nous	O
proposons	O
de	O
le	O
montrer	O
ici	O
en	O
décrivant	O
une	O
partie	O
substantielle	O
de	O
l’activité	O
d’une	O
biologiste	O
cellulaire	O
travaillant,	O
en	O
laboratoire,	O
à	O
la	O
production	O
de	O
connaissances	O
sur	O
un	O
organisme	O
unicellulaire,	O
la	O
levure	O
Saccharomyces	O
cerevisiae	O
,	O
à	O
