TOKEN	IOB
Inventé	O
il	O
y	O
a	O
soixante	O
ans,	O
l’ordinateur	O
est	O
devenu	O
personnel	O
il	O
y	O
a	O
vingt-cinq	O
ans	O
à	O
peine,	O
et	O
sa	O
mise	O
en	O
réseau	O
généralisée,	O
avec	O
le	O
Web,	O
a	O
commencé	O
il	O
y	O
a	O
quinze	O
ans.	O
Ces	O
développements	O
technologiques	O
ont	O
permis	O
la	O
création	O
de	O
dispositifs	O
d’interaction	O
rendant	O
les	O
ordinateurs	O
accessibles	O
aux	O
non-spécialistes,	O
tels	O
que	O
les	O
notions	O
désormais	O
familières	O
de	O
fenêtre,	O
d’icône,	O
de	O
menu,	O
de	O
document.	O
Ils	O
ont	O
engendré	O
des	O
mutations	O
profondes	O
dans	O
nos	O
modes	O
d’accès	O
à	O
l’information,	O
dont	O
les	O
plus	O
marquantes	O
concernent	O
le	O
travail	O
savant.	O
L’un	O
des	O
meilleurs	O
exemples	O
de	O
ces	O
mutations	O
est	O
sans	O
doute	O
l’évolution	O
des	O
pratiques	O
de	O
l’enseignement	O
à	O
l’école	O
et	O
à	O
l’université	O
:	O
dématérialisation	O
progressive	O
des	O
cahiers	O
et	O
des	O
manuels	O
scolaires,	O
mise	O
en	O
ligne	O
des	O
cours	O
et	O
des	O
travaux	O
dirigés,	O
généralisation	O
des	O
Environnements	O
Numériques	O
de	O
Travail,	O
mise	O
en	O
réseau	O
des	O
savoirs	O
et	O
des	O
compétences	O
à	O
travers	O
les	O
outils	O
d’intelligence	O
collective,	O
etc.	O
Le	O
monde	O
de	O
l’éducation,	O
traditionnellement	O
lent	O
dans	O
la	O
mise	O
en	O
œuvre	O
de	O
nouvelles	O
technologies,	O
s’approprie	O
d’autres	O
façons	O
d’apprendre,	O
modifie	O
le	O
bagage	O
intellectuel	O
des	O
élèves	O
concernant	O
les	O
moyens	O
et	O
les	O
méthodes	O
d’accès	O
à	O
la	O
connaissance	O
et	O
scelle	O
ainsi	O
la	O
transition	O
de	O
la	O
société	O
industrielle	O
vers	O
la	O
société	O
de	O
l’information.	O
L’objet	O
de	O
ce	O
chapitre	O
est	O
d’examiner	O
quelques	O
étapes	O
remarquables	O
dans	O
l’évolution	O
des	O
interfaces	O
informatiques	O
pour	O
la	O
manipulation	O
et	O
l’organisation	O
d’informations	O
complexes.	O
Il	O
vise	O
notamment	O
à	O
identifier	O
les	O
concepts	O
fondateurs	O
qui	O
se	O
sont	O
imposés	O
dans	O
les	O
systèmes	O
commerciaux	O
d’aujourd’hui	O
ainsi	O
que	O
les	O
directions	O
actuelles	O
de	O
recherche	O
qui	O
alimenteront	O
les	O
futurs	O
dispositifs.	O
La	O
présentation,	O
essentiellement	O
chronologique,	O
est	O
articulée	O
autour	O
de	O
cinq	O
grands	O
moments	O
:	O
la	O
vision	O
de	O
Doug	B-PER
Engelbart	L-PER
du	O
rôle	O
des	O
ordinateurs	O
dans	O
le	O
développement	O
de	O
l’intelligence	O
collective	O
;	O
l’essor	O
et	O
la	O
généralisation	O
de	O
l’informatique	O
personnelle	O
avec	O
le	O
Xerox	O
Star	O
puis	O
le	O
