TOKEN	IOB
Depuis	O
que	O
l’écriture	O
chinoise	O
est	O
devenue	O
un	O
art	O
au	O
tournant	O
de	O
notre	O
ère,	O
une	O
calligraphie	O
se	O
réalise	O
toujours	O
de	O
la	O
même	O
façon,	O
selon	O
des	O
étapes	O
qui	O
ne	O
suivent	O
pas	O
nécessairement	O
un	O
ordre	O
chronologique,	O
puisque	O
certaines	O
d’entre	O
elles	O
peuvent	O
être	O
concomitantes.	O
Cependant,	O
une	O
présentation	O
linéaire	O
requiert	O
cette	O
forme	O
de	O
hiérarchisation,	O
par	O
souci	O
de	O
clarté.	O
On	O
peut	O
relever	O
huit	O
phases	O
dans	O
la	O
réalisation	O
d’une	O
calligraphie	O
:	O
a	O
préparation	O
mentale	O
;	O
s	O
circonstances	O
favorables	O
ou	O
défavorables	O
;	O
matériel	O
:	O
le	O
pinceau,	O
l’encre,	O
la	O
pierre-à-encre,	O
le	O
papier	O
;	O
tenue	O
du	O
pinceau	O
;	O
choix	O
du	O
texte	O
à	O
rédiger,	O
le	O
choix	O
du	O
style	O
en	O
fonction	O
de	O
la	O
destination	O
du	O
texte	O
;	O
copie	O
et	O
l’appréciation	O
;	O
composition	O
;	O
effet	O
visuel	O
et	O
le	O
rôle	O
de	O
l’art	O
de	O
l’écriture.	O
Le	O
texte	O
principal	O
de	O
référence,	O
le	O
Traité	O
de	O
calligraphie	O
(687)	O
de	O
Sun	O
Guoting	O
(648	O
?-702	O
?),	O
est	O
à	O
la	O
fois	O
un	O
traité	O
théorique	O
et	O
un	O
chef-d’œuvre	O
calligraphique.	O
Ce	O
manuscrit	O
aborde	O
la	O
plupart	O
des	O
points	O
sus-mentionnés	O
;	O
pour	O
ceux	O
qu’il	O
ne	O
traite	O
pas,	O
il	O
est	O
fait	O
appel	O
à	O
des	O
textes	O
reconnus	O
et	O
dont	O
l’enseignement	O
sert	O
encore	O
de	O
référence	O
communément	O
de	O
nos	O
jours.	O
1.	O
La	O
préparation	O
mentale	O
Cai	B-PER
Yong	L-PER
(133-192),	O
haut	O
fonctionnaire,	O
lettré	O
et	O
calligraphe	O
célèbre	O
des	O
Han	O
orientaux,	O
auteur	O
de	O
l’un	O
des	O
essais	O
les	O
plus	O
anciens	O
sur	O
l’art	O
de	O
l’écriture,	O
introduit	O
à	O
cette	O
étape	O
fondamentale	O
qui	O
se	O
place	O
bien	O
en	O
amont	O
du	O
geste	O
calligraphique	O
mais	O
sans	O
laquelle	O
ce	O
geste	O
ne	O
peut	O
se	O
dérouler	O
de	O
façon	O
satisfaisante	O
:	O
Celui	O
qui	O
calligraphie	O
doit	O
être	O
relâché.	O
Lorsqu’on	O
désire	O
calligraphier,	O
il	O
faut	O
d’abord	O
être	O
détendu,	O
à	O
l’aise	O
et	O
ne	O
pas	O
ressentir	O
de	O
contrainte,	O
alors	O
on	O
peut	O
écrire	O
;	O
même	O
[le	O
pinceau	O
idéal]	O
en	O
poils	O
de	O
lapin	O
du	O
mont	O
Zhongshan	O
[Anhui]	O
ne	O
permet	O
rien	O
de	O
bon	O
si	O
l’on	O
est	O
tenu	O
par	O
des	O
contingences.	O
Pour	O
calligraphier,	O
il	O
faut	O
s’asseoir	O
en	O
silence	O
et	O
méditer	O
profondément	O
;	O
il	O
convient	O
de	O
réfléchir	O
à	O
son	O
intention	O
(yi),	O
sans	O
une	O
parole,	O
sans	O
respirer	O
à	O
fond,	O
avec	O
une	O
contenance	O
concentrée,	O
comme	O
si	O
l’on	O
faisait	O
face	O
à	O
l’empereur,	O
alors	O
tout	O
[ce	O
que	O
l’on	O
va	O
se	O
mettre	O
à	O
écrire]	O
sera	O
excellent	O
Sur	O
le	O
pinceau	O
(Bi	O
lun).	O
Voir	O
Escande,	O
2003,	O
p.	O
87,	O
89.	O
.	O
Les	O
calligraphes	O
se	O
mettent	O
habituellement	O
en	O
état	O
de	O
méditer	O
en	O
frottant	O
le	O
bâton	O
d’encre	O
sur	O
la	O
pierre-à-encre	O
préalablement	O
remplie	O
d’eau,	O
afin	O
de	O
préparer	O
la	O
pâte	O
nécessaire	O
à	O
l’écriture.	O
En	O
fonction	O
de	O
la	O
texture	O
et	O
de	O
la	O
quantité	O
requises,	O
de	O
quinze	O
