TOKEN	IOB
Dans	O
l’esprit	O
des	O
anciens	O
Mésopotamiens,	O
les	O
dieux	O
sont	O
les	O
uniques	O
détenteurs	O
des	O
registres	O
de	O
la	O
connaissance	O
et,	O
s’ils	O
acceptent	O
de	O
les	O
transmettre	O
aux	O
humains,	O
ils	O
se	O
réservent	O
de	O
ne	O
le	O
faire	O
qu’à	O
certains	O
hommes	O
qu’ils	O
choisissent	O
pour	O
leur	O
dévotion.	O
Les	O
lettrés	O
sont	O
de	O
ce	O
nombre.	O
C’est	O
cette	O
complicité	O
même,	O
la	O
détention	O
en	O
commun	O
d’un	O
savoir	O
secret	O
Glassner,	O
2005,	O
p.	O
483-485.	O
,	O
inaccessible	O
au	O
commun	O
des	O
mortels,	O
qui	O
fait	O
leur	O
force	O
et	O
légitime	O
leur	O
position	O
dans	O
la	O
société.	O
Semblable	O
conception	O
ne	O
laisse	O
guère	O
de	O
place	O
à	O
la	O
création	O
humaine	O
;	O
et,	O
de	O
fait,	O
la	O
Mésopotamie	U-LOC
ignore	O
la	O
notion	O
d’auteur	O
telle	O
que	O
nous	O
l’entendons	O
de	O
nos	O
jours.	O
Ceux	O
dont	O
les	O
noms	O
ont	O
survécu	O
jusqu’à	O
nous,	O
comme	O
Enhéduana	U-PER
,	O
une	O
princesse	O
royale	O
qui	O
vécut	O
au	O
xxiii	O
e	O
siècle	O
et	O
à	O
laquelle	O
on	O
attribue	O
des	O
collections	O
d’hymnes	O
et	O
de	O
prières,	O
ou	O
Kabti-ilî-Marduk	U-PER
,	O
qui	O
composa	O
le	O
mythe	O
d’	O
Erra	U-PER
,	O
peut-être	O
au	O
ix	O
e	O
siècle,	O
ne	O
se	O
qualifient-ils	O
pas	O
eux-mêmes	O
de	O
«	O
compilateurs	O
»	O
?	O
Le	O
second	O
précise	O
qu’il	O
est	O
«	O
le	O
compilateur	O
de	O
son	O
œuvre	O
»,	O
une	O
expression	O
où	O
le	O
pronom	O
possessif	O
renvoie	O
à	O
la	O
personne	O
du	O
dieu	O
Ishum	U-PER
,	O
celui	O
qui	O
lui	O
révéla	O
la	O
narration,	O
au	O
cours	O
d’un	O
rêve,	O
lui-même	O
la	O
récitant,	O
à	O
son	O
réveil	O
Glassner,	O
2001a,	O
p.	O
111-115.	O
.	O
En	O
Mésopotamie	U-LOC
,	O
une	O
œuvre	O
n’est	O
pas	O
assignée	O
à	O
son	O
auteur,	O
mais	O
à	O
la	O
source	O
de	O
l’inspiration	O
dont	O
il	O
est	O
transi.	O
S’agissant	O
de	O
la	O
science	O
divinatoire,	O
les	O
dieux	O
en	O
dévoilent	O
les	O
principes	O
et	O
les	O
méthodes	O
à	O
Enméduranki	U-PER
,	O
une	O
figure	O
légendaire,	O
un	O
roi	O
antédiluvien	O
de	O
la	O
ville	O
de	O
Sippar	U-LOC
.	O
Une	O
source	O
assyrienne	O
décrit	O
la	O
scène	O
:	O
Shamash	U-PER
dans	O
l’Ébabbar	O
[distingua]	O
Enméduranki,	O
le	O
roi	O
de	O
Sippar	U-LOC
,	O
l’aimé	O
d’Anum,	O
d’	O
Enlil	U-PER
[et	O
d’Éa].	O
Shamash	U-PER
et	O
Adad	U-PER
[l’introduisirent]	O
dans	O
leur	O
assemblée,	O
l’honorèrent	O
et	O
[le	O
firent	O
asseoir]	O
devant	O
[eux]	O
sur	O
un	O
trône	O
d’or.	O
Ils	O
lui	O
[montr]èrent	O
comment	O
observer	O
l’huile	O
sur	O
l’eau,	O
un	O
mystère	O
d’Anum,	O
[d’Enlil	O
et	O
d’Éa],	O
ils	O
lui	O
confièrent	O
la	O
tablette	O
des	O
dieux,	O
les	O
viscères,	O
un	O
secret	O
du	O
ciel	O
et	O
de	O
la	O
terre	O
inférieure,	O
ils	O
placèrent	O
dans	O
ses	O
mains	O
le	O
bois	O
de	O
cèdre,	O
aimé	O
des	O
grands	O
dieux	O
Lambert,	O
1998,	O
p.	O
158-161.	O
.	O
Une	O
fois	O
en	O
charge	O
du	O
savoir	O
qui	O
lui	O
est	O
ainsi	O
délivré	O
et	O
qui	O
est	O
caractérisé	O
par	O
le	O
secret,	O
le	O
détenteur	O
humain	O
s’engage	O
à	O
le	O
protéger	O
et	O
à	O
ne	O
le	O
transmettre	O
qu’aux	O
personnes	O
dignes	O
de	O
le	O
recevoir	O
et	O
que	O
les	O
sources	O
désignent	O
sous	O
le	O
terme	O
d’initiés,	O
en	O
d’autres	O
termes	O
à	O
ses	O
élèves	O
qui	O
sont	O
passés	O
par	O
l’école	O
et	O
dont	O
les	O
connaissances	O
et	O
l’érudition	O
ont	O
été	O
dûment	O
évaluées.	O
Les	O
non-initiés,	O
qui	O
ne	O
sont	O
pas	O
passés	O
par	O
l’école	O
et	O
dont	O
les	O
connaissances	O
n’ont	O
pu	O
être	O
évaluées	O
par	O
les	O
instances	O
académiques	O
chargées	O
de	O
veiller	O
au	O
bon	O
usage	O
des	O
savoirs,	O
sont	O
écartés,	O
leur	O
manque	O
d’érudition	O
leur	O
interdisant	O
l’accès	O
à	O
la	O
vérité	O
de	O
la	O
chose	O
enseignée	O
et	O
menaçant	O
de	O
les	O
conduire	O
à	O
des	O
abus	O
d’interprétation.	O
La	O
même	O
source	O
assyrienne	O
de	O
poursuivre	O
:	O
Lui-même,	O
ensuite,	O
suivant	O
leur	O
commandement,	O
fit	O
entrer	O
en	O
sa	O
présence	O
les	O
gens	O
des	O
villes	O
de	O
Nippur,	O
de	O
Sippar	U-LOC
et	O
de	O
Babylone	U-LOC
,	O
les	O
honora	O
et	O
les	O
fit	O
asseoir	O
devant	O
lui	O
sur	O
des	O
trônes.	O
Il	O
leur	O
montra	O
comment	O
observer	O
l’huile	O
sur	O
l’eau,	O
un	O
mystère	O
d’Anum,	O
d’	O
Enlil	U-PER
et	O
d’Éa,	O
et	O
il	O
leur	O
confia	O
la	O
tablette	O
des	O
dieux,	O
les	O
viscères,	O
un	O
secret	O
du	O
ciel	O
et	O
de	O
la	O
terre	O
inférieure,	O
et	O
il	O
plaça	O
dans	O
leurs	O
mains	O
le	O
bois	O
de	O
cèdre,	O
aimé	O
des	O
grands	O
dieux.	O
U-LB	
Le	O
sage	O
érudit,	O
qui	O
garde	O
les	O
secrets	O
des	O
grands	O
dieux,	O
liera	O
par	O
un	O
serment	O
prêté	O
sur	O
la	O
tablette	O
et	O
le	O
calame,	O
par-devant	O
Shamash	U-PER
et	O
Adad	U-PER
,	O
le	O
fils	O
qu’il	O
aime,	O
et	O
il	O
lui	O
enseignera	O
la	O
tablette	O
des	O
dieux,	O
les	O
viscères,	O
un	O
mystère	O
du	O
ciel	O
et	O
de	O
la	O
terre	O
inférieure,	O
l’observation	O
de	O
l’huile	O
sur	O
l’eau,	O
un	O
secret	O
d’Anu,	O
d’	O
Enlil	U-PER
et	O
d’Éa,	O
le	O
recueil	O
d’astrologie	O
Enûma	O
Anu	O
Enlil	O
avec	O
son	O
commentaire	O
et	O
l’évaluation	O
des	O
valeurs	O
(omineuses).	O
U-LB	
Le	O
devin,	O
l’expert	O
en	O
huile,	O
d’antique	O
ascendance,	O
le	O
rejeton	O
d’Enméduranki,	O
le	O
roi	O
de	O
Sippar	U-LOC
,	O
[…]	O
engendré	O
par	O
un	O
prêtre	O
de	O
vénérable	O
ascendance,	O
étant	O
lui-même	O
parfait	O
pour	O
ce	O
qui	O
est	O
du	O
corps	O
et	O
des	O
membres,	O
il	O
peut	O
entrer	O
en	O
présence	O
de	O
Shamash	U-PER
et	O
d’	O
Adad	U-PER
,	O
au	O
lieu	O
de	O
l’inspection	O
et	O
du	O
verdict.	O
Outre	O
le	O
fait	O
que	O
la	O
transmission	O
du	O
savoir	O
n’est	O
autorisée	O
qu’à	O
des	O
personnes	O
dont	O
il	O
est	O
exigé	O
l’intégrité	O
corporelle	O
et	O
la	O
pureté	O
rituelle,	O
il	O
ressort	O
de	O
ce	O
document	O
que	O
la	O
transmission	O
se	O
fait,	O
idéalement,	O
de	O
père	O
en	O
fils,	O
ce	O
dernier	O
étant	O
tenu	O
au	O
secret	O
par	O
une	O
prestation	O
de	O
serment.	O
Or,	O
ce	O
principe,	O
affirmé	O
avec	O
force	O
et	O
maintes	O
fois	O
énoncé,	O
trouve	O
un	O
équivalent	O
dans	O
la	O
vie	O
sociale.	O
Dès	O
le	O
moment	O
où	O
l’état	O
de	O
la	O
documentation	O
le	O
permet,	O
on	O
découvre	O
en	O
effet	O
l’existence,	O
en	O
Mésopotamie	U-LOC
,	O
d’importants	O
lignages	O
de	O
lettrés	O
qui	O
se	O
transmettent	O
leurs	O
savoirs	O
de	O
génération	O
en	O
génération.	O
Une	O
transmission	O
héréditaire	O
Dans	O
le	O
sud	O
de	O
la	O
Babylonie,	O
à	O
Uruk	U-LOC
,	O
à	O
l’époque	O
séleucide,	O
on	O
est	O
en	O
mesure	O
d’identifier	O
une	O
lignée	O
de	O
scribes,	O
notaires	O
et	O
lettrés,	O
qui	O
dure	O
non	O
moins	O
de	O
dix	O
générations,	O
depuis	O
le	O
règne	O
de	O
Séleucos	B-PER
Ier	L-PER
(305-281)	O
jusqu’à	O
celui	O
de	O
Démétrios	B-PER
II	L-PER
(145-139)	O
Hunger,	O
1968,	O
p.	O
17.	O
.	O
Tableau	O
no	O
1	O
:	O
une	O
famille	O
de	O
lettrés	O
d’Uruk	O
Quittons	O
la	O
Babylonie	O
séleucide	O
pour	O
gagner,	O
l’une	O
après	O
l’autre,	O
la	O
Syrie	U-LOC
du	O
Nord	O
durant	O
la	O
seconde	O
moitié	O
du	O
IIe	O
millénaire,	O
et	O
l’	O
Assyrie	U-LOC
de	O
la	O
première	O
moitié	O
du	O
Ier	O
millénaire.	O
En	O
Syrie	U-LOC
du	O
Nord,	O
à	O
Emar	U-LOC
,	O
les	O
membres	O
d’une	O
même	O
famille	O
exercent	O
pendant	O
trois	O
générations	O
successives	O
la	O
fonction	O
de	O
«	O
devin	O
de	O
tous	O
les	O
dieux	O
»	O
de	O
la	O
ville	O
Fleming,	O
2000,	O
p.	O
43-47.	O
;	O
le	O
fondateur	O
de	O
la	O
lignée	O
est	O
un	O
certain	O
Zû-Ba‘la	U-PER
,	O
le	O
fils	O
d’	O
Adda-malik	U-PER
.	O
Tableau	O
nº	O
2	O
:	O
la	O
famille	O
de	O
Ba‘la-malik,	O
devin	O
de	O
tous	O
les	O
dieux	O
d’Emar	O
En	O
Assyrie	U-LOC
,	O
dans	O
la	O
ville	O
d’	O
Assur	U-LOC
,	O
deux	O
jeunes	O
apprentis	O
scribes	O
rappellent	O
non	O
sans	O
fierté	O
les	O
lignées	O
dont	O
ils	O
sont	O
issus	O
:	O
–	O
Shumma-balât,	O
le	O
jeune	O
apprenti	O
scribe,	O
le	O
fils	O
de	O
Nabû-aha-iddina,	O
le	O
scribe	O
d’Assur,	O
le	O
fils	O
de	O
Nabû-shuma-ibni,	O
le	O
scribe	O
d’Assur,	O
le	O
fils	O
de	O
Nabû-rê’ûshunu,	O
le	O
scribe	O
d’Assur,	O
le	O
fils	O
de	O
Nabû-bâni,	O
le	O
scribe	O
d’Assur,	O
le	O
descendant	O
de	O
Dâdiyû,	O
le	O
scribe	O
d’Assur.	O
U-LB	
–	O
Nabû-zêru-lêshir,	O
le	O
jeune	O
apprenti	O
scribe,	O
le	O
fils	O
de	O
Nabû-[…],	O
le	O
scribe,	O
le	O
fils	O
de	O
[…]-Assur,	O
le	O
scribe,	O
le	O
fils	O
de	O
[…]-shuma-êresh,	O
le	O
scribe,	O
le	O
fils	O
de	O
[…],	O
le	O
scribe,	O
le	O
fils	O
de	O
Dâdiyû,	O
le	O
scribe	O
du	O
temple	O
et	O
du	O
palais	O
Hunger,	O
1968,	O
nos	O
246	O
et	O
235	O
.	O
Où	O
l’on	O
découvre	O
que	O
les	O
deux	O
apprentis	O
scribes	O
appartiennent	O
à	O
un	O
même	O
lignage	O
!	O
Toujours	O
à	O
Assur	U-LOC
,	O
on	O
connaît	O
bien	O
la	O
maison	O
de	O
l’exorciste	O
Kisir-Nabû	U-PER
(seconde	O
moitié	O
du	O
vii	O
e	O
siècle).	O
Protégée	O
par	O
un	O
nombre	O
impressionnant	O
de	O
figurines	O
apotropaïques	O
ensevelies	O
dans	O
le	O
sol,	O
elle	O
contenait	O
une	O
importante	O
bibliothèque	O
de	O
plus	O
de	O
six	O
cents	O
ouvrages.	O
Or,	O
Kisir-Nabû	U-PER
est	O
le	O
dernier	O
représentant	O
connu	O
d’une	O
lignée	O
d’exorcistes	O
affectés	O
au	O
temple	O
du	O
dieu	O
Assur	U-PER
Pedersén,	O
1986,	O
p.	O
41-76.	O
,	O
dans	O
la	O
ville	O
homonyme,	O
une	O
fonction	O
dans	O
laquelle	O
il	O
succède	O
à	O
son	O
père,	O
son	O
oncle	O
et	O
son	O
grand-père,	O
son	O
arrière-grand-père,	O
préposé	O
à	O
la	O
garde	O
des	O
trésors.	O
Tableau	O
nº	O
3	O
:	O
la	O
famille	O
de	O
Kisir-Nabû	O
Certains	O
lettrés	O
entretiennent	O
des	O
relations	O
privilégiées	O
avec	O
le	O
pouvoir	O
politique.	O
On	O
connaît	O
relativement	O
bien	O
ceux	O
qui	O
servent	O
dans	O
les	O
palais	O
assyriens	O
de	O
Kalah	U-LOC
et	O
de	O
Ninive	U-LOC
aux	O
viii	O
e	O
et	O
vii	O
e	O
siècles,	O
sous	O
les	O
règnes	O
d’	O
Assarhaddon	U-PER
(680-669)	O
et	O
d’	O
Assurbanipal	U-PER
(668-631).	O
Ce	O
sont	O
autant	O
d’astrologues,	O
d’aruspices,	O
de	O
médecins	O
et	O
de	O
chantres.	O
Leur	O
titulature	O
reflète,	O
au	O
moins	O
en	O
partie,	O
le	O
haut	O
degré	O
de	O
qualification	O
qui	O
est	O
le	O
leur	O
:	O
chef	O
des	O
exorcistes	O
du	O
palais,	O
chef	O
des	O
médecins,	O
chef	O
des	O
scribes	O
et	O
astrologues,	O
exorciste	O
attaché	O
à	O
la	O
personne	O
du	O
roi,	O
etc.	O
Au	O
premier	O
rang	O
de	O
ces	O
hauts	O
personnages	O
figurent	O
les	O
ummânu,	O
les	O
«	O
maîtres	O
».	O
Ce	O
sont	O
des	O
hommes	O
qui	O
sont	O
arrivés	O
au	O
sommet	O
de	O
leur	O
carrière,	O
qui	O
ont	O
élèves	O
et	O
disciples,	O
dont	O
les	O
paroles	O
et	O
l’enseignement	O
font	O
référence.	O
Ils	O
peuvent	O
avoir	O
sous	O
leurs	O
ordres	O
d’autres	O
lettrés.	O
Ils	O
passent	O
eux-mêmes	O
une	O
grande	O
partie	O
de	O
leur	O
existence	O
à	O
composer,	O
à	O
écrire	O
et	O
à	O
copier	O
des	O
ouvrages.	O
Leur	O
culture	O
est	O
encyclopédique.	O
C’est	O
pour	O
toutes	O
ces	O
raisons	O
que	O
les	O
monarques	O
les	O
prennent	O
à	O
leur	O
service	O
;	O
ils	O
en	O
sont,	O
à	O
la	O
fois,	O
les	O
conseillers	O
privés,	O
les	O
chapelains,	O
les	O
précepteurs	O
et	O
les	O
directeurs	O
de	O
conscience.	O
Une	O
tradition	O
solidement	O
établie	O
voit	O
en	O
eux	O
les	O
successeurs	O
des	O
sept	O
sages	O
antédiluviens,	O
les	O
apkallu	O
,	O
qui	O
apportèrent	O
la	O
civilisation	O
à	O
l’humanité.	O
Le	O
plus	O
connu	O
et	O
le	O
premier	O
d’entre	O
eux	O
est	O
Adapa-Uana	U-PER
,	O
l’	O
Oannès	U-PER
de	O
Bérose	O
Reiner,	O
1961.	O
.	O
En	O
l’état	O
des	O
sources,	O
la	O
présence	O
d’un	O
apkallu	O
ou	O
d’un	O
ummânu	O
auprès	O
d’un	O
monarque	O
n’est	O
pas	O
vérifiée	O
antérieurement	O
au	O
règne	O
de	O
Hammurabi	U-PER
de	O
Babylone	U-LOC
(1792-1750).	O
On	O
peut	O
douter,	O
en	O
effet,	O
de	O
l’historicité	O
d’autres	O
noms	O
associés	O
par	O
des	O
traditions	O
confuses	O
à	O
des	O
souverains	O
du	O
IIIe	O
et	O
du	O
début	O
du	O
IIe	O
millénaire	O
Reiner,	O
1961,	O
p.	O
10.	O
.	O
Les	O
noms	O
de	O
certains	O
ummânu	O
peuvent	O
aller	O
jusqu’à	O
figurer	O
dans	O
des	O
listes	O
royales.	O
Une	O
liste	O
synchronique	O
égrène,	O
dans	O
l’ordre	O
chronologique,	O
les	O
noms	O
des	O
rois	O
d’	O
Assyrie	U-LOC
et	O
de	O
Babylonie,	O
depuis	O
le	O
règne	O
d’	O
Êrishu	B-PER
Ier	L-PER
(datation	O
non	O
assurée)	O
jusqu’à	O
celui	O
d’	O
Assurbanipal	U-PER
en	O
Assyrie	U-LOC
,	O
depuis	O
celui	O
de	O
Sumu-lâ-El	U-PER
(1880-1845)	O
jusqu’à	O
celui	O
de	O
Kandalânu	U-PER
(647-627)	O
en	O
Babylonie.	O
À	O
partir	O
du	O
xi	O
e	O
siècle,	O
elle	O
associe	O
aux	O
noms	O
des	O
souverains	O
ceux	O
des	O
sages	O
qui	O
en	O
sont	O
les	O
maîtres	O
et	O
les	O
conseillers.	O
Étant	O
donné	O
l’état	O
fragmentaire	O
de	O
la	O
source,	O
seuls	O
les	O
noms	O
de	O
quelques-uns	O
d’entre	O
eux	O
nous	O
sont	O
parvenus,	O
ainsi	O
Qaliyâ,	O
ummânu	O
auprès	O
du	O
roi	O
de	O
Babylone	B-LOC
Shamashmudammiq	L-PER
(	O
?-900),	O
Gabbu-ilâni-êresh	U-PER
auprès	O
des	O
rois	O
assyriens	O
Tukultî-Ninurta	B-PER
II	L-PER
(890-884)	O
et	O
Assurnasirpal	B-PER
II	L-PER
(883-859),	O
[…]-haia	O
auprès	O
de	O
Salmanasar	B-PER
III	L-PER
(858-824),	O
Nabûapla-iddina	U-PER
,	O
Bêl-upahhir	U-PER
et	O
Kalbu	U-PER
auprès	O
de	O
Sennachérib	U-PER
(704-681),	O
Nabû-zêru-lêshir	U-PER
et	O
Issâr-shumu-êresh	U-PER
auprès	O
d’	O
Assarhaddon	U-PER
,	O
le	O
second	O
exerçant	O
cette	O
même	O
fonction	O
auprès	O
d’	O
Assurbanipal	U-PER
Grayson,	O
1980,	O
p.	O
119.	O
Une	O
seconde	O
liste	O
(p.	O
125)	O
mentionne	O
le	O
nom	O
de	O
Nabû-bani	O
au	O
lieu	O
de	O
Nabû-apla-iddina.	O
.	O
D’autres	O
sources	O
permettent	O
de	O
compléter	O
cette	O
liste	O
:	O
Nabû-shallimshunu	U-PER
est	O
ummânu	O
auprès	O
de	O
Sargon	B-PER
II	L-PER
(721-705)	O
Sur	O
ce	O
personnage,	O
voir	O
Parpola,	O
1983,	O
p.	O
449.	O
,	O
Aba-Enlil-dâri	U-PER
,	O
beaucoup	O
plus	O
connu	O
sous	O
son	O
nom	O
araméen	O
Ahiqar	U-PER
,	O
auprès	O
d’	O
Assarhaddon	U-PER
Van	O
Dijk,	O
1962,	O
p.	O
45,	O
l.	O
19-20.	O
.	O
Tablette	O
babylonienne	O
indiquant	O
le	O
rituel	O
des	O
sacrifices	O
quotidiens	O
du	O
temps	O
d’Anu	O
à	O
Uruk,	O
découverte	O
à	O
Warka,	O
période	O
séleucide	O
et	O
parthe,	O
vers	O
300	O
av.-200	O
apr.	O
J.-C.	O
Argile,	O
22	O
x	O
10	O
cm,	O
Paris,	O
musée	O
du	O
Louvre.	O
Pour	O
autant	O
que	O
l’on	O
puisse	O
savoir,	O
les	O
lettrés	O
qui	O
entourent	O
le	O
roi	O
appartiennent	O
à	O
de	O
grandes	O
familles	O
de	O
scribes.	O
On	O
peut	O
retracer	O
partiellement	O
le	O
tableau	O
généalogique	O
de	O
l’une	O
de	O
ces	O
familles,	O
celle	O
de	O
Gabbu-ilâni-êresh	U-PER
,	O
originaire	O
de	O
la	O
ville	O
de	O
Kalah	U-LOC
et	O
dont	O
le	O
nom	O
figure	O
dans	O
la	O
liste	O
royale	O
évoquée	O
précédemment.	O
Tableau	O
nº	O
4	O
:	O
la	O
famille	O
de	O
Gabbu-ilâni-êresh	O
Tous	O
les	O
membres	O
du	O
lignage	O
s’entendent	O
pour	O
faire	O
référence	O
à	O
Gabbu-ilâni-êresh	U-PER
Sur	O
l’ensemble	O
des	O
membres	O
de	O
cette	O
famille,	O
voir	O
les	O
notices	O
biographiques	O
in	O
Parpola,	O
1998-.	O
,	O
lequel	O
en	O
fait	O
donc	O
figure	O
de	O
fondateur.	O
Excepté	O
son	O
titre	O
de	O
chef	O
des	O
scribes	O
(et	O
des	O
astrologues)	O
du	O
palais	O
et	O
ses	O
fonctions	O
d’	O
ummânu	O
sous	O
deux	O
règnes	O
successifs,	O
on	O
ignore	O
tout	O
de	O
lui.	O
Il	O
en	O
est	O
de	O
même	O
de	O
son	O
fils,	O
Marduk-shumu-iqîsha	U-PER
,	O
et	O
de	O
Inurta-ubal-lissu	U-PER
,	O
l’un	O
de	O
ses	O
descendants,	O
si	O
ce	O
n’est	O
qu’ils	O
sont	O
scribes,	O
le	O
second	O
résidant	O
dans	O
la	O
ville	O
d’	O
Assur	U-LOC
où	O
il	O
copie,	O
à	O
l’époque	O
de	O
Sargon	B-PER
II	L-PER
,	O
une	O
tablette	O
contenant	O
des	O
dictons.	O
Nabû-zuqup-kênu	U-PER
,	O
le	O
chef	O
des	O
scribes	O
du	O
palais,	O
est	O
actif	O
à	O
Kalah	U-LOC
et	O
à	O
Ninive	U-LOC
sous	O
les	O
règnes	O
de	O
Sargonchérib	U-PER
.	O
On	O
possède	O
de	O
sa	O
main	O
un	O
grand	O
nombre	O
de	O
copies	O
de	O
textes	O
variés,	O
principalement	O
des	O
rituels,	O
des	O
textes	O
astrologiques	O
dont	O
plusieurs	O
chapitres	O
du	O
grand	O
manuel	O
d’astrologie	O
Enûma	O
Anu	O
Enlil	O
[Lorsque	O
Anu	O
et	O
Enlil	U-PER
],	O
et	O
leurs	O
commentaires,	O
enfin	O
des	O
textes	O
divinatoires	O
dont	O
des	O
traités	O
d’extispicine.	O
Il	O
est	O
surtout	O
réputé	O
pour	O
avoir	O
copié	O
et	O
intégré	O
à	O
la	O
trame	O
de	O
l’Épopée	O
de	O
Gilgamesh,	O
dont	O
elle	O
constitue	O
désormais	O
la	O
douzième	O
et	O
ultime	O
tablette,	O
la	O
version	O
akkadienne	O
d’un	O
vieux	O
récit	O
sumérien	O
qui	O
concerne	O
ce	O
héros	O
et	O
que	O
l’on	O
a	O
coutume	O
de	O
désigner	O
sous	O
le	O
titre	O
Gilgamesh,	O
Enkidu	O
et	O
l’enfer.	O
On	O
ne	O
sait	O
s’il	O
en	O
est	O
lui-même	O
le	O
traducteur	O
et,	O
du	O
reste,	O
il	O
ne	O
s’intéresse	O
qu’à	O
la	O
seconde	O
partie	O
de	O
ce	O
récit,	O
celle	O
qui	O
met	O
en	O
scène	O
la	O
rencontre	O
entre	O
les	O
deux	O
héros,	O
Gilgamesh	U-PER
et	O
Enkidu	U-PER
,	O
le	O
roi	O
d’Uruk	O
ayant	O
obtenu	O
le	O
privilège	O
de	O
rencontrer	O
son	O
défunt	O
ami,	O
lequel	O
peut	O
lui	O
révéler	O
le	O
sort	O
qui	O
est	O
réservé	O
aux	O
morts	O
dans	O
le	O
monde	O
infernal.	O
Il	O
accomplit	O
ce	O
travail	O
alors	O
que	O
l’	O
Assyrie	U-LOC
traverse	O
une	O
crise	O
importante.	O
Le	O
roi	O
Sargon	B-PER
II	L-PER
vient	O
de	O
mourir	O
dans	O
des	O
circonstances	O
troubles,	O
en	O
Anatolie	U-LOC
,	O
le	O
camp	O
de	O
l’armée	O
ayant	O
été	O
pris	O
d’assaut,	O
de	O
nuit	O
;	O
son	O
cadavre,	O
égaré,	O
demeure	O
sans	O
sépulture,	O
un	O
fait	O
inconcevable	O
pour	O
tout	O
Assyrien	O
que	O
cette	O
fin	O
ignominieuse	O
bouleverse.	O
Sennachérib	U-PER
,	O
le	O
fils	O
et	O
successeur	O
de	O
Sargon	U-PER
,	O
interrogera	O
les	O
dieux	O
sans	O
relâche	O
afin	O
de	O
connaître	O
la	O
faute	O
qu’aurait	O
pu	O
commettre	O
son	O
père	O
pour	O
mériter	O
un	O
sort	O
aussi	O
funeste.	O
C’est	O
donc	O
dans	O
ce	O
contexte,	O
très	O
précisément	O
le	O
27e	O
jour	O
du	O
mois	O
de	O
Dumuzi	O
de	O
l’an	O
705,	O
peu	O
de	O
temps	O
après	O
la	O
mort	O
de	O
Sargon	U-PER
et	O
une	O
quinzaine	O
de	O
jours	O
avant	O
l’avènement	O
de	O
Sennachérib	U-PER
,	O
le	O
12e	O
jour	O
du	O
mois	O
d’Ab	O
de	O
la	O
même	O
année,	O
qu’il	O
effectue	O
sa	O
copie	O
comme	O
une	O
contribution	O
à	O
la	O
réflexion	O
sur	O
l’événement–	O
Gilgamesh	U-PER
ne	O
pose-t-il	O
pas	O
à	O
son	O
ami	O
la	O
question	O
qui	O
demeure	O
sur	O
toutes	O
les	O
lèvres	O
:	O
quel	O
sort	O
est	O
réservé,	O
en	O
enfer,	O
à	O
un	O
mort	O
sans	O
sépulture	O
?	O
En	O
outre,	O
le	O
27e	O
jour	O
de	O
Dumuzi	O
est	O
le	O
jour	O
où,	O
selon	O
les	O
conceptions	O
des	O
Assyriens,	O
le	O
dieu	O
homonyme,	O
ce	O
dieu	O
qui	O
meurt	O
et	O
ressuscite	O
annuellement,	O
est	O
libéré	O
des	O
Enfers	O
et	O
a	O
la	O
faculté	O
de	O
remonter	O
sur	O
terre	O
pour	O
une	O
brève	O
période.	O
Or,	O
ce	O
jour	O
voit	O
l’accomplissement	O
d’un	O
rituel	O
au	O
moyen	O
duquel	O
les	O
esprits	O
de	O
tous	O
les	O
morts	O
sans	O
sépulture	O
