TOKEN	IOB
Le	O
1er	O
juillet	O
1685,	O
au	O
trentième	O
jour	O
du	O
cinquième	O
mois	O
de	O
la	O
vingt-quatrième	O
année	O
du	O
règne	O
de	O
Kangxi	U-PER
,	O
le	O
lettré	O
Nara	B-PER
Singde	L-PER
disparaissait	O
à	O
l’âge	O
de	O
trente	O
ans.	O
Il	O
était	O
le	O
fils	O
aîné	O
du	O
grand	O
secrétaire	O
mandchou	O
Mingju	U-PER
,	O
l’un	O
des	O
hommes	O
les	O
plus	O
riches	O
et	O
les	O
plus	O
influents	O
de	O
la	O
cour	O
de	O
Chine	U-LOC
,	O
et	O
de	O
l’une	O
des	O
petites-filles	O
de	O
Nurhaci	U-PER
,	O
l’ancêtre	O
fondateur	O
de	O
la	O
dynastie	O
des	O
Qing	O
qui	O
venait	O
de	O
conquérir	O
par	O
les	O
armes	O
l’immense	O
empire	O
des	O
Ming.	O
L’émotion	O
suscitée	O
par	O
la	O
mort	O
du	O
jeune	O
poète	O
fut	O
à	O
la	O
hauteur	O
de	O
la	O
renommée	O
de	O
son	O
talent	O
et	O
de	O
la	O
puissance	O
de	O
son	O
clan.	O
L’Empereur,	O
qui	O
venait	O
de	O
gagner	O
sa	O
résidence	O
d’été	O
de	O
l’au-delà	O
des	O
passes,	O
dépêcha	O
à	O
la	O
capitale	O
un	O
messager	O
pour	O
offrir	O
des	O
libations	O
à	O
l’âme	O
du	O
défunt	O
et	O
contribua	O
généreusement	O
aux	O
frais	O
des	O
funérailles.	O
Une	O
foule	O
de	O
parents,	O
de	O
proches,	O
d’amis,	O
de	O
collègues,	O
d’obligés	O
accourut	O
à	O
la	O
résidence	O
du	O
défunt	O
pour	O
s’incliner	O
devant	O
sa	O
dépouille.	O
Le	O
recteur	O
du	O
Collège	O
impérial,	O
Weng	B-PER
Shuyuan	L-PER
,	O
était	O
de	O
leur	O
nombre	O
;	O
une	O
fois	O
le	O
corps	O
mis	O
en	O
bière,	O
il	O
revint	O
pleurer	O
devant	O
la	O
tablette	O
du	O
mort	O
;	O
dix	O
jours	O
plus	O
tard,	O
il	O
se	O
prosternait	O
devant	O
l’autel	O
des	O
offrandes	O
aux	O
mânes	O
du	O
défunt	O
;	O
encore	O
huit	O
jours,	O
et	O
il	O
accompagnait	O
le	O
cercueil	O
hors	O
les	O
murs	O
de	O
la	O
capitale	O
dans	O
l’attente	O
du	O
jour,	O
encore	O
lointain,	O
de	O
la	O
mise	O
au	O
tombeau.	O
Dès	O
lors,	O
le	O
recteur	O
n’eut	O
plus	O
que	O
l’encre	O
et	O
le	O
papier	O
pour	O
dire	O
sa	O
peine	O
et	O
honorer	O
le	O
souvenir	O
du	O
disparu.	O
Il	O
ne	O
fut	O
pas	O
le	O
seul	O
à	O
s’y	O
employer.	O
Du	O
flot	O
de	O
larmes	O
et	O
de	O
pages	O
qu’engendra	O
la	O
soudaine	O
disparition	O
du	O
jeune	O
homme,	O
pas	O
moins	O
de	O
cent	O
trente	O
pièces	O
mortuaires	O
ont	O
survécu,	O
sorties	O
des	O
pinceaux	O
d’une	O
cinquantaine	O
de	O
lettrés,	O
dont	O
bon	O
nombre	O
comptaient	O
parmi	O
les	O
gloires	O
du	O
temps.	O
Six	O
lamentations,	O
un	O
éloge	O
et	O
neuf	O
oraisons	O
en	O
prose	O
rimée,	O
cent	O
quinze	O
élégies	O
en	O
vers	O
réguliers	O
ou	O
irréguliers,	O
soit	O
autant	O
de	O
pièces	O
qui	O
s’inscrivaient	O
dans	O
la	O
dramaturgie	O
du	O
deuil,	O
et	O
dont	O
les	O
auteurs	O
ne	O
se	O
contentaient	O
pas	O
de	O
tenir	O
le	O
rôle	O
de	O
coryphée	O
des	O
lamentos	O
:	O
ils	O
entendaient	O
témoigner	O
devant	O
les	O
hommes,	O
rapportant	O
au	O
milieu	O
des	O
sanglots	O
les	O
souvenirs	O
d’une	O
amitié	O
brisée	O
et	O
esquissant	O
à	O
gros	O
traits	O
le	O
portrait	O
de	O
l’homme	O
et	O
de	O
sa	O
vie	O
Toutes	O
ces	O
pièces	O
(respectivement	O
appelées	O
aici,	O
leici,	O
jiwen,	O
wanshi,	O
wanci)	O
figurent	O
dans	O
les	O
œuvres	O
posthumes	O
de	O
Nara	O
Singde,	O
le	O
Recueil	O
de	O
la	O
salle	O
des	O
Larges	O
Desseins	O
[Tongzhitang	O
ji],	O
dont	O
elles	O
occupent	O
les	O
