TOKEN	IOB
Dans	O
le	O
monde	O
des	O
arts,	O
des	O
sciences	O
et	O
des	O
métiers,	O
la	O
notion	O
de	O
chef-d’œuvre	O
est	O
à	O
manier	O
avec	O
prudence.	O
On	O
ne	O
peut	O
l’employer	O
aujourd’hui	O
sans	O
une	O
réflexion	O
critique,	O
sans	O
une	O
conscience	O
affirmée	O
de	O
ce	O
que	O
cette	O
expression	O
implique	O
d’histoire	O
et	O
de	O
mémoire	O
tant	O
elle	O
relève	O
de	O
critères	O
propres	O
à	O
un	O
espace	O
et	O
à	O
un	O
temps	O
précis,	O
tout	O
en	O
étant	O
étroitement	O
liée	O
à	O
une	O
communauté	O
de	O
personnes	O
réunies	O
autour	O
d’une	O
pratique	O
où,	O
comme	O
le	O
proclamait	O
déjà	O
dans	O
l’Antiquité	O
le	O
philosophe	O
grec	O
Anaxagore	U-PER
,	O
la	O
main	O
est	O
souvent	O
considérée	O
comme	O
le	O
prolongement	O
de	O
l’esprit	O
«	O
L’homme	O
pense	O
parce	O
qu’il	O
a	O
une	O
main.	O
»	O
Cette	O
maxime	O
d’Anaxagore,	O
inscrite	O
sur	O
une	O
poutre	O
maîtresse,	O
accueille,	O
dès	O
le	O
hall	O
d’entrée,	O
le	O
visiteur	O
du	O
musée	O
du	O
Compagnonnage	O
de	O
Tours.	O
.	O
Lorsque	O
la	O
notion	O
de	O
chef-d’œuvre	O
se	O
resserre	O
pour	O
s’appliquer	O
à	O
l’univers	O
du	O
compagnonnage,	O
institution	O
ouvrière	O
par	O
excellence,	O
il	O
est	O
important	O
de	O
s’interroger	O
sur	O
les	O
objectifs	O
d’une	O
telle	O
pratique	O
au	O
sein	O
d’un	O
groupe	O
social	O
particulier	O
dans	O
la	O
mesure	O
où	O
elle	O
renvoie	O
souvent	O
au	O
sentiment	O
que	O
la	O
perfection	O
a	O
été	O
atteinte	O
et	O
que	O
la	O
reconnaissance	O
du	O
travail	O
accompli	O
a	O
été	O
méritée.	O
Cependant,	O
le	O
chef-d’œuvre	O
du	O
compagnon	O
relève	O
d’un	O
processus	O
beaucoup	O
plus	O
complexe	O
où	O
la	O
seule	O
grille	O
de	O
lecture	O
professionnelle	O
ne	O
suffit	O
pas.	O
Dès	O
lors,	O
on	O
s’intéressera	O
moins	O
à	O
l’œuvre,	O
au	O
produit	O
fini,	O
qu’à	O
la	O
démarche	O
et	O
aux	O
conditions	O
qui	O
ont	O
accompagné	O
son	O
élaboration.	O
On	O
prendra	O
soin	O
également	O
de	O
porter	O
le	O
regard	O
sur	O
l’après-chef-d’œuvre	O
car,	O
loin	O
d’être	O
une	O
fin	O
en	O
soi,	O
ce	O
travail	O
très	O
particulier	O
est	O
à	O
considérer	O
comme	O
une	O
étape	O
dans	O
la	O
longue	O
formation	O
professionnelle	O
et	O
humaine	O
du	O
jeune	O
homme	O
de	O
métier	O
appelé	O
à	O
devenir	O
compagnon.	O
Une	O
coutume	O
empruntée	O
au	O
modèle	O
corporatif	O
Le	O
terme	O
de	O
«	O
chef-d’œuvre	O
»	O
prend	O
sa	O
source	O
dans	O
l’univers	O
des	O
corporations	O
de	O
l’Ancien	O
Régime.	O
Rappelons,	O
en	O
premier	O
lieu,	O
que	O
les	O
métiers	O
médiévaux	O
étaient	O
organisées	O
en	O
France	U-LOC
selon	O
une	O
hiérarchie	O
et	O
un	O
triptyque	O
connus	O
de	O
tous	O
:	O
apprenti,	O
conpagnon	O
et	O
maître	O
Benoist,	O
1968.	O
.	O
Un	O
atelier	O
de	O
menuiserie	O
à	O
Paris,	O
fin	O
xviii	O
e	O
siècle,	O
gravure	O
colorée,	O
Paris,	O
musée	O
Carnavalet.	O
Au	O
temps	O
des	O
corporations,	O
le	O
titre	O
de	O
maître	O
désigne	O
le	O
propriétaire	O
d’une	O
boutique	O
ou	O
d’un	O
atelier,	O
celui	O
qui,	O
d’abord	O
et	O
surtout,	O
maîtrise	O
les	O
tours	O
de	O
main	O
et	O
les	O
techniques	O
de	O
son	O
métier.	O
Pour	O
le	O
seconder	O
dans	O
son	O
travail,	O
il	O
se	O
fait	O
assister,	O
en	O
règle	O
générale,	O
par	O
deux	O
à	O
quatre	O
compagnons	O
capables	O
d’exécuter	O
ses	O
ordres	O
et	O
de	O
fabriquer	O
sans	O
son	O
aide.	O
En	O
échange	O
de	O
leur	O
savoir-faire,	O
ces	O
derniers	O
reçoivent	O
des	O
gages	O
(ancêtre	O
du	O
mot	O
«	O
salaire	O
»)	O
;	O
d’où	O
les	O
verbes	O
engager	O
et	O
dégager	O
longtemps	O
utilisés	O
dans	O
le	O
monde	O
du	O
travail.	O
Il	O
est	O
à	O
noter,	O
et	O
l’information	O
est	O
essentielle,	O
que	O
le	O
compagnon	O
de	O
la	O
corporation	O
ne	O
peut	O
quitter	O
à	O
sa	O
guise	O
son	O
maître,	O
qui	O
seul	O
détient	O
le	O
pouvoir	O
de	O
dégager	O
son	O
compagnon.	O
Ce	O
dernier,	O
en	O
effet,	O
ne	O
peut	O
changer	O
d’atelier	O
qu’avec	O
l’accord	O
formel	O
de	O
son	O
maître.	O
En	O
cas	O
de	O
non-respect	O
de	O
cette	O
obligation,	O
il	O
s’expose	O
à	O
un	O
signalement	O
qui,	O
en	O
théorie,	O
a	O
pour	O
but	O
de	O
rendre	O
assez	O
difficile	O
sinon	O
impossible	O
toute	O
nouvelle	O
embauche.	O
On	O
trouve	O
enfin,	O
au	O
bas	O
de	O
l’échelle	O
des	O
métiers,	O
l’apprenti	O
qui,	O
comme	O
son	O
nom	O
l’indique,	O
est	O
là	O
pour	O
découvrir,	O
apprendre	O
et	O
approfondir	O
les	O
secrets	O
d’un	O
métier	O
qu’il	O
compte	O
pratiquer	O
dans	O
le	O
futur.	O
En	O
règle	O
générale,	O
chaque	O
maître	O
est	O
autorisé	O
à	O
accueillir	O
et	O
à	O
former	O
de	O
un	O
à	O
deux	O
apprentis	O
moyennant	O
une	O
compensation	O
financière	O
versée	O
par	O
la	O
famille	O
du	O
jeune	O
homme	O
qui	O
doit	O
impérativement	O
avoir	O
douze	O
ans	O
pour	O
être	O
placé	O
en	O
apprentissage.	O
Un	O
contrat	O
établi	O
entre	O
le	O
maître	O
et	O
la	O
famille	O
du	O
jeune	O
garçon	O
fixe	O
la	O
durée	O
de	O
l’apprentissage	O
et	O
la	O
somme	O
à	O
verser	O
au	O
maître,	O
car	O
ce	O
dernier,	O
outre	O
la	O
transmission	O
de	O
son	O
savoir,	O
doit	O
fournir	O
à	O
son	O
protégé	O
le	O
gîte	O
et	O
le	O
couvert	O
Coornaert,	O
1968.	O
.	O
Nous	O
retrouvons	O
ainsi	O
la	O
vieille	O
coutume	O
romaine	O
du	O
«	O
don	O
contre	O
don	O
»	O
:	O
savoir	O
contre	O
argent.	O
Si,	O
dans	O
les	O
premiers	O
temps,	O
l’accès	O
à	O
la	O
maîtrise	O
semble	O
relever	O
de	O
l’esprit	O
d’initiative	O
lié	O
à	O
un	O
petit	O
capital	O
immobilier	O
et	O
financier	O
disponible,	O
les	O
statuts	O
de	O
la	O
corporation	O
imposent	O
très	O
vite,	O
dès	O
les	O
premières	O
décennies	O
du	O
xiv	O
e	O
siècle,	O
l’obligation	O
de	O
présenter	O
un	O
chef-d’œuvre	O
pour	O
tout	O
compagnon	O
désireux	O
de	O
devenir	O
maître	O
à	O
son	O
tour.	O
Ce	O
titre	O
de	O
maître	O
devient	O
désormais	O
nécessaire	O
pour	O
celui	O
qui	O
souhaite	O
posséder	O
un	O
atelier	O
ou	O
une	O
boutique,	O
accueillir	O
des	O
apprentis	O
en	O
formation	O
et	O
engager	O
quelques	O
compagnons	O
pour	O
fabriquer	O
puis	O
vendre	O
des	O
produits	O
en	O
ville.	O
Pour	O
s’établir	O
à	O
son	O
compte,	O
il	O
faut	O
donc	O
posséder	O
un	O
local	O
et	O
un	O
minimum	O
d’argent	O
pour	O
acheter	O
les	O
matériaux,	O
les	O
fournitures	O
et	O
les	O
outils	O
nécessaires	O
au	O
travail.	O
Mais	O
il	O
faut	O
aussi	O
prouver	O
aux	O
yeux	O
des	O
autres	O
maîtres	O
de	O
la	O
ville	O
la	O
bonne	O
connaissance	O
de	O
son	O
art.	O
La	O
réalisation	O
d’un	O
chef-d’œuvre	O
est	O
donc,	O
dans	O
l’univers	O
corporatif,	O
essentiellement	O
une	O
épreuve	O
de	O
sélection	O
fondée	O
sur	O
un	O
ensemble	O
contraignant	O
de	O
règles	O
prédéterminées	O
par	O
les	O
maîtres	O
eux-mêmes,	O
soucieux	O
de	O
valider	O
un	O
système	O
qu’ils	O
souhaitent	O
installer	O
durablement	O
dans	O
le	O
temps.	O
L’exigence	O
d’un	O
chef-d’œuvre	O
jugé	O
par	O
les	O
seuls	O
maîtres	O
de	O
la	O
ville	O
associée	O
à	O
la	O
mise	O
en	O
place	O
d’un	O
barrage	O
financier	O
(cérémonies	O
de	O
réception	O
coûteuses,	O
droits	O
d’entrée	O
élevés,	O
redevances	O
régulières,	O
etc.)	O
permet	O
à	O
ces	O
mêmes	O
maîtres	O
de	O
recruter	O
très	O
rapidement	O
leurs	O
successeurs	O
au	O
sein	O
de	O
leurs	O
propres	O
familles.	O
Le	O
sentiment	O
fraternel	O
qui	O
semblait	O
animer	O
les	O
premières	O
confréries	O
et	O
groupements	O
de	O
métier	O
disparaît	O
très	O
vite.	O
En	O
effet,	O
à	O
la	O
fin	O
du	O
xiv	O
e	O
siècle,	O
le	O
titre	O
de	O
maître,	O
obligatoire	O
pour	O
s’installer	O
à	O
son	O
compte,	O
est	O
de	O
plus	O
en	O
plus	O
réservé	O
aux	O
propres	O
fils	O
des	O
maîtres	O
ou,	O
à	O
défaut,	O
à	O
leurs	O
gendres.	O
Il	O
faut	O
voir,	O
dans	O
cette	O
démarche,	O
le	O
souci	O
de	O
certaines	O
familles	O
urbaines	O
d’asseoir	O
solidement	O
et	O
définitivement	O
leur	O
emprise	O
sur	O
le	O
monde	O
des	O
métiers	O
:	O
c’est	O
le	O
début	O
d’un	O
monopole	O
qui	O
est	O
très	O
vite	O
perçu	O
et	O
vécu	O
comme	O
une	O
injustice	O
profonde	O
par	O
nombre	O
de	O
compagnons	O
dès	O
lors	O
privés	O
d’un	O
espoir	O
de	O
promotion	O
professionnelle	O
et	O
sociale.	O
Historiquement,	O
le	O
Tour	O
de	O
France	U-LOC
des	O
compagnons	O
naît	O
à	O
cette	O
époque	O
pour	O
répondre	O
à	O
deux	O
frustrations	O
majeures	O
:	O
d’une	O
part,	O
le	O
fait	O
de	O
dépendre	O
toujours	O
du	O
même	O
maître,	O
donc	O
de	O
ne	O
disposer	O
que	O
d’un	O
seul	O
savoir	O
forcément	O
partiel	O
et,	O
d’autre	O
part,	O
la	O
difficulté,	O
de	O
plus	O
en	O
plus	O
évidente,	O
d’accéder	O
à	O
la	O
maîtrise	O
du	O
fait	O
de	O
maîtres	O
jaloux	O
de	O
leurs	O
prérogatives.	O
Ces	O
derniers	O
n’entendent,	O
désormais,	O
confier	O
leur	O
patrimoine	O
qu’à	O
leurs	O
héritiers	O
directs,	O
refusant	O
ainsi	O
à	O
la	O
majorité	O
des	O
compagnons	O
l’accès	O
à	O
une	O
promotion	O
professionnelle	O
et	O
sociale	O
qu’ils	O
méritaient	O
et	O
revendiquaient	O
à	O
juste	O
titre.	O
Les	O
premiers	O
compagnonnages,	O
connus	O
sous	O
le	O
nom	O
de	O
«	O
devoirs	O
»,	O
vont	O
donc	O
regrouper	O
quelques	O
compagnons	O
courageux	O
et	O
motivés	O
qui	O
décident	O
de	O
quitter	O
l’univers	O
des	O
corporations	O
pour	O
organiser,	O
dans	O
la	O
clandestinité,	O
un	O
réseau	O
de	O
haltes	O
et	O
d’étapes	O
forgé	O
autour	O
d’un	O
sentiment	O
de	O
fraternité	O
ouvrière	O
Duroy,	O
1991.	O
:	O
le	O
fameux	O
Tour	O
de	O
France	U-LOC
.	O
De	O
cette	O
époque	O
date	O
une	O
confusion	O
encore	O
très	O
présente	O
aujourd’hui.	O
Le	O
compagnon	O
de	O
la	O
corporation	O
est	O
trop	O
souvent	O
assimilé	O
au	O
compagnon	O
du	O
Tour	O
de	O
France	U-LOC
,	O
alors	O
que	O
tout	O
les	O
oppose.	O
La	O
liberté	O
de	O
voyager	O
est	O
la	O
grande	O
différence	O
qui	O
permet	O
de	O
les	O
distinguer.	O
La	O
présentation	O
d’un	O
chef-d’œuvre	O
est	O
le	O
point	O
commun	O
qui	O
perpétue	O
la	O
confusion.	O
Un	O
chef-d’œuvre	O
de	O
réception	O
et	O
non	O
de	O
sélection	O
En	O
reprenant	O
la	O
pratique	O
du	O
chef-d’œuvre	O
à	O
leur	O
compte,	O
les	O
premiers	O
compagnonnages	O
évacuent	O
cependant	O
du	O
modèle	O
corporatif	O
la	O
forte	O
dimension	O
sélective	O
fondée	O
sur	O
l’hérédité.	O
Ainsi,	O
pour	O
bien	O
se	O
démarquer	O
de	O
leur	O
adversaire	O
identitaire,	O
les	O
premières	O
sociétés	O
compagnonniques	O
naissantes	O
prennent-elles	O
bien	O
soin	O
de	O
considérer	O
désormais	O
la	O
pratique	O
du	O
chef-d’œuvre	O
comme	O
une	O
épreuve	O
de	O
réception	O
et	O
non	O
plus	O
de	O
sélection	O
;	O
la	O
différence	O
est	O
fondamentale.	O
Pour	O
les	O
premières	O
associations	O
compagnonniques,	O
le	O
chef-d’œuvre	O
du	O
compagnon	O
permet	O
d’abord	O
de	O
recevoir	O
tout	O
ouvrier	O
«	O
capable	O
Encore	O
aujourd’hui,	O
on	O
retrouve	O
cette	O
expression	O
rituelle	O
lors	O
de	O
l’invitation	O
à	O
chanter	O
formulée	O
au	O
nouveau	O
compagnon	O
reçu	O
à	O
la	O
fin	O
du	O
banquet	O
qui	O
suit	O
sa	O
réception	O
:	O
«	O
–	O
Compagnons,	O
estimez-vous	O
Languedoc	O
l’Ami	O
du	O
Travail	O
