TOKEN	IOB
Comme	O
nous	O
les	O
aurons	O
aimés,	O
nos	O
atlas.	O
Je	O
ne	O
sais	O
pas	O
l’histoire	O
de	O
l’atlas	O
comme	O
forme	O
imprimée.	O
La	O
définition	O
de	O
Littré	O
(«	O
recueil	O
de	O
cartes	O
géographiques	O
ou	O
de	O
tableaux	O
»)	O
prouve	O
d’une	O
part	O
qu’en	O
son	O
temps	O
il	O
ne	O
s’agissait	O
pas	O
d’un	O
objet	O
éditorial	O
commun,	O
d’autre	O
part,	O
puisque	O
son	O
article	O
du	O
dictionnaire	O
ne	O
comporte	O
pas	O
de	O
citation,	O
que	O
l’atlas	O
en	O
tant	O
qu’objet	O
éditorial	O
n’est	O
pas	O
un	O
pivot	O
de	O
la	O
bibliothèque	O
des	O
écrivains	O
de	O
son	O
époque.	O
La	O
seule	O
occurrence	O
du	O
mot	O
«	O
atlas	O
»	O
dans	O
À	O
la	O
recherche	O
du	O
temps	O
perdu,	O
ainsi,	O
serait	O
emblématique	O
:	O
«	O
sa	O
singularité	O
géographique,	O
la	O
race	O
qui	O
l’habitait,	O
ses	O
monuments,	O
ses	O
paysages,	O
je	O
pouvais	O
les	O
considérer	O
ainsi	O
que	O
dans	O
un	O
atlas,	O
comme	O
dans	O
un	O
recueil	O
de	O
vues,	O
dans	O
le	O
sourire,	O
dans	O
les	O
manières	O
d’Albertine,	O
cette	O
passion	O
mystérieuse…	O
».	O
L’adjectif	O
«	O
géographique	O
»	O
ainsi	O
que	O
le	O
nom	O
«	O
paysage	O
»,	O
la	O
posture	O
de	O
lecture	O
(le	O
verbe	O
«	O
considérer	O
»,	O
qui	O
n’est	O
pas	O
«	O
lire	O
»),	O
l’association	O
de	O
l’objet	O
éditorial	O
à	O
ces	O
«	O
recueils	O
de	O
vues	O
»	O
que	O
nous	O
ne	O
connaissons	O
plus,	O
et	O
finalement	O
ce	O
«	O
passion	O
mystérieuse	O
»	O
qui	O
n’y	O
est	O
pas	O
adjoint	O
par	O
hasard,	O
nous	O
disent	O
bien	O
le	O
territoire	O
de	O
lecture	O
qu’est	O
l’atlas.	O
Je	O
ne	O
dis	O
pas	O
que	O
l’atlas	O
n’existait	O
pas	O
avant	O
Proust	O
:	O
ce	O
qui	O
est	O
à	O
examiner,	O
c’est	O
quel	O
saut	O
technique	O
dans	O
l’imprimerie	O
a	O
permis	O
une	O
diffusion	O
beaucoup	O
plus	O
large	O
et	O
populaire,	O
et	O
comment	O
c’est	O
ainsi	O
qu’il	O
est	O
devenu	O
lieu	O
d’imaginaire.	O
