TOKEN	IOB
Depuis	O
plusieurs	O
années,	O
l'effort	O
de	O
conservation	O
concernant	O
les	O
archives	O
de	O
la	O
recherche	O
en	O
sciences	O
humaines	O
et	O
sociales	O
s'est	O
principalement	O
porté	O
sur	O
les	O
données	O
institutionnelles	O
et	O
quantitatives.	O
Les	O
archives	O
personnelles	O
des	O
chercheurs,	O
dans	O
un	O
certain	O
sens	O
plus	O
qualitatives,	O
posent	O
des	O
problèmes	O
juridiques	O
qu'il	O
est	O
encore	O
difficile	O
de	O
résoudre	O
à	O
partir	O
de	O
la	O
seule	O
loi	O
de	O
1979,	O
qui	O
précise	O
que	O
tout	O
document	O
produit	O
dans	O
le	O
cadre	O
d’une	O
activité	O
publique	O
–	O
par	O
exemple	O
par	O
un	O
chercheur	O
dans	O
un	O
laboratoire	O
–	O
relève	O
du	O
domaine	O
public	O
et	O
doit	O
donc	O
être	O
considéré	O
comme	O
une	O
archive	O
publique	O
Charmasson,	O
Thérèse,	O
Les	O
archives	O
des	O
scientifiques	O
XVI	O
e	O
-XX	O
e	O
siècle.	O
Guide	O
des	O
fonds	O
conservés	O
en	O
France.	O
Paris	O
:	O
Editions	O
du	O
CTHS,	O
2008	O
.	O
Peut-on	O
et	O
doit-on	O
tout	O
conserver	O
?	O
Quelles	O
sont	O
les	O
institutions	O
qui	O
ont	O
cette	O
mission	O
?	O
Mais	O
ces	O
archives	O
de	O
chercheurs	O
posent	O
également	O
un	O
problème	O
scientifique	O
puisqu'il	O
s'agit	O
de	O
déterminer	O
dans	O
quelles	O
conditions	O
et	O
selon	O
quelles	O
règles	O
ces	O
«	O
données	O
»	O
peuvent	O
constituer	O
des	O
sources	O
disponibles	O
pour	O
de	O
nouvelles	O
recherches.	O
Ces	O
archives	O
ne	O
sont	O
en	O
aucun	O
cas	O
de	O
simples	O
résidus,	O
ni	O
des	O
restes	O
insignifiants	O
de	O
l'activité	O
scientifique.	O
Au	O
contraire,	O
elles	O
en	O
constituent	O
sans	O
doute	O
l'élément	O
le	O
plus	O
marquant.	O
La	O
plupart	O
du	O
temps,	O
elles	O
permettent	O
de	O
suivre	O
l'activité	O
savante	O
en	O
train	O
de	O
se	O
faire,	O
une	O
pensée,	O
un	O
savoir	O
en	O
train	O
de	O
se	O
construire.	O
Aussi,	O
décider	O
de	O
prendre	O
la	O
«	O
table	O
de	O
travail	O
»	O
du	O
chercheur	O
comme	O
lieu	O
d'enquête	O
et	O
d'analyse	O
–	O
ce	O
qui	O
nécessite	O
d’identifier,	O
de	O
relever	O
et	O
de	O
classer	O
un	O
grand	O
nombre	O
d’éléments,	O
souvent	O
minuscules	O
–	O
permet	O
de	O
porter	O
le	O
regard	O
sur	O
des	O
pratiques	O
savantes	O
quotidiennes	O
que	O
l'on	O
peut	O
définir	O
comme	O
l’ensemble	O
des	O
opérations	O
manuelles,	O
discursives	O
et	O
intellectuelles	O
mobilisées	O
dans	O
la	O
production,	O
la	O
diffusion,	O
la	O
réception	O
et	O
l'usage	O
des	O
savoirs.	O
C'est	O
dans	O
cette	O
perspective	O
que	O
nous	O
avons	O
voulu	O
revisiter	O
les	O
différents	O
fonds	O
d'archives	O
de	O
Marcel	B-PER
Mauss	I-PER
que	O
l'on	O
a	O
coutume	O
de	O
considérer	O
aujourd'hui	O
comme	O
le	O
père	O
fondateur	O
de	O
l'ethnologie	O
française.	O
Ses	O
archives	O
(	O
IMEC	B-LOC
IMEC	O
:	O
Institut	O
Mémoires	O
de	O
l'édition	O
contemporaine	O
,	O
MNHN	B-LOC
MNHM	O
:	O
Museum	O
national	O
d'Histoire	O
naturelle	O
,	O
Quai	O
Branly)	O
renvoient	O
à	O
des	O
activités	O
scientifiques,	O
administratives	O
et	O
pédagogiques	O
mais	O
aussi	O
politiques.	O
Pour	O
autant,	O
et	O
malgré	O
les	O
publications	O
de	O
plus	O
en	O
plus	O
nombreuses	O
autour	O
de	O
ce	O
«	O
personnage	O
»	O
central	O
de	O
l'histoire	O
des	O
sciences	O
humaines	O
Fournier,	O
Marcel,	O
Marcel	O
Mauss.	O
Paris	O
:	O
Fayard,	O
1994	O
,	O
jamais	O
ces	O
documents	O
n'ont	O
été	O
analysés	O
pour	O
ce	O
qu'ils	O
sont	O
vraiment,	O
à	O
savoir	O
des	O
archives	O
de	O
la	O
recherche	O
en	O
acte.	O
Ces	O
archives	O
pourtant	O
nous	O
renseignent	O
sur	O
des	O
pratiques,	O
des	O
rites	O
(comme	O
par	O
exemple	O
son	O
entrée	O
en	O
1930	O
au	O
Collège	O
de	O
France),	O
mais	O
aussi	O
sur	O
les	O
formes	O
de	O
savoir	O
qui	O
étaient	O
pratiquées	O
à	O
son	O
époque.	O
Elles	O
montrent	O
que	O
la	O
recherche	O
est	O
un	O
travail	O
quotidien,	O
une	O
routine	O
qui	O
impose	O
au	O
savant	O
différentes	O
opérations,	O
simples	O
ou	O
complexes,	O
comme	O
lire	O
un	O
livre,	O
aller	O
en	O
bibliothèque,	O
rédiger	O
un	O
compte	O
rendu,	O
prendre	O
des	O
notes,	O
conserver	O
les	O
conclusions	O
d'une	O
discussion,	O
décrire	O
un	O
phénomène,	O
dessiner	O
un	O
objet,	O
cartographier	O
un	O
lieu,	O
écrire	O
sur	O
d'autres	O
livres,	O
répondre	O
à	O
des	O
objections,	O
défendre	O
des	O
hypothèses	O
Françoise	O
Waquet	O
ajoute	O
d'autres	O
exemples	O
qu'elle	O
tire	O
de	O
son	O
observation	O
du	O
monde	O
universitaire	O
:	O
rédiger	O
des	O
remerciements,	O
offrir	O
des	O
mélanges,	O
faire	O
une	O
leçon	O
inaugurale,	O
écrire	O
un	O
portrait	O
de	O
savant	O
dans	O
un	O
livre	O
qui	O
lui	O
est	O
consacré.	O
Ces	O
rituels	O
révèlent,	O
pour	O
l'historienne,	O
«	O
dans	O
leur	O
diversité	O
et	O
leur	O
complexité,	O
les	O
liens	O
qui	O
unissent	O
les	O
personnes,	O
qui	O
dessinent	O
des	O
communautés	O
petites	O
et	O
grandes,	O
qui	O
