TOKEN	IOB
Pour	O
aborder	O
la	O
question	O
de	O
la	O
représentation	O
des	O
savoirs,	O
quel	O
meilleur	O
sujet	O
choisir	O
que	O
celui	O
de	O
l’atome	O
?	O
Entité	O
invisible	O
par	O
excellence,	O
dont	O
l’existence	O
même	O
fit	O
longtemps	O
débat	O
sans	O
que	O
cela	O
ne	O
l’empêche	O
de	O
faire	O
l’objet	O
de	O
représentations	O
visuelles	O
multiples	O
et	O
variées,	O
l’atome	O
suggère	O
qu’une	O
image	O
est	O
bien	O
plus	O
qu’une	O
simple	O
illustration	O
:	O
le	O
travail	O
de	O
mise	O
en	O
image	O
participe	O
de	O
l’étude	O
scientifique	O
des	O
objets.	O
En	O
sciences	O
aussi,	O
la	O
représentation	O
n’est	O
pas	O
donnée	O
mais	O
construite,	O
et	O
son	O
aboutissement,	O
l’image,	O
façonne	O
à	O
son	O
tour	O
la	O
compréhension	O
des	O
phénomènes	O
ainsi	O
matérialisés	O
et	O
imprègne	O
nos	O
imaginaires	O
Charlotte	O
Bigg,	O
Jochen	O
Hennig	O
(éd.)	O
:	O
Atombilder:	O
Ikonographie	O
des	O
Atoms	O
in	O
Wissenschaft	O
und	O
Öffentlichkeit	O
des	O
20.	O
Jahrhunderts,	O
Göttingen,	O
2009	O
.	O
Si	O
l’on	O
doit	O
le	O
terme	O
d’atome	O
au	O
grec	O
ancien	O
(atomos,	O
«	O
indivisible	O
»),	O
la	O
conception	O
d’un	O
constituant	O
ultime	O
de	O
la	O
matière	O
remonte	O
probablement	O
plus	O
loin	O
encore.	O
Mais	O
ce	O
sera	O
seulement	O
à	O
la	O
fin	O
du	O
16e	O
siècle,	O
plus	O
précisément	O
en	O
1591,	O
avec	O
le	O
De	O
triplici	O
minimo	O
et	O
mensura	O
de	O
Giordano	O
Bruno,	O
que	O
se	O
met	O
en	O
place	O
une	O
convention	O
de	O
représentation	O
qui	O
perdure	O
jusqu’à	O
nos	O
jours,	O
dépeignant	O
l’atome	O
sous	O
la	O
forme	O
d’une	O
petite	O
sphère	O
(voir	O
illustration	O
p.	O
32).	O
Cette	O
continuité	O
visuelle	O
suggère	O
l’existence	O
d’une	O
logique	O
iconographique	O
propre,	O
au-delà	O
des	O
divergences	O
très	O
importantes	O
dans	O
les	O
conceptions	O
de	O
la	O
constitution	O
de	O
la	O
matière	O
et	O
de	O
ce	O
que	O
recouvre	O
le	O
terme	O
d’atome	O
Christoph	O
Lüthy,	O
The	O
invention	O
of	O
atomist	O
iconography,	O
in	O
Wolfgang	O
Lefèvre,	O
Jürgen	O
Renn,	O
Urs	O
Schöpflin	O
(éd.)	O
:	O
The	O
power	O
of	O
images	O
in	O
early	O
modern	O
science,	O
Bâle,	O
2003,	O
p.	O
117-138	O
.	O
L’atome	O
fut	O
longtemps	O
une	O
construction	O
de	O
l’esprit	O
philosophique,	O
voire	O
plus	O
tard	O
entre	O
les	O
mains	O
des	O
chimistes	O
un	O
modèle	O
heuristique	O
et	O
pédagogique	O
permettant	O
de	O
penser	O
les	O
transformations	O
chimiques	O
(voir	O
illustration	O
p.	O
35)	O
Christoph	O
Meinel,	O
Molecules	O
and	O
croquet	O
balls,	O
in	O
Soraya	O
de	O
Chadarevian,	O
Nick	O
Hopwood	O
(éd.)	O
:	O
Models.	O
The	O
third	O
dimension	O
of	O
science,	O
Stanford,	O
2004,	O
p.	O
242-276	O
.	O
Au	O
19e	O
siècle,	O
la	O
communauté	O
savante	O
s’enflamme	O
autour	O
de	O
la	O
question	O
de	O
la	O
réalité	O
empirique	O
de	O
l’atome.	O
Le	O
débat	O
entre	O
«	O
continuistes	O
»	O
et	O
«	O
discontinuistes	O
»	O
opposés	O
dans	O
leur	O
conception	O
de	O
la	O
nature	O
ultime	O
de	O
la	O
matière	O
(énergie	O
ou	O
particules)	O
sera	O
résolu	O
sur	O
fond	O
de	O
découvertes	O
expérimentales	O
qui	O
dans	O
un	O
premier	O
temps	O
fourniront	O
des	O
armes	O
à	O
l’un	O
ou	O
l’autre	O
camp,	O
avant	O
de	O
profondément	O
transformer	O
les	O
conceptions	O
de	O
la	O
matière	O
et	O
de	O
rendre	O
caducs	O
ces	O
débats.	O
Le	O
tournant	O
du	O
20e	O
siècle	O
révèle	O
en	O
effet	O
l’existence	O
d’un	O
monde	O
insoupçonné,	O
peuplé	O
de	O
particules	O
et	O
de	O
rayons	O
rendus	O
perceptibles	O
grâce	O
à	O
de	O
nouveaux	O
dispositifs	O
ingénieux	O
:	O
cliquetis	O
des	O
compteurs	O
Geiger	O
ou	O
scintillement	O
d’écrans	O
de	O
sulfure	O
de	O
zinc	O
comptabilisent	O
le	O
passage	O
de	O
particules	O
et	O
rayons	O
ionisants,	O
les	O
chambres	O
à	O
brouillard	O
révèlent	O
la	O
trajectoire	O
de	O
particules	O
tel	O
le	O
sillage	O
d’un	O
avion	O
dans	O
le	O
ciel,	O
tandis	O
que	O
la	O
lumière	O
obscure	O
des	O
rayons	O
X	O
ou	O
radioactifs	O
laisse	O
son	O
empreinte	O
dans	O
les	O
émulsions	O
photographiques.	O
Ces	O
traces	O
éphémères	O
sont	O
souvent	O
capturées	O
sous	O
la	O
forme	O
de	O
photographies	O
qui	O
sont	O
à	O
la	O
fois	O
le	O
révélateur,	O
le	O
moyen	O
d’étude	O
et	O
la	O
preuve	O
tangible	O
de	O
ces	O
rayonnements.	O
Diffusées	O
auprès	O
des	O
collègues,	O
imprimées	O
dans	O
les	O
journaux	O
savants	O
et	O
populaires,	O
elles	O
constituent	O
pour	O
leurs	O
auteurs	O
les	O
garants	O
de	O
leur	O
priorité	O
dans	O
la	O
découverte	O
(voir	O
illustration	O
p.	O
37).	O
Ces	O
clichés,	O
dont	O
rapidement	O
l’apparence	O
