TOKEN	IOB
Les	O
réseaux	O
sociaux	O
jouent	O
un	O
rôle	O
relationnel	O
déterminant	O
à	O
notre	O
époque.	O
Ils	O
tissent	O
un	O
ensemble	O
de	O
liens	O
d’apparence	O
immatérielle,	O
essentiellement	O
tributaires	O
de	O
l’usage	O
des	O
médias.	O
Sur	O
des	O
plateformes	O
internet	O
comme	O
Facebook	O
ou	O
Twitter,	O
on	O
fait	O
connaissance,	O
on	O
cultive	O
des	O
amitiés.	O
Ces	O
sites	O
s’ajoutent	O
aux	O
autres	O
médias	O
–	O
millénaires	O
pour	O
certains	O
–	O
et	O
en	O
complètent	O
l’usage.	O
Les	O
médias	O
de	O
l’écrit	O
restent	O
particulièrement	O
importants	O
dans	O
le	O
développement	O
des	O
relations	O
sociales	O
(de	O
ce	O
point	O
de	O
vue,	O
l’ère	O
d’Internet	O
n’a	O
pas	O
profondément	O
modifié	O
la	O
situation).	O
Il	O
suffit	O
de	O
penser	O
à	O
l’importance	O
que	O
conservent	O
les	O
lettres	O
et	O
les	O
cartes	O
postales	O
dans	O
le	O
maintien	O
des	O
contacts	O
à	O
distance.	O
Et	O
même	O
dans	O
les	O
cas	O
où	O
un	O
échange	O
strictement	O
oral	O
serait	O
possible,	O
on	O
privilégie	O
–	O
hier	O
comme	O
aujourd’hui	O
–	O
les	O
médias	O
de	O
l’écrit	O
dès	O
qu’il	O
s’agit	O
de	O
matérialiser	O
un	O
message,	O
d’en	O
élargir	O
la	O
réception,	O
de	O
le	O
faire	O
partager.	O
La	O
valeur	O
sociale	O
d’une	O
transmission	O
écrite	O
ne	O
réside	O
pas	O
seulement	O
dans	O
son	O
contenu,	O
mais	O
aussi	O
dans	O
l’usage	O
médiatique	O
qu’elle	O
permet.	O
Tous	O
les	O
spécialistes	O
de	O
littérature	O
ancienne	O
sont	O
constamment	O
amenés	O
à	O
constater	O
que	O
le	O
livre	O
participe	O
d’un	O
réseau	O
social	O
médiatique,	O
et	O
cela	O
bien	O
plus	O
encore	O
autrefois	O
qu’aujourd’hui	O
:	O
actuellement,	O
en	O
offrant	O
un	O
livre,	O
on	O
noue,	O
on	O
entretient	O
ou	O
enrichit	O
des	O
relations	O
avant	O
tout	O
d’ordre	O
personnel.	O
L’ajout	O
d’une	O
dédicace	O
manuscrite	O
donne	O
un	O
caractère	O
d’intime	O
amitié	O
à	O
un	O
produit	O
standardisé.	O
Mais	O
autrefois	O
les	O
vertus	O
sociales	O
du	O
livre	O
s’affichaient	O
plus	O
ouvertement	O
et	O
plus	O
souvent.	O
Jusqu’au	O
19e	O
siècle	O
par	O
exemple,	O
les	O
noms	O
de	O
ceux	O
qui	O
avaient	O
commandé	O
et	O
acheté	O
un	O
livre	O
avant	O
sa	O
publication	O
étaient	O
mentionnés	O
dans	O
l’ouvrage	O
imprimé.	O
Ces	O
listes	O
de	O
souscripteurs	O
sont	O
pour	O
nous	O
riches	O
d’enseignements	O
sur	O
la	O
diffusion	O
des	O
textes	O
concernés	O
et	O
sur	O
le	O
statut	O
social	O
de	O
leurs	O
lecteurs.	O
Quant	O
aux	O
lecteurs	O
contemporains	O
de	O
la	O
publication	O
du	O
livre,	O
ils	O
pouvaient	O
également	O
apprendre	O
quels	O
en	O
étaient	O
les	O
acquéreurs,	O
quelles	O
que	O
fussent	O
leurs	O
motivations	O
:	O
l’intérêt	O
culturel,	O
le	O
souci	O
du	O
prestige	O
social	O
ou	O
un	O
sentiment	O
quelconque	O
d’obligation.	O
Cela	O
faisait	O
partie	O
de	O
leurs	O
habitudes	O
culturelles	O
clairement	O
attestées,	O
comme	O
dans	O
les	O
pays	O
scandinaves	O
jusqu’au	O
début	O
du	O
19e	O
siècle,	O
que	O
de	O
chercher	O
à	O
savoir,	O
à	O
partir	O
des	O
listes	O
de	O
souscripteurs,	O
si	O
le	O
livre	O
se	O
trouvait	O
aussi	O
sur	O
l’étagère	O
de	O
leurs	O
voisins.	O
Cette	O
pratique	O
n’a	O
survécu	O
que	O
dans	O
la	O
«	O
tabula	O
gratulatoria	O
»	O
des	O
mélanges	O
honorifiques	O
(elle	O
a	O
été	O
par	O
ailleurs	O
victime	O
de	O
l’évolution	O
du	O
marché	O
du	O
livre	O
au	O
19e	O
siècle).	O
Ce	O
répertoire	O
des	O
laudateurs	O
(également	O
souscripteurs)	O
lors	O
des	O
publications	O
réalisées	O
à	O
l’occasion	O
d’un	O
jubilé	O
académique	O
met	O
en	O
évidence	O
le	O
rôle	O
de	O
la	O
mention	O
publique	O
des	O
noms	O
dans	O
l’affermissement	O
des	O
relations	O
sociales.	O
C’est	O
dans	O
le	O
paratexte	O
que	O
se	O
constitue	O
principalement	O
–	O
mais	O
pas	O
seulement	O
–	O
le	O
réseau	O
social	O
du	O
livre.	O
C’est	O
ainsi	O
que	O
Gérard	B-PER
Genette	I-PER
définit	O
les	O
textes	O
périphériques	O
d’un	O
livre,	O
qui	O
permettent	O
précisément	O
au	O
texte	O
principal	O
d’accéder	O
au	O
statut	O
de	O
livre,	O
et	O
qui	O
l’accompagnent	O
dans	O
le	O
volume	O
publié	O
lui-même,	O
comme	O
les	O
titres,	O
les	O
tables	O
des	O
matières,	O
les	O
dédicaces,	O
les	O
avant-propos	O
ou	O
les	O
épigraphes	O
(ce	O
qu’il	O
appelle	O
le	O
péritexte),	O
ou	O
bien	O
les	O
textes	O
publiés	O
autour	O
du	O
livre	O
et	O
dans	O
lesquels	O
l’auteur	O
s’exprime	O
à	O
propos	O
de	O
son	O
oeuvre,	O
comme	O
par	O
exemple	O
dans	O
les	O
interviews,	O
les	O
diverses	O
contributions	O
ou	O
les	O
lettres	O
(ce	O
que	O
Genette	B-PER
appelle	O
l’épitexte)	O
Cf.	O
Genette,	O
Gérard,	O
Paratexte.	O
Das	O
Buch	O
vom	O
Beiwerk	O
des	O
Buches.	O
Avec	O
une	O
préface	O
de	O
Harald	O
Weinrich.	O
Traduit	O
du	O
français	O
par	O
Dieter	O
Hornig.	O
Frankfurt-a.-M.	O
:	O
Suhrkamp,	O
2001,	O
p.	O
9-21	O
.	O
La	O
fonction	O
sociale	O
du	O
paratexte	O
est	O
évidente	O
dans	O
le	O
cas	O
des	O
dédicaces	O
:	O
elle	O
a	O
pour	O
but	O
de	O
créer	O
ou	O
de	O
renforcer	O
une	O
relation	O
entre	O
l’auteur	O
et	O
le	O
dédicataire.	O
Genette	O
fait	O
la	O
différence,	O
à	O
ce	O
propos,	O
entre	O
deux	O
pratiques	O
apparentées,	O
mais	O
distinctes.	O
Il	O
est	O
possible	O
d’une	O
part	O
d’offrir	O
un	O
exemplaire	O
isolé	O
d’un	O
livre	O
à	O
une	O
personne	O
déterminée,	O
à	O
titre	O
de	O
cadeau	O
personnel	O
ou	O
de	O
don	O
honorifique,	O
ce	O
que	O
l’on	O
signale	O
généralement	O
par	O
un	O
insert	O
manuscrit	O
accompagné	O
d’une	O
signature	O
sur	O
la	O
page	O
de	O
garde	O
ou	O
au-dessous	O
du	O
titre	O
intérieur.	O
On	O
peut	O
d’autre	O
part	O
dédier	O
«	O
la	O
réalité	O
idéale	O
de	O
l’oeuvre	O
en	O
elle-même	O
»	O
Ibidem,	O
p.	O
115	O
à	O
autrui,	O
et	O
le	O
faire	O
apparaître	O
dans	O
une	O
dédicace	O
paratextuelle	O
imprimée	O
aux	O
côtés	O
de	O
l’oeuvre,	O
dans	O
un	O
texte	O
que	O
tout	O
un	O
chacun	O
pourra	O
lire	O
dans	O
chaque	O
exemplaire	O
du	O
livre.	O
Genette	B-PER
appelle	O
cette	O
deuxième	O
pratique	O
l’acte	O
de	O
«	O
dédier	O
»,	O
afin	O
de	O
la	O
distinguer	O
de	O
l’acte	O
de	O
dédicacer	O
qui	O
ne	O
concerne	O
au	O
sens	O
strict	O
qu’un	O
exemplaire	O
unique.	O
Dédicacer	O
un	O
livre,	O
chacun	O
en	O
principe	O
peut	O
le	O
faire,	O
dans	O
le	O
cadre	O
d’un	O
don	O
la	O
plupart	O
du	O
temps,	O
tandis	O
que	O
le	O
dédier	O
n’est	O
possible	O
que	O
pour	O
l’auteur	O
ou	O
pour	O
ceux	O
qui	O
sont	O
directement	O
concernés	O
par	O
la	O
production	O
du	O
livre	O
–	O
un	O
éditeur	O
ou	O
un	O
traducteur,	O
qui	O
ne	O
peuvent	O
dès	O
lors	O
symboliquement	O
présenter	O
au	O
destinataire	O
que	O
leur	O
propre	O
participation	O
à	O
l’oeuvre.	O
Dans	O
les	O
livres	O
des	O
temps	O
modernes,	O
l’acte	O
de	O
dédier	O
est	O
une	O
pratique	O
largement	O
répandue	O
;	O
généralement	O
il	O
ne	O
se	O
manifeste	O
pas	O
uniquement	O
en	O
une	O
courte	O
phrase	O
ou	O
en	O
un	O
«	O
Pour	O
X	O
Y	O
»	O
laconique,	O
mais	O
par	O
des	O
discours	O
développés	O
qui	O
témoignent	O
du	O
degré	O
de	O
gratitude	O
de	O
l’auteur	O
envers	O
son	O
destinataire	O
et	O
qui	O
lui	O
rendent	O
un	O
hommage	O
appuyé.	O
L’acte	O
de	O
dédier	O
une	O
oeuvre	O
fait	O
donc	O
apparaître	O
un	O
ordre	O
social	O
hiérarchisé	O
dans	O
lequel	O
les	O
auteurs	O
se	O
placent	O
à	O
un	O
niveau	O
inférieur	O
à	O
celui	O
du	O
dédicataire.	O
Ainsi	O
le	O
fait	O
de	O
dédier	O
un	O
ouvrage	O
établit	O
et	O
concrétise	O
explicitement	O
un	O
rapport	O
d’allégeance,	O
afin	O
de	O
consolider	O
une	O
relation	O
susceptible	O
de	O
garantir	O
de	O
futures	O
faveurs.	O
Le	O
livre	O
devient	O
dès	O
lors	O
l’expression	O
d’un	O
patronage	O
comme	O
il	O
en	O
existe	O
dans	O
la	O
société	O
féodale,	O
et	O
la	O
dédicace	O
a	O
pour	O
fonction	O
