TOKEN	IOB
«	O
L’extraordinaire	O
du	O
roman,	O
c’est	O
que	O
pour	O
comprendre	O
le	O
réel	O
objectif,	O
il	O
invente	O
d’inventer	O
»	O
Aragon,	O
Les	O
cloches	O
de	O
Bâle.	O
On	O
constate	O
l’«	O
inflation	O
»,	O
dans	O
les	O
milieux	O
des	O
sciences	O
humaines	O
et	O
de	O
l’anthropologie,	O
de	O
publications	O
récentes	O
dont	O
le	O
titre	O
contient	O
le	O
mot	O
invention	O
:	O
L’invention	O
du	O
sujet	O
moderne	O
;	O
L’invention	O
de	O
Dieu	O
;	O
L’invention	O
du	O
monde	O
;	O
L’invention	O
de	O
la	O
culture	O
Environ	O
710	O
titres	O
de	O
l’Année	O
philologique	O
portent	O
cette	O
mention	O
avec	O
une	O
croissance	O
nette	O
à	O
partir	O
des	O
années	O
2000.	O
Pour	O
une	O
liste	O
indicative,	O
voir	O
la	O
bibliographie.	O
.	O
Aucune	O
notion	O
ne	O
semble	O
aujourd’hui	O
échapper	O
à	O
son	O
invention.	O
S’agissant	O
des	O
Grecs	O
anciens,	O
est-il	O
nécessaire	O
de	O
rappeler,	O
entre	O
autres,	O
des	O
titres	O
tels	O
que	O
L’Invention	O
de	O
la	O
mythologie	O
(Detienne	O
1981)	O
ou	O
L’invention	O
d’Athènes	O
(Loraux	O
1981)	O
?	O
Un	O
chercheur	O
contemporain	O
n’hésite	O
pas	O
à	O
relier	O
explicitement	O
l’usage	O
de	O
ce	O
concept	O
à	O
l’école	O
de	O
Paris	B-LOC
:	O
«	O
All	O
the	O
scholars	O
of	O
this	O
group	O
appear	O
to	O
be	O
deeply	O
concerned	O
with	O
invention	O
»	O
(Miller	O
2000,	O
p.	O
56).	O
Il	O
semble	O
bien,	O
en	O
effet,	O
y	O
avoir	O
eu	O
un	O
privilège	O
de	O
l’usage	O
du	O
mot	O
invention	O
dans	O
les	O
études	O
anciennes	O
surtout	O
à	O
partir	O
des	O
années	O
80,	O
comme	O
en	O
témoigne,	O
par	O
exemple,	O
la	O
traduction	O
française	O
d’un	O
ouvrage	O
de	O
Moses	O
Finley	O
paru	O
en	O
1983,	O
Politics	O
in	O
the	O
Ancient	O
World,	O
qui,	O
deux	O
ans	O
plus	O
tard,	O
a	O
fait	O
date	O
en	O
France	B-LOC
,	O
sous	O
le	O
titre	O
dont	O
apparaît	O
clairement	O
le	O
caractère	O
forcé	O
:	O
L’invention	O
de	O
la	O
politique.	O
Or,	O
si	O
Finley	O
écrit	O
bien	O
(p.	O
53)	O
:	O
«	O
Politics	O
[…]	O
were	O
a	O
Greek	O
invention	O
»,	O
le	O
titre	O
français	O
ne	O
reflète	O
pas	O
l’intention	O
de	O
l’ouvrage	O
(Darbo-Peschanski	O
1986,	O
p.	O
305).	O
Qu’en	O
est-il	O
du	O
concept	O
d’invention,	O
que	O
signifie	O
exactement	O
l’invention	O
dont	O
on	O
parle	O
?	O
Il	O
y	O
a	O
une	O
différence	O
flagrante	O
entre	O
le	O
point	O
de	O
vue	O
selon	O
lequel	O
les	O
Grecs	O
ont	O
inventé	O
au	O
sens	O
de	O
découvert	O
le	O
théorème	O
de	O
Pythagore	B-PER
,	O
la	O
géométrie	O
d’	O
Euclide	B-PER
,	O
le	O
cadran	O
solaire,	O
le	O
principe	O
d’	O
Archimède	B-PER
,	O
la	O
machine	O
à	O
vapeur,	O
l’orgue	O
hydraulique,	O
et	O
le	O
point	O
de	O
vue	O
selon	O
lequel	O
ils	O
se	O
sont	O
inventés	O
ou	O
imaginés	O
eux-mêmes.	O
Dans	O
le	O
premier	O
cas,	O
l’invention	O
est	O
entendue	O
au	O
sens	O
heuristique	O
et	O
démiurgique,	O
alors	O
que	O
dans	O
le	O
second	O
cas,	O
elle	O
désigne	O
une	O
fiction	O
idéologique.	O
Le	O
mot	O
ambigu	O
«	O
invention	O
»,	O
chargé	O
de	O
rendre	O
intelligible	O
un	O
devenir	O
et	O
ses	O
«	O
événements	O
Les	O
guillemets	O
suggèrent	O
que	O
le	O
statut	O
du	O
terme	O
événement	O
ne	O
va	O
pas	O
non	O
plus	O
de	O
soi	O
(Choplin	O
et	O
Soulier	O
2014,	O
p.	O
351-364).	O
»,	O
fonctionne	O
dans	O
les	O
sciences	O
humaines	O
de	O
manière	O
in-interrogée	O
comme	O
une	O
sorte	O
de	O
fossile	O
verbal,	O
et	O
ce	O
malgré	O
la	O
disparité	O
de	O
modèles	O
d’interprétation	O
tels	O
que	O
celui	O
du	O
«	O
Miracle	O
grec	O
»	O
selon	O
l’expression	O
bien	O
connue	O
d’Ernest	O
Renan,	O
les	O
paradigmes	O
généalogique	O
et	O
heuristique	O
qui	O
dominent	O
l’après	O
guerre	O
chez	O
Richard	O
Onians	O
et	O
Bruno	B-PER
Snell	I-PER
,	O
l’anthropologie	O
historique	O
et	O
sociologique	O
de	O
Louis	B-PER
Gernet	I-PER
et	O
Jean-Pierre	B-PER
Vernant	I-PER
,	O
ou	O
plus	O
récemment	O
de	O
Nicole	B-PER
Loraux	I-PER
ou	O
Marcel	B-PER
Detienne	I-PER
.	O
Il	O
existe	O
un	O
rapport	O
différentiel	O
entre	O
une	O
série	O
de	O
conventions	O
épistémologiques	O
et	O
culturelles	O
propres	O
à	O
l’anthropologue	O
ou	O
à	O
l’historien	O
qui	O
étudient	O
les	O
Grecs	O
anciens,	O
et	O
celles	O
des	O
Grecs	O
anciens	O
eux-mêmes.	O
Faute	O
de	O
prendre	O
en	O
compte	O
ce	O
rapport	O
et	O
de	O
continuellement	O
le	O
réviser	O
ou	O
le	O
corriger,	O
on	O
tombe	O
dans	O
les	O
anachronismes	O
et	O
les	O
points	O
aveugles	O
épistémologiques	O
et	O
méthodologiques.	O
Un	O
exemple	O
:	O
le	O
prôtos	O
heuretès	O
Un	O
exemple	O
est	O
offert	O
par	O
la	O
façon	O
dont	O
la	O
tradition	O
grecque	O
du	O
«	O
premier	O
inventeur	O
»	O
(	O
prôtos	O
heuretès	O
)	O
Sur	O
cette	O
tradition	O
bien	O
connue,	O
Kleingünter	O
1933	O
;	O
Brelich	O
1978	O
;	O
Zhmud	O
2006.	O
infiltre	O
les	O
histoires	O
modernes	O
de	O
la	O
science	O
grecque	O
ancienne.	O
Chacun	O
connaît	O
dans	O
le	O
Prométhée	O
enchaîné	O
d’Eschyle,	O
le	O
titan	O
«	O
premier	O
à	O
inventer	O
»	O
les	O
techniques	O
et	O
la	O
culture	O
(vers	O
465-468)	O
ou	O
encore	O
la	O
figure	O
d’Hermès-Thoth	O
qui	O
concentre	O
toute	O
une	O
série	O
de	O
traditions	O
d’inventions	O
et	O
de	O
révélations	O
Sur	O
les	O
modalités	O
de	O
la	O
révélation	O
:	O
Festugière	O
1981,	O
p.	O
348-354.	O
à	O
la	O
fois	O
grecques	O
et	O
égyptiennes	O
dont	O
on	O
a	O
des	O
échos	O
chez	O
Platon	O
(Cratyle,	O
407e)	O
et	O
Diodore	B-PER
de	I-PER
Sicile	I-PER
(I,	O
16).	O
Cette	O
«	O
mythologie	O
»	O
de	O
l’origine	O
divine	O
ou	O
héroïque	O
des	O
sciences	O
ou	O
des	O
techniques	O
imprègne	O
les	O
histoires	O
anciennes,	O
comme	O
celles	O
de	O
la	O
musique.	O
Plutarque	B-PER
mentionne	O
les	O
histoires	O
dont	O
les	O
harmoniciens	O
(	O
harmonikoi	O
)	O
sont	O
les	O
auteurs	O
(Plutarque,	O
De	O
la	O
Musique,	O
1136d-e)	O
et	O
déclare	O
s’appuyer	O
sur	O
les	O
historiens	O
anciens,	O
comme	O
Istros	B-PER
et	O
Anticleides,	O
auteurs	O
du	O
iii	O
e	O
siècle	O
avant	O
J.-C.	O
(De	O
la	O
Musique,	O
1135f-1136a).	O
Cette	O
«	O
mythologie	O
»	O
imprègne	O
non	O
seulement,	O
à	O
l’époque	O
hellénistique,	O
une	O
pléthore	O
de	O
traités	O
de	O
propagande	O
personnelle,	O
le	O
plus	O
souvent	O
perdus,	O
de	O
médecine,	O
de	O
stratégie,	O
de	O
peinture	O
ou	O
d’architecture	O
Vitruve	O
mentionne	O
une	O
série	O
de	O
traités	O
d’architecture	O
:	O
De	O
l’architecture,	O
VII,	O
introduction	O
(Gros	O
2015).	O
,	O
mais	O
elle	O
imprègne	O
aussi	O
la	O
Renaissance	O
(De	O
Rerum	O
inventoribus	O
de	O
Polydore	O
Vergilius),	O
et	O
la	O
Modernité	O
(par	O
exemple,	O
tout	O
le	O
début	O
du	O
Manuel	O
de	O
Philologie	O
classique	O
de	O
Salomon	O
Reinach,	O
publié	O
en	O
1880,	O
peut	O
être	O
considéré	O
comme	O
un	O
catalogue	O
des	O
grands	O
inventeurs	O
dans	O
les	O
humanités	O
et	O
possède	O
le	O
ton	O
emphatique	O
des	O
histoires	O
hellénistiques,	O
marqué	O
par	O
le	O
ressassement	O
d’adjectifs	O
et	O
de	O
substantifs	O
dans	O
le	O
style	O
de	O
l’éloge	O
:	O
«	O
le	O
plus	O
grand	O
»	O
ou	O
«	O
premier	O
»	O
;	O
«	O
novateur	O
»).	O
Et	O
selon	O
un	O
effet	O
de	O
miroir	O
symptomatique,	O
on	O
appelait	O
prôtos	O
heuretès	O
de	O
la	O
philologie	O
moderne	O
le	O
philologue	O
allemand	O
Friedrich	O
August	O
Wolf,	O
auteur	O
en	O
1807	O
d’une	O
Darstellung	O
der	O
Altertumswissenschaft	O
(Hummel	O
2000,	O
p.	O
110)	O
destinée	O
à	O
étayer	O
le	O
récit	O
fondateur	O
de	O
la	O
science	O
allemande	O
qu’est	O
le	O
Griechenmythos	O
(Andurand	O
2013	O
;	O
Roche	O
et	O
Demetriou	O
2018).	O
Le	O
«	O
Miracle	O
grec	O
»,	O
vanté	O
par	O
Ernest	O
Renan,	O
convoque	O
la	O
figure	O
d’une	O
création	O
unique	O
et	O
fondamentale,	O
ethnologiquement	O
marquée,	O
et	O
caractérisée	O
par	O
un	O
commencement	O
à	O
la	O
fois	O
absolu,	O
singulier,	O
nouveau	O
et	O
immortel.	O
C’est	O
ce	O
même	O
concept	O
d’invention	O
qui	O
anime	O
les	O
travaux	O
de	O
John	O
Burnet	O
(1914,	O
p.	O
3)	O
:	O
«	O
Now	O
rational	O
science	O
is	O
the	O
creation	O
of	O
the	O
Greeks	O
and	O
we	O
know	O
when	O
it	O
began.	O
»	O
Et	O
passant	O
en	O
revue	O
les	O
traces	O
papyrologiques	O
et	O
archéologiques	O
des	O
sciences	O
d’origine	O
indienne,	O
égyptienne,	O
ou	O
babylonienne,	O
il	O
écrit	O
(1920,	O
p.	O
27)	O
:	O
Nous	O
pouvons	O
résumer	O
tout	O
cela	O
en	O
disant	O
que	O
les	O
Grecs	O
n’ont	O
emprunté	O
à	O
l’Orient	O
ni	O
leur	O
philosophie	O
ni	O
leur	O
science.	O
Sans	O
doute	O
ont-ils	O
tiré	O
d’	O
Égypte	B-LOC
certaines	O
règles	O
de	O
mesure	O
qui,	O
une	O
fois	O
généralisées,	O
ont	O
donné	O
naissance	O
à	O
la	O
géométrie	O
tandis	O
que	O
de	O
Babylone	B-LOC
ils	O
ont	O
appris	O
que	O
les	O
phénomènes	O
des	O
cieux	O
se	O
reproduisent	O
circulairement	O
en	O
cycles	O
avec	O
la	O
plus	O
grande	O
régularité.	O
Cette	O
partie	O
de	O
la	O
connaissance	O
avait	O
sans	O
