TOKEN	IOB
Au	O
tournant	O
du	O
xviii	O
e	O
et	O
du	O
xix	O
e	O
siècle,	O
l’économie	O
de	O
la	O
musique,	O
entendue	O
comme	O
le	O
système	O
organisant	O
sa	O
pratique	O
(depuis	O
la	O
production	O
des	O
objets	O
artistiques	O
jusqu’aux	O
règles	O
administrant	O
le	O
métier),	O
connaît	O
une	O
formidable	O
mutation.	O
À	O
la	O
suite	O
de	O
ce	O
que	O
l’on	O
peut	O
appeler	O
une	O
révolution	O
grapho-centrique	O
Voir	O
à	O
ce	O
sujet	O
l’introduction	O
de	O
Campos,	O
Donin	O
et	O
Keck,	O
2006.	O
,	O
le	O
texte	O
musical	O
va	O
occuper	O
une	O
place	O
auparavant	O
inconnue	O
dans	O
les	O
usages	O
quotidiens	O
des	O
artistes	O
et	O
des	O
amateurs.	O
Alors	O
que	O
la	O
partition	O
avait	O
été	O
un	O
squelette	O
plus	O
ou	O
moins	O
nettement	O
dessiné	O
auquel	O
les	O
musiciens	O
donnaient	O
chair	O
au	O
moment	O
de	O
l’exécution	O
en	O
l’enrichissant	O
d’ornements	O
ou	O
de	O
parties	O
supplémentaires,	O
voire	O
en	O
le	O
retaillant	O
sur	O
mesure,	O
elle	O
tend	O
tout	O
au	O
long	O
du	O
xix	O
e	O
siècle	O
à	O
se	O
confondre	O
toujours	O
plus	O
exactement	O
avec	O
la	O
musique	O
sonnante.	O
Au	O
terme	O
du	O
processus,	O
tout	O
ce	O
qui	O
est	O
écrit	O
sera	O
joué	O
strictement,	O
toute	O
musique	O
entendue	O
aura	O
préalablement	O
été	O
de	O
la	O
musique	O
écrite.	O
Une	O
dynamique	O
complexe	O
explique	O
ce	O
bouleversement	O
dans	O
lequel	O
le	O
poids	O
de	O
plus	O
en	O
plus	O
important	O
pris	O
par	O
le	O
compositeur	O
dans	O
la	O
hiérarchie	O
des	O
professions	O
musiciennes	O
joue	O
un	O
rôle	O
déterminant.	O
Longtemps,	O
l’autorité	O
avait	O
été	O
partagée	O
:	O
ceux	O
qui	O
jouaient	O
ou	O
chantaient,	O
imprésarios	O
ou	O
directeurs	O
de	O
théâtre,	O
éditeurs	O
ou	O
amateurs,	O
intervenaient	O
directement	O
dans	O
la	O
production	O
des	O
œuvres,	O
par	O
l’insertion	O
de	O
séquences	O
improvisées,	O
par	O
la	O
coupure	O
ou	O
par	O
l’arrangement.	O
La	O
montée	O
en	O
puissance	O
de	O
l’artiste	O
créateur,	O
indépendant	O
financièrement	O
et	O
entouré	O
du	O
respect	O
dont	O
on	O
se	O
mit	O
à	O
gratifier	O
les	O
génies	O
dès	O
la	O
fin	O
du	O
xviii	O
e	O
siècle,	O
confère	O
aux	O
ouvrages	O
du	O
compositeur	O
le	O
statut	O
de	O
chose	O
vénérée.	O
L’assimilation	O
partielle	O
de	O
l’art	O
à	O
une	O
religion	O
par	O
des	O
musiciens	O
militants	O
proches	O
du	O
saint-simonisme	O
(Franz	O
Liszt,	O
Hector	O
Berlioz	O
ou	O
Félicien	O
David)	O
acheva	O
de	O
sacraliser	O
les	O
objets	O
artistiques	O
et	O
de	O
pétrifier	O
le	O
texte	O
musical.	O
Les	O
cadences	O
vocales,	O
ornements	O
et	O
autres	O
improvisations	O
furent	O
dès	O
lors	O
systématiquement	O
condamnés	O
comme	O
des	O
actes	O
de	O
vandalisme.	O
Le	O
changement	O
de	O
régime	O
de	O
lecture	O
et	O
d’écriture	O
de	O
la	O
musique	O
amorcé	O
dans	O
le	O
courant	O
du	O
xix	O
e	O
siècle	O
eut	O
des	O
répercussions	O
considérables	O
sur	O
le	O
corps	O
des	O
instrumentistes	O
et	O
des	O
chanteurs.	O
L’idéal	O
de	O
l’artiste-orateur	O
déclamant	O
la	O
musique	O
comme	O
un	O
discours	O
céda	O
la	O
place	O
à	O
une	O
ascèse	O
de	O
l’interprétation	O
où	O
le	O
respect	O
du	O
texte	O
le	O
disputait	O
à	O
l’austérité	O
du	O
geste.	O
L’évolution	O
est	O
particulièrement	O
visible,	O
à	O
partir	O
de	O
la	O
fin	O
du	O
xviii	O
e	O
siècle,	O
dans	O
le	O
domaine	O
de	O
la	O
pédagogie	O
musicale	O
qui	O
est	O
alors	O
le	O
théâtre	O
d’un	O
immense	O
procès	O
de	O
rationalisation.	O
Portée	O
par	O
l’idéologie	O
du	O
surhomme,	O
la	O
figure	O
émergente	O
du	O
virtuose	O
suscite	O
une	O
rénovation	O
radicale	O
des	O
techniques	O
d’apprentissage.	O
Le	O
savoir-faire	O
transmis	O
au	O
sein	O
d’instances	O
professionnelles	O
collectives	O
(maîtrise-cathédrale,	O
troupe	O
d’opéra,	O
bande	O
municipale,	O
etc.)	O
ou	O
auprès	O
d’un	O
maître	O
longuement	O
fréquenté	O
est	O
peu	O
à	O
peu	O
concurrencé	O
par	O
un	O
savoir	O
scolaire	O
(dans	O
les	O
conservatoires	O
et	O
les	O
écoles	O
qui	O
avaient	O
proliféré	O
comme	O
chez	O
les	O
milliers	O
de	O
professeurs	O
particuliers	O
loués	O
à	O
l’heure)	O
où	O
le	O
dépassement	O
des	O
difficultés	O
passe	O
par	O
leur	O
analyse	O
abstraite	O
et	O
où	O
les	O
corps	O
sont	O
soumis	O
à	O
une	O
inculcation	O
systématique.	O
La	O
tablature,	O
apparue	O
à	O
la	O
fin	O
du	O
Moyen	O
Âge,	O
avait	O
été	O
la	O
première	O
forme	O
de	O
notation	O
du	O
geste	O
musical	O
:	O
les	O
signes	O
y	O
fixaient	O
moins	O
le	O
son	O
qu’ils	O
n’indiquaient	O
le	O
doigt	O
à	O
utiliser	O
pour	O
produire	O
une	O
note.	O
Au	O
xix	O
e	O
siècle,	O
l’écriture	O
musicale	O
se	O
voit	O
confier	O
un	O
nouveau	O
rôle	O
:	O
celui	O
d’outil	O
permettant	O
d’uniformiser	O
pratiques	O
et	O
musiciens.	O
Le	O
moment	O
de	O
l’instruction,	O
autrement	O
dit	O
de	O
l’acquisition	O
des	O
dispositions,	O
devient	O
un	O
lieu	O
d’expérimentation	O
et	O
d’action	O
pour	O
les	O
tenants	O
de	O
l’universalité	O
qui	O
soumettent	O
le	O
corps	O
du	O
musicien	O
à	O
la	O
transformation	O
en	O
cours	O
du	O
texte	O
musical.	O
La	O
main	O
travaillée	O
Depuis	O
son	O
apparition	O
dans	O
les	O
années	O
1770-1790	O
à	O
la	O
suite	O
de	O
la	O
généralisation	O
du	O
concert	O
public	O
payant	O
Bödeker,	O
Veit	O
et	O
Werner,	O
2002.	O
,	O
le	O
virtuose	O
moderne,	O
musicien	O
d’estrades	O
recueillant	O
les	O
applaudissements	O
à	O
coup	O
de	O
tours	O
de	O
force	O
techniques,	O
attirait	O
les	O
regards.	O
La	O
main	O
des	O
artistes	O
fascinait	O
les	O
foules	O
mélomanes.	O
Parmi	O
les	O
objets	O
qui	O
meublaient	O
les	O
salons	O
depuis	O
la	O
seconde	O
moitié	O
du	O
xix	O
e	O
siècle	O
(bustes,	O
portraits	O
de	O
musiciens,	O
parfois	O
mèches	O
de	O
cheveux	O
ou	O
babioles	O
intimes	O
ayant	O
appartenu	O
à	O
des	O
artistes	O
illustres),	O
il	O
n’était	O
pas	O
rare	O
de	O
trouver	O
des	O
moulages	O
en	O
plâtre	O
de	O
mains	O
de	O
compositeurs	O
ou	O
d’instrumentistes	O
On	O
trouve	O
aussi	O
des	O
photographies	O
de	O
mains	O
en	O
plâtre	O
dans	O
Musica	O
(main	O
de	O
Chopin	O
en	O
juillet	O
1908,	O
de	O
Liszt	O
en	O
1911,	O
de	O
Massenet	O
en	O
1912	O
ou	O
de	O
Verdi	O
en	O
1913).	O
.	O
Métonymies	O
des	O
corps	O
adulés,	O
ces	O
objets	O
manufacturés	O
tenaient	O
lieu	O
de	O
reliques	O
de	O
substitution	O
à	O
une	O
époque	O
où	O
le	O
culte	O
des	O
génies	O
connaissait	O
une	O
fortune	O
considérable.	O
Léo	O
d’Hampol,	O
1904,	O
p.	O
328-329.	O
En	O
1906,	O
le	O
journal	O
illustré	O
Musica	O
propose	O
aux	O
amateurs	O
une	O
série	O
d’images	O
étonnantes	O
commentée	O
par	O
Léo	B-PER
d’Hampol	I-PER
:	O
une	O
collection	O
photographique	O
de	O
mains	O
célèbres.	O
Écartant	O
l’interprétation	O
chiromancienne,	O
l’auteur	O
ausculte	O
les	O
mains	O
gauches	O
de	O
violonistes	O
et	O
d’altistes	O
fameux	O
pour	O
y	O
retrouver	O
le	O
profil	O
psychologique	O
des	O
grands	O
hommes	O
(«	O
Les	O
mains	O
que	O
nous	O
avons	O
photographiées	O
confirment	O
une	O
opinion	O
que	O
nous	O
avons	O
déjà	O
émise	O
:	O
à	O
savoir	O
que	O
les	O
mains	O
reflètent	O
l’individu,	O
qu’elles	O
s’identifient	O
avec	O
sa	O
profession	O
de	O
façon	O
à	O
le	O
caractériser	O
davantage	O
Hampol	O
(d’),	O
1904,	O
p.	O
329.	O
»).	O
D’Hampol	B-PER
reconnaît	O
ainsi	O
chez	O
Pablo	B-PER
de	I-PER
Sarasate	I-PER
«	O
les	O
qualités	O
maîtresses	O
du	O
grand	O
virtuose	O
»	O
ou	O
rapporte	O
les	O
propos	O
de	O
Joachim	O
fier	O
de	O
proclamer	O
que,	O
dans	O
son	O
cas,	O
«	O
la	O
fonction	O
a	O
modifié	O
l’organe	O
».	O
Entre	O
description	O
clinique	O
et	O
supputations	O
analytiques,	O
l’article	O
de	O
Musica	O
dénote	O
la	O
mobilisation	O
intensive	O
des	O
physiologues,	O
psychiatres	O
et	O
autres	O
savants	O
pour	O
percer	O
les	O
mystères	O
de	O
la	O
vélocité	O
digitale	O
ou	O
de	O
l’habileté	O
expressive.	O
Du	O
côté	O
des	O
musiciens,	O
les	O
recherches	O
furent	O
plus	O
nombreuses	O
encore	O
et	O
prirent,	O
bien	O
entendu,	O
un	O
tour	O
applicatif.	O
Dès	O
le	O
début	O
du	O
xix	O
e	O
siècle,	O
les	O
pédagogues	O
rivalisèrent	O
d’ingéniosité	O
pour	O
tirer	O
de	O
la	O
main	O
humaine	O
bien	O
plus	O
qu’elle	O
n’avait	O
donné	O
jusque-là.	O
Dans	O
la	O
plupart	O
des	O
méthodes	O
imprimées,	O
la	O
notion	O
de	O
mécanisme	O
s’imposa	O
comme	O
la	O
clef	O
de	O
la	O
pratique	O
instrumentale	O
et	O
même	O
vocale,	O
et	O
l’on	O
ne	O
compta	O
plus	O
les	O
ouvrages	O
intitulés	O
:	O
Écoles	O
du	O
mécanisme,	O
Bases	O
du	O
mécanisme,	O
Mécanisme	O
du	O
toucher	O
ou	O
du	O
doigté.	O
Alors	O
que	O
sous	O
l’Ancien	O
Régime	O
les	O
méthodes	O
visaient	O
avant	O
tout	O
la	O
formation	O
du	O
goût	O
et	O
l’autonomie	O
créative	O
(la	O
plupart	O
des	O
manuels	O
expliquaient	O
l’art	O
de	O
préluder,	O
de	O
réaliser	O
des	O
diminutions,	O
d’improviser	O
une	O
cadence	O
voire	O
de	O
composer	O
une	O
pièce	O
entière)	O
Lescat,	O
1991.	O
,	O
l’efficacité	O
physique	O
occupa	O
dorénavant	O
l’essentiel	O
des	O
premiers	O
temps	O
de	O
l’apprentissage,	O
tandis	O
que	O
la	O
maîtrise	O
du	O
goût	O
était	O
remise	O
aux	O
derniers	O
moments	O
de	O
l’étude.	O
L’exaltation	O
de	O
l’agilité	O
des	O
virtuoses	O
et	O
la	O
mise	O
au	O
pas	O
mécaniste	O
de	O
la	O
pédagogie	O
musicale	O
vont	O
rapidement	O
pousser	O
les	O
musiciens	O
à	O
penser	O
les	O
corps	O
comme	O
des	O
machines	O
qu’il	O
faut	O
dompter.	O
Le	O
recours	O
à	O
des	O
instruments	O
correctifs	O
est	O
sans	O
aucun	O
doute	O
l’aspect	O
le	O
plus	O
saisissant	O
du	O
gouvernement	O
des	O
corps	O
s’instaurant	O
dans	O
la	O
première	O
moitié	O
du	O
xix	O
e	O
siècle.	O
Le	O
pionnier	O
dans	O
ce	O
domaine	O
est	O
Johann	B-PER
Bernhard	I-PER
Logier	I-PER
(1777-1846).	O
Inventé	O
à	O
l’origine	O
pour	O
corriger	O
une	O
malformation	O
physique	O
de	O
la	O
fille	O
du	O
musicien,	O
l’assemblage	O
de	O
tringles	O
et	O
de	O
carcans	O
digitaux	O
ajustés	O
au	O
piano	O
et	O
dénommé	O
«	O
chiroplaste	O
»	O
(1814)	O
devint	O
rapidement	O
la	O
base	O
d’une	O
pédagogie	O
entière,	O
bientôt	O
brevetée	O
en	O
Angleterre	B-LOC
et	O
lancée	O
grâce	O
à	O
une	O
politique	O
de	O
diffusion	O
intensive.	O
La	O
résistance	O
de	O
la	O
corporation	O
des	O
maîtres	O
de	O
musique,	O
menacée	O
de	O
concurrence,	O
fut	O
féroce.	O
L’habileté	O
de	O
Logier	B-PER
consista	O
à	O
s’associer	O
à	O
un	O
pianiste	O
en	O
vue,	O
