TOKEN	IOB
La	O
table	O
appartient	O
à	O
la	O
catégorie	O
très	O
fermée	O
des	O
«	O
biens	O
corporels	O
insaisissables	O
Selon	O
l’article	O
14	O
(4o)	O
de	O
la	O
loi	O
du	O
9	O
juillet	O
1991,	O
sont	O
insaisissables	O
comme	O
étant	O
nécessaires	O
à	O
la	O
vie	O
et	O
au	O
travail	O
du	O
débiteur	O
saisi	O
et	O
de	O
sa	O
famille	O
:	O
les	O
vêtements,	O
la	O
literie,	O
le	O
linge	O
de	O
maison,	O
les	O
objets	O
et	O
produits	O
nécessaires	O
aux	O
soins	O
corporels	O
et	O
à	O
l’entretien	O
des	O
lieux,	O
les	O
denrées	O
alimentaires,	O
les	O
objets	O
de	O
ménage	O
nécessaires	O
à	O
la	O
conservation,	O
à	O
la	O
préparation	O
et	O
à	O
la	O
consommation	O
des	O
aliments,	O
les	O
appareils	O
nécessaires	O
au	O
chauffage,	O
la	O
table	O
et	O
les	O
chaises	O
permettant	O
de	O
prendre	O
les	O
repas	O
en	O
commun,	O
un	O
meuble	O
pour	O
abriter	O
le	O
linge	O
et	O
les	O
vêtements	O
et	O
un	O
meuble	O
pour	O
ranger	O
les	O
objets	O
ménagers,	O
une	O
machine	O
à	O
laver	O
le	O
linge,	O
les	O
livres	O
et	O
autres	O
objets	O
nécessaires	O
à	O
la	O
poursuite	O
des	O
études	O
ou	O
à	O
la	O
formation	O
professionnelle,	O
les	O
objets	O
d’enfants,	O
les	O
souvenirs	O
à	O
caractère	O
personnel	O
ou	O
familial,	O
les	O
animaux	O
d’appartement	O
ou	O
de	O
garde,	O
les	O
animaux	O
destinés	O
à	O
la	O
subsistance	O
du	O
saisi,	O
ainsi	O
que	O
les	O
denrées	O
nécessaires	O
à	O
leur	O
élevage,	O
les	O
instruments	O
de	O
travail	O
nécessaires	O
à	O
l’exercice	O
personnel	O
de	O
l’activité	O
professionnelle,	O
un	O
poste	O
téléphonique	O
permettant	O
l’accès	O
au	O
service	O
téléphonique	O
fixe	O
ainsi	O
que	O
les	O
objets	O
indispensables	O
aux	O
soins	O
