TOKEN	IOB
Ce	O
que	O
les	O
industriels	O
nomment	O
la	O
«	O
traçabilité	O
»	O
des	O
références	O
dépend	O
du	O
sérieux	O
d’Héloïse,	O
assise	O
devant	O
la	O
tranchée	O
et	O
que	O
le	O
groupe	O
a	O
chargée	O
de	O
tenir,	O
avec	O
tout	O
le	O
soin	O
possible,	O
le	O
carnet	O
de	O
mission.	O
Pour	O
chaque	O
sondage	O
elle	O
doit	O
inscrire	O
les	O
coordonnées	O
du	O
lieu,	O
le	O
numéro	O
du	O
trou,	O
le	O
temps,	O
les	O
profondeurs	O
auxquelles	O
on	O
prélève	O
les	O
échantillons	O
et	O
recueillir,	O
sous	O
la	O
dictée	O
de	O
ses	O
deux	O
collègues,	O
toutes	O
les	O
données	O
qualitatives	O
qu’ils	O
obtiennent	O
de	O
chaque	O
motte	O
de	O
terre	O
avant	O
de	O
les	O
glisser	O
dans	O
des	O
sacs.	O
Lorsque	O
Bruno	B-PER
Latour	I-PER
veut	O
montrer,	O
dans	O
ses	O
Petites	O
leçons	O
de	O
sociologie	O
des	O
sciences	O
Latour,	O
1993,	O
p.	O
192.	O
,	O
comment	O
les	O
faits	O
scientifiques	O
sont	O
fabriqués,	O
il	O
suit	O
une	O
équipe	O
de	O
chercheurs	O
de	O
l’ORSTOM	O
au	O
cœur	O
de	O
la	O
forêt	O
brésilienne,	O
partis	O
étudier	O
les	O
sols	O
afin	O
de	O
mieux	O
comprendre	O
les	O
mécanismes	O
par	O
lesquels	O
la	O
forêt	O
se	O
transforme	O
en	O
savane.	O
Ouvrant	O
la	O
boîte	O
noire	O
de	O
la	O
production	O
de	O
connaissances,	O
Latour	B-PER
souligne	O
le	O
rôle	O
essentiel	O
qu’y	O
jouent	O
les	O
carnets	O
de	O
notes,	O
cartes	O
annotées	O
et	O
autres	O
grilles	O
de	O
mesure	O
bricolées	O
sur	O
le	O
terrain,	O
qui	O
construisent	O
une	O
première	O
représentation	O
du	O
réel	O
observé.	O
Car	O
ces	O
premiers	O
documents,	O
ces	O
inscriptions	O
résultant	O
d’observations,	O
vont	O
ensuite	O
voyager	O
par	O
le	O
