TOKEN	IOB
I	O
remember	O
birds	O
from	O
an	O
atlas	O
of	O
species	O
that	O
I	O
never	O
knew	O
C.	B-PER
A.	I-PER
Geron	I-PER
,	O
«	O
Shadows	O
».	O
Les	O
premiers	O
inspecteurs	O
britanniques	O
dépêchés	O
dans	O
les	O
écoles	O
indiennes,	O
il	O
y	O
a	O
deux	O
siècles,	O
étaient	O
souvent	O
perplexes	O
lorsqu’ils	O
devaient	O
rendre	O
compte	O
du	O
fonctionnement	O
de	O
la	O
mémoire	O
dans	O
cette	O
colonie	O
de	O
l’Empire,	O
comme	O
le	O
rappelle	O
Cohn	B-PER
:	O
[…]	O
ce	O
qui	O
stupéfiait	O
le	O
plus	O
les	O
Britanniques	O
au	O
spectacle	O
des	O
prodiges	O
de	O
mémorisation	O
réalisés	O
par	O
les	O
Indiens,	O
c’était	O
que	O
ceux-ci	O
leur	O
donnaient	O
l’impression	O
de	O
ne	O
pas	O
connaître	O
la	O
signification	O
de	O
ce	O
qu’ils	O
avaient	O
intériorisé	O
avec	O
une	O
telle	O
efficacité.	O
Dans	O
le	O
district	O
de	O
Bellary	B-LOC
,	O
en	O
1823,	O
A.	B-PER
D.	I-PER
Campbell	I-PER
trouvait	O
que	O
l’on	O
accordait	O
dans	O
les	O
écoles	O
beaucoup	O
d’attention	O
à	O
l’exacte	O
prononciation	O
des	O
syllabes	O
du	O
langage	O
«	O
poétique	O
»,	O
mais	O
fort	O
peu	O
au	O
sens	O
ou	O
à	O
la	O
construction	O
des	O
mots	O
Cohn,	O
1996,	O
p.	O
51.	O
.	O
Les	O
officiers	O
de	O
l’administration	O
britannique	O
étaient	O
alors	O
peu	O
nombreux	O
à	O
voir	O
dans	O
les	O
pratiques	O
indiennes,	O
comme	O
le	O
faisait	O
W.	B-PER
Ellis	I-PER
,	O
une	O
forme	O
différente	O
de	O
connaissance.	O
Ce	O
qu’	O
Ellis	B-PER
faisait	O
observer,	O
c’était	O
que	O
le	O
mode	O
de	O
connaissance	O
et	O
le	O
mode	O
de	O
pensée	O
des	O
Indiens	O
étaient	O
radicalement	O
différents	O
de	O
ce	O
que	O
les	O
Britanniques	O
tenaient	O
pour	O
la	O
forme	O
naturelle	O
ou	O
normale	O
[…].	O
Leurs	O
raisonnements	O
se	O
fondaient,	O
selon	O
Ellis	B-PER
,	O
«	O
sur	O
les	O
habitudes	O
issues	O
de	O
leur	O
éducation	O
»,	O
laquelle	O
reposait	O
elle-même	O
sur	O
la	O
mémorisation	O
d’un	O
«	O
savoir	O
concentré,	O
et	O
non	O
diffus	O
»	O
Ibid.,	O
p.	O
51-52.	O
.	O
De	O
tels	O
témoignages	O
sur	O
les	O
procédés	O
mnémotechniques	O
indiens	O
ont	O
engendré	O
un	O
cliché,	O
qui	O
a	O
fait	O
obstacle	O
à	O
l’étude	O
des	O
conceptions	O
et	O
à	O
l’observation	O
des	O
pratiques.	O
Bien	O
des	O
auteurs	O
l’ont	O
rattaché	O
au	O
débat	O
sur	O
les	O
rôles	O
respectifs	O
de	O
l’oralité	O
et	O
de	O
l’écriture	O
dans	O
le	O
développement	O
culturel.	O
C’est	O
ce	O
cliché	O
que	O
l’on	O
nomme	O
«	O
tradition	O
orale	O
védique	O
»	O
ou	O
«	O
mémorisation	O
védique	O
».	O
À	O
l’égard	O
de	O
la	O
récitation	O
des	O
Veda,	O
les	O
jugements	O
indiens	O
traditionnels	O
n’étaient	O
pourtant	O
pas	O
sans	O
équivoque.	O
Si	O
l’on	O
faisait	O
l’éloge	O
d’une	O
mémoire	O
efficace,	O
des	O
auteurs	O
respectés	O
tournaient	O
en	O
dérision	O
la	O
simple	O
mémorisation	O
:	O
Kālidāsa	B-PER
a	O
employé	O
un	O
qualificatif	O
devenu	O
célèbre,	O
vedaja	O
ḍ	O
a	O
,	O
«	O
abruti	O
par	O
la	O
psalmodie	O
védique	O
»,	O
tandis	O
que	O
Yāska	B-PER
,	O
Patañjali	B-PER
et	O
Sāyaṇa	B-PER
rapportent	O
un	O
proverbe	O
peu	O
flatteur	O
pour	O
le	O
récitant	O
qui	O
ne	O
comprend	O
rien	O
VBhBhS,	O
p.	O
44.	O
.	O
La	O
mémorisation	O
des	O
Veda	O
n’en	O
demeure	O
pas	O
moins	O
un	O
phénomène	O
sans	O
équivalent.	O
En	O
Inde	B-LOC
,	O
elle	O
constituait	O
un	O
modèle	O
exceptionnel	O
pour	O
d’autres	O
systèmes	O
de	O
savoir	O
Cf.	O
Fuller,	O
2001.	O
.	O
On	O
admet	O
en	O
général	O
que	O
les	O
Veda	O
ont	O
une	O
origine	O
orale	O
et	O
ont	O
continué	O
à	O
être	O
transmis	O
oralement	O
–	O
même	O
si	O
l’expression	O
n’a	O
pas	O
ici	O
le	O
sens	O
que	O
lui	O
donnent	O
Milman	B-PER
Parry	I-PER
,	O
A.	B-PER
B.	I-PER
Lord	I-PER
ou	O
J.	B-PER
Goody	I-PER
Voir	O
Bronkhorst,	O
2002,	O
p.	O
798,	O
et	O
Falk,	O
1990.	O
–	O
durant	O
deux	O
millénaires	O
environ	O
avant	O
que	O
n’apparaissent,	O
vers	O
l’an	O
1000	O
de	O
notre	O
ère,	O
les	O
premiers	O
manuscrits	O
des	O
textes	O
védiques	O
Des	O
auteurs	O
antérieurs,	O
comme	O
Śabara	O
(iv	O
e	O
siècle	O
de	O
notre	O
ère	O
environ),	O
donnent	O
indirectement	O
à	O
penser	O
qu’il	O
y	O
a	O
eu	O
des	O
