TOKEN	IOB
L’orateur	O
Marcus	B-PER
Porcius	I-PER
Latro	I-PER
est	O
une	O
figure	O
récurrente	O
des	O
Controverses	O
que	O
Sénèque	B-PER
le	I-PER
Rhéteur	I-PER
avait	O
composées,	O
au	O
début	O
du	O
règne	O
de	O
Caligula	B-PER
Père	O
de	O
Sénèque	O
le	O
philosophe	O
et	O
grand-père	O
du	O
poète	O
Lucain,	O
Sénèque	O
le	O
Rhéteur	O
(vers	O
55	O
av.	O
J.-C.-vers	O
40	O
ap.	O
J.-C.)	O
composa	O
un	O
ouvrage	O
rétrospectif	O
sur	O
les	O
pratiques	O
oratoires	O
de	O
son	O
temps,	O
les	O
Sentences,	O
divisions	O
et	O
couleurs	O
des	O
orateurs	O
et	O
des	O
rhéteurs	O
dont	O
les	O
Controverses	O
constituent	O
la	O
première	O
partie.	O
,	O
pour	O
conserver	O
le	O
souvenir	O
des	O
grands	O
orateurs	O
de	O
son	O
temps.	O
Latro	B-PER
avait	O
connu	O
la	O
gloire	O
sous	O
le	O
règne	O
d’	O
Auguste	B-PER
,	O
à	O
l’époque	O
où	O
le	O
passage	O
du	O
régime	O
républicain	O
au	O
principat	O
avait	O
amputé	O
l’éloquence	O
de	O
sa	O
dimension	O
politique.	O
La	O
pratique	O
oratoire	O
s’était	O
réorientée,	O
et	O
la	O
déclamation	O
de	O
causes	O
fictives	O
avait	O
pris	O
une	O
importance	O
nouvelle	O
Sur	O
la	O
déclamation,	O
cf.	O
Bonner,	O
1969.	O
.	O
Dans	O
cette	O
approche	O
littérarisée	O
de	O
l’éloquence,	O
Latro	O
excellait	O
;	O
il	O
déclamait	O
devant	O
les	O
puissants	O
et	O
tenait	O
école.	O
Il	O
fut	O
pourtant	O
critiqué	O
:	O
son	O
style,	O
la	O
difficulté	O
qu’il	O
éprouvait	O
à	O
plaider	O
des	O
causes	O
réelles	O
ou	O
à	O
s’exprimer	O
en	O
plein	O
air	O
faisaient	O
de	O
lui	O
un	O
rhéteur	O
scolastique	O
plus	O
qu’un	O
orateur	O
véritable.	O
Sénèque	B-PER
le	I-PER
rhéteur	I-PER
s’efforce	O
de	O
défendre	O
le	O
souvenir	O
de	O
celui	O
qui	O
avait	O
été	O
son	O
condisciple	O
auprès	O
du	O
rhéteur	O
Marullus	B-PER
.	O
Tout	O
en	O
soulignant	O
son	O
habileté	O
et	O
l’efficacité	O
de	O
son	O
éloquence,	O
il	O
insiste	O
plus	O
encore	O
sur	O
une	O
qualité	O
moins	O
immédiatement	O
perceptible	O
:	O
la	O
puissance	O
de	O
sa	O
mémoire	O
(memoria).	O
Celle-ci	O
permettait	O
à	O
Latro	B-PER
de	O
retenir	O
tout	O
ce	O
qui	O
était	O
nécessaire	O
à	O
son	O
art,	O
sans	O
jamais	O
courir	O
le	O
risque	O
d’oublier	O
quoi	O
que	O
ce	O
soit.	O
Ainsi,	O
le	O
rhéteur	O
n’avait	O
aucun	O
effort	O
à	O
fournir	O
pour	O
mémoriser	O
les	O
discours	O
qu’il	O
allait	O
déclamer,	O
car	O
le	O
simple	O
fait	O
de	O
les	O
composer	O
par	O
écrit	O
les	O
lui	O
faisait	O
retenir	O
;	O
il	O
pouvait	O
alors	O
les	O
restituer	O
au	O
mot	O
près.	O
Une	O
fois	O
sa	O
déclamation	O
prononcée,	O
il	O
la	O
conservait	O
à	O
jamais	O
dans	O
sa	O
mémoire.	O
Les	O
archives	O
ne	O
lui	O
étaient,	O
par	O
conséquent,	O
d’aucune	O
utilité	O
:	O
Latro	B-PER
«	O
écrivait	O
sur	O
son	O
esprit	O
Sénèque	O
le	O
Rhéteur,	O
Controuersiae,	O
I,	O
praef.	O
17-18.	O
Sauf	O
mention	O
contraire,	O
les	O
traductions	O
sont	O
les	O
nôtres.	O
».	O
Telle	O
qu’elle	O
nous	O
est	O
décrite,	O
l’extraordinaire	O
mémoire	O
de	O
Latro	B-PER
est	O
parfaitement	O
adaptée	O
au	O
but	O
poursuivi	O
par	O
le	O
rhéteur	O
:	O
elle	O
lui	O
permet	O
de	O
retenir,	O
dans	O
ses	O
moindres	O
détails,	O
un	O
texte	O
dont	O
le	O
contenu	O
est	O
largement	O
fictionnel	O
et	O
dont	O
le	O
style,	O
élaboré	O
de	O
manière	O
extrêmement	O
précise,	O
ne	O
peut	O
souffrir	O
aucune	O
variation	O
intempestive.	O
Instrument	O
de	O
rétention	O
et	O
de	O
reproduction,	O
la	O
mémoire	O
représente	O
alors	O
un	O
truchement	O
entre	O
composition	O
écrite	O
et	O
oralité.	O
Elle	O
vaut	O
également	O
pour	O
elle-même	O
:	O
de	O
même	O
que	O
la	O
déclamation	O
est	O
pure	O
performance,	O
tout	O
entière	O
destinée	O
à	O
faire	O
valoir	O
les	O
qualités	O
de	O
style,	O
de	O
composition	O
ou	O
d’invention	O
de	O
l’orateur	O
–	O
et	O
non	O
à	O
convaincre	O
le	O
public	O
–,	O
la	O
mémoire	O
constitue	O
un	O
faire-valoir,	O
une	O
marque	O
des	O
qualités	O
intrinsèques	O
du	O
rhéteur.	O
Le	O
monde	O
romain	O
est	O
en	O
effet	O
fasciné	O
par	O
les	O
exploits	O
mémoriels,	O
et	O
la	O
tradition	O
nous	O
a	O
conservé	O
le	O
souvenir	O
de	O
quelques	O
cas	O
extraordinaires	O
:	O
le	O
philosophe	O
Charmada	B-PER
s,	O
capable	O
de	O
réciter	O
dans	O
leur	O
intégralité,	O
comme	O
s’il	O
les	O
lisait,	O
les	O
ouvrages	O
qu’on	O
lui	O
désignait	O
dans	O
une	O
bibliothèque	O
;	O
l’Académicien	O
Métrodore	B-PER
de	I-PER
Scepsis	I-PER
et	O
le	O
rhéteur	O
Empylos	B-PER
de	I-PER
Rhodes	I-PER
,	O
qui	O
pouvaient	O
tous	O
deux	O
restituer	O
avec	O
une	O
précision	O
extraordinaire	O
les	O
textes	O
qu’ils	O
avaient	O
appris	O
;	O
Théodecte	B-PER
,	O
qui	O
répétait	O
sans	O
erreur	O
les	O
vers	O
qu’on	O
lui	O
avait	O
lus,	O
quel	O
que	O
soit	O
leur	O
nombre	O
;	O
ou	O
encore	O
Quintus	B-PER
Hortensius	I-PER
,	O
l’orateur	O
qui	O
fut	O
longtemps	O
le	O
rival	O
de	O
Cicéron	B-PER
et	O
qui,	O
après	O
avoir	O
assisté	O
à	O
une	O
vente	O
durant	O
une	O
journée	O
entière,	O
parvint	O
à	O
dérouler,	O
dans	O
l’ordre,	O
la	O
liste	O
des	O
acheteurs,	O
des	O
objets	O
qu’ils	O
avaient	O
acquis	O
et	O
le	O
prix	O
qu’ils	O
avaient	O
payé	O
pour	O
cela	O
Charmadas	O
:	O
Cicéron,	O
De	O
oratore,	O
II,	O
360	O
;	O
Pline	O
l’ancien,	O
Naturales	O
historiae,	O
VII,	O
24	O
;	O
Métrodore	O
:	O
Cicéron,	O
De	O
oratore,	O
II,	O
360	O
;	O
Empylos	O
:	O
Quintilien,	O
Institutio	O
oratoria,	O
X,	O
6,	O
4	O
;	O
Théodecte	O
:	O
Quintilien,	O
Institutio	O
oratoria,	O
XI,	O
2,	O
51	O
;	O
Hortensius	O
:	O
Cicéron,	O
De	O
oratore,	O
III,	O
230	O
;	O
Brutus,	O
301	O
;	O
Academica,	O
II,	O
1,	O
2	O
;	O
Tusculanae	O
disputationes,	O
I,	O
59	O
;	O
Sénèque	O
le	O
Rhéteur,	O
Controuersiæ,	O
I,	O
praef.	O
19	O
;	O
Quintilien,	O
Institutio	O
oratoria,	O
XI,	O
2,	O
22.	O
.	O
Dans	O
une	O
civilisation	O
où	O
la	O
mémoire	O
prime	O
sur	O
le	O
document	O
Sur	O
cette	O
opposition,	O
cf.	O
les	O
remarques	O
de	O
Carruthers,	O
1990,	O
p.	O
8-9.	O
,	O
une	O
capacité	O
de	O
rétention	O
hors	O
du	O
commun	O
fait	O
évidemment	O
l’admiration	O
de	O
tous.	O
La	O
facilité	O
à	O
mentionner,	O
citer	O
ou	O
réciter	O
est	O
une	O
marque	O
de	O
culture	O
(humanitas),	O
voire	O
de	O
sagesse,	O
la	O
prudentia	O
ne	O
se	O
concevant	O
pas	O
sans	O
une	O
vaste	O
memoria	O
Small,	O
1997,	O
p.	O
3-10.	O
.	O
Mais	O
peut-être	O
est-ce	O
cette	O
mémoire	O
si	O
précise,	O
capable	O
de	O
retenir	O
le	O
détail	O
d’un	O
texte	O
au	O
mot	O
près,	O
qui	O
entravait	O
Latro	B-PER
lorsqu’il	O
se	O
risquait	O
à	O
plaider	O
devant	O
un	O
tribunal	O
véritable.	O
Car	O
contrairement	O
à	O
la	O
déclamation,	O
les	O
plaidoiries	O
réelles	O
interdisent	O
de	O
reproduire	O
par	O
oral	O
un	O
texte	O
figé	O
:	O
les	O
réponses	O
de	O
l’adversaire	O
doivent	O
être	O
prises	O
en	O
compte,	O
et	O
l’orateur	O
peut	O
être	O
contraint	O
d’improviser	O
si	O
l’affaire	O
évolue	O
d’une	O
manière	O
inattendue.	O
Est-ce	O
à	O
dire	O
que	O
la	O
mémoire	O
n’est	O
devenue	O
une	O
qualité	O
essentielle	O
de	O
l’orateur	O
qu’à	O
partir	O
du	O
moment	O
où	O
la	O
déclamation	O
a	O
pris	O
le	O
pas	O
sur	O
l’éloquence	O
efficace	O
?	O
Les	O
textes	O
cicéroniens	O
suffisent	O
à	O
prouver	O
le	O
contraire	O
:	O
aux	O
yeux	O
de	O
Cicéron	B-PER
,	O
dans	O
un	O
contexte	O
où	O
l’éloquence	O
est	O
pleinement	O
politique,	O
c’est	O
la	O
force	O
de	O
leur	O
mémoire	O
qui	O
distingue	O
Marcus	B-PER
Antonius	I-PER
,	O
Publius	B-PER
Antistius	I-PER
,	O
Lucius	B-PER
Torquatus	I-PER
ou	O
Quintus	B-PER
Hortensius	I-PER
des	O
autres	O
orateurs	O
Cicéron,	O
Brutus,	O
139,	O
215,	O
227,	O
301,	O
304.	O
:	O
la	O
possession	O
d’une	O
mémoire	O
de	O
qualité,	O
à	O
la	O
fois	O
prompte	O
à	O
retenir	O
et	O
apte	O
à	O
conserver,	O
est	O
indispensable	O
pour	O
qui	O
prétend	O
à	O
l’éloquence.	O
La	O
mémoire	O
définit	O
l’orateur	O
véritable,	O
au	O
même	O
titre	O
que	O
la	O
promptitude	O
intellectuelle,	O
la	O
capacité	O
de	O
réflexion,	O
la	O
puissance	O
de	O
travail	O
ou	O
le	O
talent	O
stylistique	O
Rhetorica	O
ad	O
Herennium,	O
I,	O
3	O
;	O
Cicéron,	O
Brutus,	O
139,	O
215,	O
227,	O
301,	O
304.,	O
De	O
oratore,	O
I,	O
64,	O
94,	O
114	O
;	O
III,	O
230.	O
.	O
L’orateur	O
Caius	B-PER
Scribonius	I-PER
Curio	I-PER
,	O
outre	O
sa	O
gestuelle	O
inefficace,	O
souffrait	O
d’une	O
mémoire	O
fort	O
défaillante.	O
Incapable	O
de	O
se	O
tenir	O
au	O
plan	O
qu’il	O
annonçait,	O
il	O
ajoutait	O
des	O
parties	O
entières	O
à	O
son	O
discours,	O
ou	O
en	O
retranchait	O
d’autres.	O
À	O
l’écrit,	O
il	O
ne	O
parvenait	O
pas	O
même	O
à	O
construire	O
une	O
pensée	O
suivie.	O
Curio	B-PER
excitait	O
les	O
rires	O
et	O
le	O
défaut	O
dont	O
il	O
souffrait	O
était,	O
pour	O
Cicéron	B-PER
,	O
une	O
véritable	O
honte	O
:	O
la	O
faiblesse	O
de	O
sa	O
mémoire	O
le	O
faisait	O
vaciller	O
dans	O
son	O
statut	O
même	O
d’orateur	O
Cicéron,	O
Brutus,	O
217-218.	O
Sur	O
le	O
personnage	O
de	O
Curio,	O
cf.	O
Sumner,	O
1973,	O
p.	O
110.	O
.	O
C’est	O
que	O
la	O
mémoire	O
ne	O
doit	O
pas	O
être	O
regardée	O
comme	O
un	O
simple	O
outil	O
de	O
stockage,	O
comme	O
une	O
simple	O
zone	O
tampon	O
entre	O
l’écrit	O
et	O
l’oral.	O
Dans	O
le	O
cadre	O
de	O
l’éloquence,	O
elle	O
est	O
considérée,	O
à	O
l’inverse,	O
comme	O
un	O
outil	O
de	O
mobilisation	O
du	O
savoir	O
et	O
des	O
acquis	O
:	O
c’est	O
grâce	O
à	O
elle,	O
en	O
puisant	O
dans	O
les	O
éléments	O
qu’elle	O
tient	O
en	O
réserve	O
et	O
en	O
les	O
combinant,	O
que	O
l’orateur	O
pourra	O
trouver	O
ses	O
arguments,	O
organiser	O
son	O
discours	O
et	O
élaborer	O
son	O
style.	O
Elle	O
seule	O
permet	O
le	O
passage	O
de	O
la	O
théorie	O
–	O
ou	O
de	O
l’entraînement	O
–	O
à	O
la	O
pratique,	O
l’adaptation	O
aux	O
exigences	O
de	O
l’affaire,	O
la	O
réaction	O
appropriée	O
face	O
à	O
un	O
imprévu	O
de	O
procédure	O
ou	O
à	O
une	O
répartie	O
brillante	O
de	O
l’adversaire	O
:	O
«	O
Seuls	O
ceux	O
qui	O
ont	O
une	O
bonne	O
mémoire	O
savent	O
quoi	O
dire	O
[…],	O
et	O
de	O
quelle	O
manière	O
le	O
dire	O
Cicéron,	O
De	O
oratore,	O
III,	O
255.	O
Cf.	O
également	O
Quintilien,	O
Institutio	O
oratoria,	O
XI,	O
2,	O
7-8.	O
.	O
»	O
Loin	O
d’être	O
un	O
appareil	O
statique	O
de	O
rétention,	O
la	O
mémoire	O
est	O
conçue	O
comme	O
un	O
instrument	O
de	O
composition.	O
Ainsi,	O
lorsque	O
Quintilien	B-PER
,	O
rhéteur	O
du	O
Ier	O
siècle	O
ap.	O
J.-C.,	O
souligne	O
que	O
seule	O
une	O
mémoire	O
sûre	O
permet	O
à	O
l’orateur	O
d’improviser,	O
il	O
ne	O
cherche	O
pas	O
à	O
développer	O
un	O
paradoxe,	O
mais	O
souligne	O
ce	O
qui,	O
pour	O
un	O
théoricien	O
de	O
la	O
rhétorique,	O
relève	O
de	O
l’évidence	O
:	O
la	O
mémoire	O
est	O
avant	O
tout	O
une	O
force	O
créatrice	O
Quintilien,	O
Institutio	O
oratoria,	O
XI,	O
2,	O
3.	O
Sur	O
l’opposition	O
entre	O
la	O
mémoire	O
conçue	O
comme	O
un	O
espace	O
de	O
stockage	O
et	O
la	O
mémoire	O
conçue	O
comme	O
un	O
outil	O
de	O
traitement	O
des	O
informations,	O
cf.,	O
à	O
propos	O
du	O
Moyen	O
Âge,	O
les	O
remarques	O
de	O
Carruthers,	O
1998,	O
p.	O
1-35.	O
.	O
Ce	O
sont	O
donc	O
deux	O
conceptions	O
distinctes	O
des	O
usages	O
de	O
la	O
mémoire	O
qu’il	O
est	O
possible	O
de	O
retracer	O
à	O
travers	O
les	O
témoignages	O
de	O
l’éloquence	O
et	O
de	O
la	O
rhétorique	O
romaines,	O
deux	O
aspects	O
dont	O
l’un	O
est	O
clairement	O
formalisé	O
et	O
l’autre	O
laissé	O
dans	O
l’ombre.	O
Considérée	O
comme	O
une	O
simple	O
capacité	O
de	O
stockage	O
et	O
d’extraction	O
des	O
informations,	O
la	O
mémoire	O
occupe	O
en	O
effet	O
une	O
place	O
définie	O
dans	O
la	O
doctrine	O
rhétorique,	O
puisqu’elle	O
représente	O
une	O
étape	O
dans	O
l’élaboration	O
du	O
discours.	O
Elle	O
s’inscrit	O
alors	O
dans	O
la	O
liste	O
canonique	O
des	O
cinq	O
parties	O
de	O
l’éloquence,	O
où	O
elle	O
prend	O
la	O
suite	O
de	O
la	O
fabrication	O
des	O
arguments	O
(inuentio),	O
de	O
l’organisation	O
du	O
discours	O
(dispositio)	O
et	O
de	O
l’élaboration	O
stylistique	O
(elocutio),	O
mais	O
précède	O
la	O
mise	O
en	O
œuvre	O
du	O
discours	O
par	O
le	O
geste	O
et	O
la	O
voix	O
(actio).	O
Dans	O
cette	O
progression	O
linéaire	O
qui	O
va	O
de	O
la	O
production	O
des	O
arguments	O
jusqu’à	O
la	O
performance	O
oratoire	O
elle-même,	O
l’étape	O
dévolue	O
à	O
la	O
memoria	O
clôt	O
la	O
fabrication	O
du	O
discours	O
et	O
rend	O
possible	O
la	O
mise	O
en	O
œuvre	O
orale	O
des	O
éléments	O
préparés	O
:	O
arguments,	O
organisation	O
du	O
propos,	O
choix	O
des	O
mots,	O
etc.	O
Rhetorica	O
ad	O
Herennium,	O
I,	O
3	O
;	O
Cicéron,	O
De	O
inuentione,	O
I,	O
9	O
;	O
De	O
oratore,	O
I,	O
142	O
;	O
II,	O
79	O
;	O
Partitiones	O
oratoriae,	O
26.	O
.	O
«	O
Si	O
l’on	O
ne	O
fait	O
pas	O
appel	O
à	O
la	O
mémoire	O
pour	O
conserver,	O
nous	O
dit	O
Cicéron	B-PER
,	O
les	O
idées	O
et	O
les	O
mots	O
que	O
l’on	O
a	O
trouvés	O
et	O
auxquels	O
on	O
a	O
réfléchi,	O
il	O
est	O
évident	O
que	O
les	O
qualités	O
de	O
l’orateur,	O
aussi	O
éclatantes	O
qu’elles	O
soient,	O
perdront	O
toutes	O
leur	O
raison	O
d’être	O
Cicéron,	O
De	O
oratore,	O
I,	O
18.	O
.	O
»	O
Ayant	O
pour	O
fonction	O
principale	O
de	O
stocker	O
puis	O
de	O
restituer	O
un	O
matériau	O
élaboré	O
à	O
l’avance,	O
la	O
mémoire	O
est	O
conçue	O
à	O
la	O
fois	O
comme	O
une	O
étape	O
dans	O
un	O
processus,	O
comme	O
une	O
capacité	O
intellectuelle	O
et,	O
on	O
le	O
verra,	O
comme	O
un	O
espace	O
de	O
rétention.	O
Elle	O
fait	O
alors	O
l’objet	O
d’une	O
méthode	O
que	O
la	O
doctrine	O
rhétorique	O
n’éprouve	O
aucune	O
difficulté	O
à	O
formaliser.	O
Cette	O
précision	O
et	O
cette	O
clarté	O
du	O
propos	O
théorique	O
disparaissent	O
lorsque	O
l’on	O
aborde	O
l’usage	O
productif	O
de	O
la	O
mémoire,	O
où	O
cette	O
dernière	O
n’a	O
plus	O
pour	O
seul	O
objet	O
la	O
restitution	O
d’un	O
matériau	O
assimilé,	O
mais	O
également	O
la	O
production	O
du	O
discours.	O
Parce	O
qu’il	O
n’entre	O
pas	O
dans	O
l’architecture	O
que	O
forment	O
les	O
différentes	O
étapes	O
du	O
discours	O
que	O
nous	O
venons	O
de	O
décrire,	O
ce	O
second	O
emploi	O
de	O
la	O
mémoire	O
ne	O
reçoit	O
aucune	O
place	O
définie	O
dans	O
la	O
théorie	O
et	O
n’apparaît	O
donc	O
qu’en	O
filigrane,	O
à	O
travers	O
des	O
remarques	O
que	O
les	O
auteurs	O
formulent	O
de	O
manière	O
incidente.	O
S’il	O
sort	O
du	O
domaine	O
propre	O
à	O
la	O
formalisation	O
rhétorique	O
traditionnelle,	O
cet	O
usage	O
de	O
la	O
mémoire	O
n’en	O
représente	O
pas	O
moins	O
le	O
fondement	O
même	O
(fundamentum	O
Cicéron,	O
De	O
optimo	O
genere	O
oratorum,	O
5.	O
)	O
de	O
la	O
compétence	O
oratoire	O
:	O
composer	O
un	O
discours	O
est	O
une	O
activité	O
de	O
création	O
encadrée	O
par	O
des	O
règles	O
strictes	O
et	O
que	O
la	O
théorie	O
fait	O
reposer,	O
de	O
façon	O
plus	O
ou	O
moins	O
implicite,	O
sur	O
la	O
remémoration.	O
À	O
l’image	O
de	O
la	O
tablette	O
Rhetorica	O
ad	O
Herennium,	O
III,	O
30	O
;	O
Cicéron,	O
De	O
oratore,	O
II,	O
354,	O
360	O
;	O
Partitiones	O
oratoriae,	O
26.	O
,	O
support	O
d’écriture	O
et	O
de	O
rétention,	O
c’est	O
celle	O
de	O
la	O
torche	O
Cicéron,	O
De	O
oratore,	O
II,	O
146.	O
,	O
au	O
moyen	O
de	O
laquelle	O
l’orateur	O
s’orientera	O
dans	O
les	O
méandres	O
de	O
ses	O
connaissances,	O
qui	O
sera	O
alors	O
préférée.	O
Entre	O
rétention	O
et	O
réutilisation,	O
méditation	O
et	O
sélection,	O
structuration	O
systématique	O
et	O
recours	O
au	O
réflexe,	O
la	O
mémoire	O
devient	O
le	O
véritable	O
atelier	O
de	O
la	O
parole	O
persuasive.	O
La	O
mémoire	O
et	O
ses	O
techniques	O
La	O
rhétorique	O
offre	O
une	O
approche	O
profondément	O
objectiviste	O
de	O
la	O
mémoire	O
abordée	O
comme	O
capacité	O
de	O
rétention	O
Farrell,	O
1997,	O
p.	O
373-380.	O
.	O
Car	O
si	O
elle	O
est	O
une	O
qualité	O
dont	O
tout	O
orateur	O
doit	O
être	O
doté	O
sous	O
peine	O
d’être	O
incapable	O
de	O
parler,	O
elle	O
est	O
également	O
un	O
outil	O
soumis	O
à	O
une	O
élaboration	O
technique	O
et,	O
par	O
conséquent,	O
susceptible	O
d’amélioration.	O
À	O
la	O
mémoire	O
naturelle	O
(memoria	O
naturalis)	O
s’ajoute	O
ainsi	O
une	O
mémoire	O
artificielle	O
(memoria	O
artificialis)	O
développée	O
au	O
moyen	O
d’une	O
méthodologie	O
précisément	O
définie	O
La	O
division	O
entre	O
mémoire	O
naturelle	O
et	O
mémoire	O
