TOKEN	IOB
Introduction	O
Dans	O
le	O
roman	O
Contact	O
de	O
Carl	B-PER
Sagan	I-PER
Sagan,	O
1985.	O
Film	O
réalisé	O
par	O
Robert	O
Zemeckis,	O
avec	O
Jodie	O
Foster.	O
,	O
les	O
radiotéléscopes	O
du	O
monde	O
entier	O
reçoivent	O
des	O
signaux	O
extraterrestres	O
énumérant	O
la	O
suite	O
des	O
nombres	O
premiers	O
:	O
2,	O
3,	O
5,	O
7,	O
11,	O
13,	O
17,	O
19,	O
23,	O
29,	O
31…	O
Comme	O
il	O
n’existe	O
aucun	O
processus	O
naturel	O
qui	O
puisse	O
produire	O
cette	O
énumération,	O
le	O
signal	O
reçu	O
indique	O
très	O
clairement	O
qu’il	O
émane	O
d’êtres	O
ayant	O
une	O
forme	O
d’intelligence	O
avancée.	O
Rappelons	O
ce	O
que	O
sont	O
les	O
nombres	O
premiers.	O
Les	O
enfants	O
apprennent	O
à	O
compter,	O
c’est-à-dire	O
apprennent	O
les	O
nombres	O
entiers	O
«	O
naturels	O
»	O
0,	O
1,	O
2,	O
3…	O
ceux	O
avec	O
lesquels	O
on	O
peut	O
dénombrer	O
les	O
objets	O
d’une	O
collection	O
:	O
nous	O
avons	O
1	O
nez,	O
2	O
bras,	O
32	O
dents	O
;	O
il	O
y	O
a	O
27	O
élèves	O
dans	O
cette	O
classe,	O
63	O
185	O
925	O
habitants	O
en	O
France	B-LOC
en	O
2006	O
Chiffres	O
publiés	O
par	O
l’INSEE	O
le	O
2	O
janvier	O
2009.	O
…	O
On	O
apprend	O
la	O
multiplication	O
au	O
CP,	O
et	O
la	O
division	O
peu	O
après.	O
Apparaissent	O
donc	O
certains	O
nombres	O
entiers,	O
les	O
nombres	O
premiers,	O
qui	O
ont	O
la	O
propriété	O
de	O
n’avoir	O
aucun	O
diviseur	O
en	O
dehors	O
d’eux-mêmes	O
et	O
1.	O
Géométriquement,	O
un	O
nombre	O
p	O
est	O
premier	O
si	O
on	O
ne	O
peut	O
en	O
aucune	O
manière	O
disposer	O
une	O
collection	O
de	O
p	O
