TOKEN	IOB
Connaissance	O
et	O
déficience	O
Peut-on	O
imaginer	O
ce	O
que	O
serait	O
l’optimum	O
d’une	O
configuration	O
de	O
savoir	O
?	O
Celle-ci	O
devrait	O
associer	O
la	O
découpe	O
parfaite	O
de	O
l’objet	O
de	O
connaissance,	O
l’adéquation	O
d’une	O
discipline	O
et	O
d’un	O
territoire,	O
l’existence	O
d’archives	O
et	O
de	O
bibliothèques	O
fiables	O
et	O
d’index	O
à	O
jour,	O
l’irréprochable	O
aptitude	O
intellectuelle	O
et	O
physique	O
du	O
sujet	O
connaissant	O
et	O
l’évaluation	O
précise	O
du	O
destinataire,	O
présent	O
ou	O
à	O
venir,	O
des	O
résultats	O
de	O
la	O
recherche.	O
Il	O
va	O
sans	O
dire	O
que	O
ces	O
conditions	O
ne	O
sont	O
jamais	O
toutes	O
réunies	O
dans	O
une	O
situation	O
empirique	O
donnée.	O
L’espace	O
de	O
la	O
connaissance	O
n’est	O
jamais	O
caractérisé	O
par	O
un	O
niveau	O
de	O
félicité	O
qui	O
le	O
mettrait	O
à	O
l’abri	O
des	O
tragédies	O
de	O
l’histoire	O
ou	O
des	O
accidents	O
de	O
la	O
vie.	O
Les	O
traités	O
d’épistémologie	O
ignorent	O
la	O
dimension	O
contingente	O
des	O
pratiques	O
effectives.	O
Il	O
arrive	O
même	O
que	O
le	O
savoir,	O
y	O
compris	O
en	O
ses	O
formes	O
les	O
plus	O
innovantes	O
et	O
les	O
plus	O
précieuses,	O
trouve	O
son	O
lieu	O
dans	O
un	O
espace	O
improbable,	O
au	O
plus	O
loin	O
des	O
institutions	O
établies	O
ou	O
pris	O
dans	O
un	O
écart	O
difficile	O
à	O
imaginer	O
par	O
rapport	O
à	O
des	O
compétences	O
généralement	O
considérées	O
comme	O
un	O
réquisit	O
ou	O
à	O
des	O
conditions	O
ordinairement	O
exigées	O
pour	O
la	O
production,	O
le	O
stockage	O
et	O
la	O
diffusion	O
des	O
corps	O
de	O
savoir.	O
Les	O
textes	O
réunis	O
dans	O
cette	O
section	O
participent	O
de	O
ce	O
que	O
Michel	B-PER
Foucault	I-PER
nommait	O
à	O
propos	O
de	O
son	O
propre	O
usage	O
des	O
textes	O
dans	O
l’Histoire	O
de	O
la	O
folie	O
une	O
sorte	O
de	O
«	O
relativité	O
sans	O
recours	O
M.	O
Foucault,	O
Histoire	O
de	O
la	O
folie	O
à	O
l’âge	O
classique	O
[1961],	O
Paris,	O
1970,	O
p.	O
ix-x.	O
».	O
Si	O
l’atelier	O
de	O
Foucault	B-PER
constitue	O
une	O
exception	O
dans	O
cet	O
ensemble	O
de	O
situations	O
extrêmes,	O
qui	O
vont	O
jusqu’au	O
handicap	O
physique	O
le	O
plus	O
invalidant	O
et	O
à	O
l’extermination	O
d’un	O
peuple,	O
la	O
référence	O
à	O
la	O
dimension	O
inhabituelle	O
de	O
ses	O
stratégies	O
d’écriture	O
permet	O
une	O
analyse	O
transversale	O
des	O
pratiques	O
diverses	O
par	O
lesquelles	O
il	O
est	O
possible	O
de	O
constituer	O
dans	O
l’urgence	O
des	O
ressources	O
inédites,	O
en	O
levant	O
l’obstacle	O
de	O
la	O
pénurie	O
ou	O
de	O
l’absence	O
de	O
points	O
d’appui	O
fiables.	O
La	O
présence	O
de	O
Foucault	B-PER
dans	O
un	O
tel	O
ensemble	O
présente	O
un	O
caractère	O
pour	O
le	O
moins	O
énigmatique	O
si	O
l’on	O
considère	O
son	O
appartenance	O
incontestée	O
à	O
l’univers	O
de	O
l’excellence	O
scolaire,	O
comme	O
en	O
témoigne	O
la	O
dimension	O
légendaire	O
prise	O
par	O
sa	O
soutenance	O
de	O
thèse	O
dans	O
l’historiographie	O
de	O
la	O
vie	O
intellectuelle	O
française	O
J.-L.	O
Fabiani,	O
«	O
L’épreuve	O
des	O
savoirs	O
»,	O
in	O
Chr.	O
Jacob	O
(dir.),	O
Lieux	O
de	O
savoir.	O
Espaces	O
et	O
communautés,	O
Paris,	O
2007,	O
p.	O
43-53.	O
.	O
Normalien,	O
agrégé	O
de	O
philosophie,	O
ayant	O
fait	O
de	O
la	O
Bibliothèque	O
nationale	O
sa	O
résidence	O
secondaire,	O
il	O
fut	O
très	O
tôt	O
reconnu	O
comme	O
le	O
penseur	O
de	O
sa	O
génération	O
par	O
excellence.	O
Pour	O
autant,	O
son	O
refus	O
paradoxal	O
d’être	O
auteur,	O
associé	O
à	O
une	O
distance	O
permanente	O
à	O
l’égard	O
des	O
ordres	O
institutionnels,	O
témoigne	O
d’un	O
souci	O
de	O
constituer	O
«	O
une	O
autre	O
scène	O
de	O
la	O
pensée	O
»	O
sur	O
laquelle	O
