TOKEN	IOB
La	O
porte	O
du	O
monastère	O
est	O
grande	O
ouverte.	O
Il	O
est	O
six	O
heures	O
du	O
matin.	O
Le	O
premier	O
patio	O
semble	O
désert.	O
Brusquement,	O
on	O
aperçoit	O
la	O
silhouette	O
d’un	O
homme,	O
de	O
haute	O
stature,	O
qui	O
traverse	O
la	O
cour	O
d’un	O
pas	O
rapide.	O
Tout	O
en	O
marchant,	O
il	O
passe	O
une	O
épingle	O
de	O
bois	O
dans	O
l’extrémité	O
de	O
son	O
chignon	O
qui	O
dépasse	O
de	O
sa	O
toque	O
cylindrique	O
en	O
soie	O
noire,	O
trouée	O
sur	O
le	O
dessus.	O
Il	O
porte	O
une	O
robe	O
bleu	O
foncé,	O
un	O
pantalon	O
de	O
coton	O
noir	O
rentré	O
dans	O
des	O
guêtres	O
blanches	O
et	O
des	O
brodequins.	O
C’est	O
assurément	O
un	O
moine	O
taoïste	O
L’obédience	O
Quanzhen,	O
fondée	O
au	O
xii	O
e	O
siècle	O
par	O
Wang	O
Chongyang,	O
forme	O
la	O
branche	O
monastique	O
du	O
taoïsme,	O
prônant	O
une	O
vie	O
de	O
célibat	O
en	O
communauté.	O
De	O
ses	O
différentes	O
subdivisions,	O
celle	O
du	O
Longmen	O
(attribuée	O
à	O
Qiu	O
Chuji)	O
est	O
de	O
loin	O
la	O
plus	O
importante.	O
Le	O
moine	O
dont	O
je	O
raconte	O
ici	O
l’histoire	O
en	O
fait	O
partie.	O
Il	O
a	O
rencontré	O
des	O
maîtres	O
taoïstes	O
d’autres	O
formations	O
et	O
notamment	O
des	O
confrères	O
séculiers	O
de	O
celle	O
des	O
Maîtres	O
célestes,	O
créée	O
par	O
Zhang	O
Daoling,	O
qui,	O
eux,	O
se	O
transmettent	O
une	O
charge	O
héréditaire	O
depuis	O
le	O
ii	O
e	O
siècle	O
de	O
notre	O
ère.	O
.	O
Un	O
instant,	O
on	O
pourrait	O
se	O
croire	O
à	O
l’époque	O
impériale	O
avant	O
l’arrivée	O
des	O
Mandchous,	O
quand	O
tous	O
les	O
Chinois	O
portaient	O
les	O
cheveux	O
longs	O
et	O
des	O
robes	O
jusqu’aux	O
pieds,	O
si	O
ce	O
n’était	O
la	O
présence	O
d’un	O
vélo	O
tout	O
terrain	O
dans	O
un	O
coin	O
de	O
la	O
cour.	O
Bai	B-PER
Lixuan	I-PER
se	O
dirige	O
vers	O
la	O
salle	O
de	O
culte	O
consacrée	O
au	O
Suprême	O
du	O
Ciel	O
sombre	O
(Xuantian	O
shangdi),	O
cette	O
grande	O
divinité	O
exorciste	O
qui	O
chasse	O
les	O
mauvais	O
esprits.	O
Il	O
fait	O
une	O
halte	O
devant	O
le	O
bac	O
à	O
parfum	O
qui	O
fait	O
face	O
à	O
l’édifice,	O
le	O
nettoie	O
rapidement	O
en	O
vidant	O
une	O
partie	O
des	O
cendres	O
dans	O
le	O
grand	O
brûle-papier	O
d’offrande	O
qui	O
trône	O
au	O
centre	O
de	O
la	O
cour,	O
et	O
jette	O
dans	O
une	O
corbeille	O
prévue	O
à	O
cet	O
effet	O
les	O
quelques	O
bâtons	O
de	O
bois	O
qui	O
ne	O
se	O
sont	O
pas	O
consumés	O
jusqu’au	O
bout	O
afin	O
de	O
les	O
recycler.	O
Il	O
replante	O
trois	O
gros	O
bâtonnets	O
d’encens	O
roses	O
montés	O
sur	O
des	O
tiges	O
vertes	O
et	O
allume	O
le	O
même	O
nombre	O
de	O
bougies	O
rouges.	O
L’homme	O
sort	O
de	O
sa	O
poche	O
un	O
trousseau	O
de	O
clés	O
et	O
ouvre	O
le	O
petit	O
cadenas	O
qui	O
ferme	O
la	O
porte	O
de	O
l’édifice.	O
Il	O
pénètre	O
dans	O
une	O
pièce	O
éclairée	O
seulement	O
par	O
la	O
lumière	O
du	O
jour	O
naissant	O
qui	O
traverse	O
les	O
lattis	O
ajourés	O
des	O
parois	O
de	O
la	O
façade	O
sud.	O
Le	O
moine	O
ouvre	O
les	O
fenêtres	O
centrales	O
qui	O
donnent	O
sur	O
l’extérieur,	O
face	O
au	O
bac	O
à	O
parfum	O
qui	O
diffuse	O
doucement	O
ses	O
senteurs,	O
et	O
se	O
dirige	O
vers	O
l’autel.	O
Il	O
se	O
place	O
devant	O
la	O
statue	O
de	O
la	O
divinité	O
–	O
un	O
guerrier	O
aux	O
pieds	O
nus	O
brandissant	O
une	O
épée	O
–,	O
les	O
mains	O
jointes	O
au	O
niveau	O
des	O
yeux	O
pour	O
ne	O
pas	O
l’offenser	O
du	O
regard,	O
s’agenouille	O
sur	O
le	O
coussinet	O
au	O
pied	O
de	O
l’autel,	O
se	O
prosterne	O
en	O
heurtant	O
le	O
sol	O
de	O
son	O
front,	O
se	O
relève	O
et	O
répète	O
le	O
rite,	O
appelé	O
ketou,	O
à	O
trois	O
reprises.	O
Il	O
accomplit	O
les	O
mêmes	O
gestes	O
devant	O
les	O
deux	O
divinités	O
qui	O
encadrent	O
le	O
Suprême	O
du	O
Ciel	O
sombre	O
:	O
Tianshi	B-PER
–	O
l’ancêtre	O
Zhang	B-PER
Daoling	I-PER
–	O
et	O
Leizu	B-PER
–	O
dieu	O
du	O
Tonnerre	O
et	O
justicier.	O
Bai	B-PER
Lixuan	I-PER
se	O
dirige	O
ensuite	O
vers	O
le	O
fond	O
de	O
la	O
salle	O
où	O
il	O
laisse	O
toujours	O
son	O
habit	O
rituel,	O
sorte	O
de	O
grande	O
chasuble	O
sans	O
capuche,	O
colorée	O
et	O
brodée	O
de	O
motifs	O
codifiés.	O
Il	O
l’enfile	O
sur	O
sa	O
robe,	O
saisit	O
un	O
livre	O
en	O
photocopies	O
cousues,	O
et	O
reprend	O
sa	O
place	O
devant	O
l’autel.	O
Après	O
trois	O
nouveaux	O
ketou	O
,	O
il	O
entame,	O
seul	O
et	O
sans	O
spectateurs,	O
la	O
«	O
récitation	O
à	O
haute	O
voix	O
des	O
textes	O
canoniques	O
»	O
(nianjing)	O
qui	O
ce	O
matin-là	O
durera	O
près	O
de	O
deux	O
heures.	O
On	O
entend	O
au	O
loin,	O
presque	O
en	O
écho,	O
la	O
psalmodie	O
de	O
deux	O
de	O
ses	O
confrères	O
qui	O
accomplissent	O
le	O
même	O
rituel	O
à	O
l’étage	O
supérieur	O
du	O
pavillon	O
de	O
l’Empereur	O
de	O
Jade,	O
à	O
l’autre	O
bout	O
du	O
temple.	O
La	O
cérémonie	O
achevée,	O
Bai	B-PER
Lixuan	I-PER
range	O
son	O
costume	O
chamarré	O
et,	O
après	O
avoir	O
soigneusement	O
refermé	O
cette	O
salle	O
de	O
culte	O
interdite	O
aux	O
laïcs	O
et	O
dont	O
il	O
a	O
spécifiquement	O
la	O
charge,	O
il	O
regagne	O
sa	O
cellule	O
qui	O
donne	O
de	O
plain-pied	O
sur	O
la	O
deuxième	O
cour.	O
Muni	O
de	O
son	O
bol	O
et	O
de	O
ses	O
baguettes,	O
il	O
se	O
rend	O
à	O
la	O
salle	O
de	O
réception	O
qui	O
fait	O
office	O
de	O
réfectoire.	O
Une	O
marmite	O
de	O
soupe	O
de	O
riz	O
gluant	O
est	O
tenue	O
au	O
chaud	O
sur	O
le	O
poêle	O
à	O
charbon.	O
Il	O
s’en	O
verse	O
quelques	O
louches	O
et,	O
le	O
temps	O
qu’elle	O
refroidisse,	O
sort	O
une	O
soucoupe	O
de	O
légumes	O
pimentés	O
du	O
grand	O
réfrigérateur.	O
Il	O
prend	O
son	O
premier	O
repas	O
de	O
la	O
journée.	O
En	O
allant	O
laver	O
son	O
bol	O
au	O
robinet	O
extérieur,	O
le	O
moine	O
croise	O
un	O
confrère	O
pour	O
la	O
première	O
fois	O
depuis	O
son	O
réveil.	O
Condisciples	O
du	O
même	O
maître,	O
les	O
deux	O
hommes	O
se	O
saluent,	O
échangent	O
quelques	O
mots	O
