TOKEN	IOB
C’est	O
vers	O
le	O
milieu	O
des	O
années	O
90	O
avant	O
J.-C.	O
que	O
Marcus	B-PER
Tullius	I-PER
Cicero	I-PER
père	O
amena	O
à	O
Rome	B-LOC
ses	O
deux	O
fils	O
Marcus	B-PER
et	O
Quintus	B-PER
,	O
nés	O
l’un	O
en	O
106,	O
l’autre	O
entre	O
105	O
et	O
102.	O
Il	O
était	O
temps	O
de	O
donner	O
à	O
ces	O
deux	O
rejetons	O
d’une	O
famille	O
équestre	O
les	O
moyens	O
d’accomplir	O
la	O
destinée	O
politique	O
à	O
laquelle	O
leur	O
père	O
avait	O
lui-même	O
renoncé	O
:	O
il	O
fallait	O
parfaire	O
l’éducation	O
déjà	O
reçue	O
à	O
Arpinum	B-LOC
,	O
la	O
cité	O
d’origine	O
des	O
Tullii	O
Cicerones.	O
Non	O
que	O
ces	O
enfants	O
n’aient	O
bénéficié	O
des	O
atouts	O
intellectuels	O
nécessaires	O
dans	O
l’ancienne	O
cité	O
volsque.	O
M.	O
Tullius	O
père	O
sut	O
donner	O
à	O
ses	O
fils	O
un	O
goût	O
affirmé	O
pour	O
le	O
savoir	O
désintéressé	O
et	O
fit	O
tout	O
pour	O
développer	O
les	O
talents	O
de	O
Marcus	O
:	O
aux	O
dires	O
de	O
Plutarque	B-PER
,	O
le	O
tout	O
jeune	O
Cicéron	B-PER
faisait	O
déjà	O
l’admiration	O
des	O
pères	O
de	O
famille	O
et	O
de	O
ses	O
camarades	O
par	O
la	O
précocité	O
de	O
son	O
intelligence	O
et	O
sa	O
puissance	O
d’apprentissage	O
Plutarque,	O
Cicéron,	O
2.	O
.	O
En	O
les	O
installant	O
dans	O
la	O
maison	O
qu’il	O
avait	O
achetée	O
sur	O
l’	O
Esquilin	B-LOC
,	O
dans	O
le	O
quartier	O
des	O
Carenae	O
,	O
Marcus	O
père	O
ne	O
cherchait	O
donc	O
pas	O
à	O
ouvrir	O
pour	O
ses	O
fils	O
–	O
et	O
leur	O
cousin	O
Lucius	O
qui	O
les	O
accompagnait	O
–	O
l’accès	O
à	O
une	O
culture	O
dont	O
ils	O
auraient	O
été	O
entièrement	O
privés.	O
Cet	O
homme	O
largement	O
introduit	O
dans	O
les	O
cercles	O
dirigeants	O
romains	O
venait	O
trouver	O
là	O
ce	O
qu’	O
Arpinum	B-LOC
ne	O
pouvait	O
offrir	O
:	O
un	O
approfondissement	O
théorique	O
et	O
un	O
apprentissage	O
pratique	O
auprès	O
des	O
possesseurs	O
du	O
savoir	O
et	O
du	O
pouvoir	O
romains,	O
les	O
seuls	O
qui	O
sauraient	O
modeler	O
les	O
corps	O
et	O
les	O
esprits	O
des	O
deux	O
adolescents	O
pour	O
les	O
faire	O
correspondre	O
aux	O
comportements	O
et	O
aux	O
modes	O
de	O
pensée	O
jugés	O
légitimes	O
par	O
la	O
classe	O
dominante.	O
Le	O
but	O
de	O
ce	O
travail	O
de	O
formation,	O
au	O
sens	O
le	O
plus	O
plastique	O
du	O
terme,	O
était	O
à	O
la	O
fois	O
naturel	O
et	O
démesuré	O
pour	O
les	O
Arpinates	O
:	O
faire	O
des	O
deux	O
jeunes	O
Tullii	O
des	O
orateurs.	O
Que	O
toute	O
l’ambition	O
familiale	O
en	O
vienne	O
à	O
s’exprimer	O
de	O
la	O
sorte	O
ne	O
doit	O
pas	O
surprendre.	O
Dans	O
la	O
société	O
aristocratique	O
qui	O
est	O
celle	O
de	O
la	O
Rome	B-LOC
du	O
i	O
er	O
siècle,	O
l’orateur	O
se	O
situe	O
au	O
cœur	O
même	O
de	O
la	O
vie	O
de	O
la	O
cité	O
et	O
du	O
jeu	O
politique	O
:	O
pratique	O
de	O
la	O
parole	O
et	O
exercice	O
du	O
pouvoir	O
sont	O
intimement	O
liés.	O
Bien	O
que	O
la	O
violence	O
ait	O
fait	O
son	O
apparition	O
dans	O
les	O
assemblées,	O
à	O
partir	O
du	O
milieu	O
du	O
ii	O
e	O
siècle	O
Voir	O
sur	O
ce	O
point	O
le	O
premier	O
livre	O
des	O
Guerres	O
civiles	O
d’Appien	O
ainsi	O
que	O
Lintott,	O
1968	O
;	O
Brunt,	O
1974	O
;	O
Millar,	O
1998.	O
,	O
le	O
vote	O
des	O
lois	O
dépend	O
généralement	O
d’un	O
processus	O
de	O
persuasion	O
visant	O
à	O
convaincre	O
le	O
populus	O
de	O
la	O
