TOKEN	IOB
«	O
Pourquoi,	O
interrogent	O
Peter	B-PER
Galison	I-PER
et	O
Caroline	B-PER
Jones	I-PER
,	O
devrions-nous	O
être	O
concernés	O
par	O
la	O
matérialité	O
des	O
pratiques	O
de	O
laboratoire	O
?	O
»	O
Et	O
les	O
auteurs	O
de	O
répondre	O
:	O
«	O
Parce	O
que	O
la	O
structure	O
sociale	O
et	O
architecturale	O
importe,	O
comme	O
importe	O
l’emplacement	O
culturel	O
des	O
laboratoires	O
;	O
ils	O
importent	O
pour	O
le	O
caractère	O
de	O
la	O
science	O
produite,	O
ils	O
importent	O
pour	O
la	O
définition	O
changeante	O
de	O
ce	O
qui	O
compte	O
comme	O
expérimentation	O
et	O
de	O
qui	O
compte	O
comme	O
expérimentateur	O
Galison	O
et	O
Jones,	O
2001,	O
p.	O
205.	O
.	O
»	O
Il	O
ne	O
sera	O
pas	O
question,	O
dans	O
les	O
contributions	O
qui	O
suivent,	O
de	O
laboratoire,	O
ni	O
d’expérimentation,	O
ni	O
même	O
d’expérimentateur.	O
D’un	O
point	O
de	O
vue	O
structurel,	O
pourtant,	O
ce	O
qui	O
est	O
vrai	O
des	O
laboratoires	O
l’est	O
aussi,	O
a	O
fortiori,	O
du	O
studiolo	O
de	O
la	O
Renaissance,	O
du	O
pavillon	O
lettré	O
dans	O
la	O
Chine	B-LOC
des	O
Ming	O
ou	O
de	O
la	O
maison	O
d’un	O
professeur	O
en	O
Allemagne	B-LOC
dans	O
la	O
première	O
moitié	O
du	O
xix	O
e	O
siècle.	O
Leur	O
«	O
structure	O
sociale	O
et	O
architecturale	O
»,	O
leur	O
implantation	O
culturelle	O
renseignent	O
sur	O
ce	O
que	O
furent,	O
chacun	O
en	O
son	O
temps,	O
un	O
lettré,	O
un	O
savant,	O
un	O
sage,	O
et	O
sur	O
l’ordonnancement	O
qu’ils	O
donnèrent	O
au	O
monde.	O
Point	O
d’expérimentation,	O
c’est-à-dire	O
point	O
de	O
paillasses	O
ni	O
de	O
substances	O
actives,	O
mais	O
la	O
pensée	O
qui	O
se	O
construit,	O
s’articule	O
et	O
s’éprouve	O
jusque	O
dans	O
les	O
murs	O
et	O
les	O
objets	O
dont	O
s’entourent	O
les	O
savants.	O
Point	O
d’expérimentateur,	O
mais	O
des	O
figures	O
qui	O
s’affirment	O
et	O
justifient	O
leur	O
existence	O
à	O
force	O
de	O
références	O
et	O
de	O
citations	O
richement	O
illustrées.	O
Plus	O
encore	O
que	O
la	O
diversité	O
des	O
lieux	O
et	O
des	O
espaces	O
décrits,	O
c’est	O
la	O
diversité	O
des	O
moments	O
historiques	O
qui	O
prête	O
à	O
réfléchir.	O
Il	O
est	O
impossible	O
d’ignorer,	O
en	O
effet,	O
qu’entre	O
les	O
studios	O
et	O
cabinets	O
savants	O
des	O
xv	O
e	O
siècle	O
italien	O
et	O
xvi	O
e	O
siècle	O
chinois	O
et	O
une	O
demeure	O
allemande	O
du	O
xix	O
e	O
siècle,	O
entre	O
l’intimité	O
des	O
premiers	O
et	O
la	O
grandiloquence	O
de	O
cette	O
dernière,	O
a	O
eu	O
lieu,	O
au	O
xvii	O
e	O
siècle	O
en	O
Europe,	O
ce	O
qu’il	O
est	O
coutume	O
d’appeler	O
la	O
révolution	O
scientifique.	O
La	O
scission	O
opérée	O
par	O
cette	O
révolution,	O
qui	O
aurait,	O
de	O
manière	O
irréversible,	O
ouvert	O
l’espace	O
du	O
savoir	O
et	O
modifié	O
la	O
nature	O
même	O
de	O
la	O
connaissance	O
Shapin,	O
1998,	O
et	O
Galison,	O
1999.	O
,	O
a	O
été	O
cependant	O
à	O
juste	O
titre	O
mise	O
en	O
doute	O
par	O
nombre	O
d’historiens	O
des	O
sciences	O
Voir,	O
par	O
exemple,	O
Shapin	O
et	O
Schaffer,	O
1993	O
;	O
Shapin,	O
1998	O
;	O
Galison	O
et	O
Thompson,	O
1999	O
;	O
en	O
particulier	O
:	O
Findlen,	O
1999	O
;	O
Galison,	O
1999	O
et	O
Newman,	O
1999.	O
.	O
Comme	O
souvent,	O
les	O
grandes	O
transformations	O
sont	O
le	O
fruit	O
moins	O
de	O
cataclysmes	O
que	O
de	O
modifications	O
subtiles,	O
d’avancées	O
discrètes,	O
de	O
revers	O
inattendus.	O
Apparus	O
au	O
début	O
du	O
xvii	O
e	O
siècle	O
en	O
Angleterre	B-LOC
,	O
les	O
laboratoires	O
auraient	O
d’abord	O
servi	O
à	O
désigner	O
et	O
à	O
abriter	O
des	O
espaces	O
«	O
où	O
le	O
secret	O
est	O
garanti,	O
pour	O
cette	O
raison	O
que	O
personne	O
n’est	O
autorisé	O
à	O
y	O
entrer	O
sauf	O
à	O
se	O
trouver	O
contraint	O
d’y	O
rester,	O
étant	O
alors	O
assuré	O
d’être	O
pourvu	O
en	O
tout	O
jusqu’à	O
ce	O
qu’on	O
le	O
conduise	O
à	O
l’église	O
au	O
jour	O
de	O
son	O
enterrement	O
Gabriel	O
Plattes,	O
«	O
Caveat	O
for	O
Alchymists	O
»,	O
in	O
Samuel	O
Hartlib,	O
Chymical,	O
Medicinal	O
and	O
Chirurgical	O
Addresses	O
(1655,	O
rédigé	O
en	O
1642-1643),	O
cité	O
in	O
Shapin	O
et	O
Schaffer,	O
1993,	O
p.	O
332.	O
».	O
Contrairement	O
à	O
l’acception	O
historique	O
dorénavant	O
commune	O
qui	O
fait	O
des	O
premiers	O
laboratoires	O
des	O
espaces	O
publics,	O
les	O
laboratoires	O
étaient,	O
dans	O
leur	O
conception	O
initiale,	O
des	O
espaces	O
privatifs	O
et	O
clos.	O
Dans	O
leur	O
relecture	O
moderne,	O
il	O
a	O
souvent	O
été	O
dit,	O
en	O
outre,	O
combien	O
les	O
laboratoires	O
n’étaient	O
en	O
vérité	O
accessibles	O
qu’à	O
ceux,	O
privilégiés	O
et	O
triés	O
sur	O
le	O
volet,	O
qui	O
avaient	O
su	O
donner	O
des	O
preuves	O
de	O
leur	O
fiabilité	O
et	O
de	O
leur	O
honnêteté	O
Shapin	O
et	O
Schaffer,	O
1993.	O
.	O
Il	O
a	O
moins	O
souvent	O
été	O
montré	O
de	O
quelle	O
façon,	O
avant	O
le	O
xvii	O
e	O
siècle,	O
les	O
studios	O
et	O
les	O
cabinets	O
d’étude	O
déjouaient	O
l’intimité	O
dont	O
ils	O
se	O
prévalaient	O
pourtant.	O
Dans	O
leur	O
contiguïté	O
même,	O
dans	O
ce	O
qui	O
les	O
distingue	O
ou	O
les	O
oppose	O
autant	O
que	O
dans	O
ce	O
qui	O
les	O
lie,	O
les	O
articles	O
rassemblés	O
dans	O
ce	O
chapitre	O
questionnent	O
l’idée	O
d’un	O
passage	O
irréversible	O
du	O
cabinet	O
d’al-	O
chimiste	O
vers	O
le	O
laboratoire	O
moderne,	O
du	O
privé	O
vers	O
le	O
public,	O
de	O
l’intime	O
vers	O
l’ostentatoire.	O
Les	O
cabinets	O
sont	O
des	O
espaces	O
reclus,	O
oui	O
;	O
intimes,	O
on	O
en	O
doute	O
tant	O
y	O
paraissent	O
en	O
foule	O
des	O
entités,	O
vivantes	O
et	O
non	O
vivantes,	O
humaines	O
et	O
non	O
humaines,	O
passées	O
et	O
présentes.	O
C’est	O
que	O
le	O
modèle	O
que	O
ces	O
espaces	O
préfigurent	O
aussi	O
est	O
celui	O
du	O
musée.	O
La	O
collection,	O
la	O
référence,	O
la	O
citation,	O
la	O
marque	O
chronologique	O
apparaissent	O
comme	O
des	O
éléments	O
non	O
seulement	O
