«	U-LOC
Si	O
Monsieur	O
Mairan	O
avait	O
disposé	O
de	O
quelques	O
observations	O
exactes	O
sur	O
les	O
aurores	O
boréales	O
en	O
Norvège	U-LOC
,	O
l’on	O
eût	O
pu	O
espérer	O
que	O
son	O
remarquable	O
travail,	O
le	O
Traité	B-MISC
physique	L-MISC
et	O
historique	O
de	O
l’aurore	O
boreale,	O
fût	O
plus	O
complet	O
et	O
plus	O
décisif	O
;	O
car	O
la	O
Norvège	U-LOC
…	O
est	O
la	O
patrie	O
des	O
aurores	O
boréales.	O
Redi,	O
Schwammerdam	U-MISC
et	O
Monsieur	B-PER
de	I-PER
Réaumur	L-PER
dans	O
ses	O
Mémoires	B-MISC
pour	I-MISC
servir	L-MISC
à	O
l’histoire	O
des	O
insectes,	O
eussent	O
considérablement	O
augmenté	O
le	O
nombre	O
de	O
leurs	O
insectes,	O
si	O
quelqu’un	O
venant	O
de	B-LOC
Norvège	L-LOC
avait	O
joint	O
ses	O
observations	O
aux	O
leurs.	O
Car	O
partout	O
chez	O
nous	O
l’on	O
trouve	O
de	O
nombreuses	O
espèces	O
qui	O
ne	O
se	O
retrouvent	O
ni	O
en	O
Italie	U-LOC
ni	O
en	O
France	U-LOC
ou	O
en	O
Hollande	U-LOC
»	O
Pontoppidan,	O
Erik,	O
Versuch	U-PER
einer	O
natürlichen	O
Historie	B-PER
von	I-PER
Norwegen	L-PER
worinnen	O
die	O
Luft,	O
Grund	U-LOC
und	O
Boden,	O
Gewässer,	O
Gewächse,	O
Metalle,	O
Mineralien,	B-MISC
Steinarten,	L-MISC
Thiere,	O
Vögel,	O
Fische	U-LOC
und	O
endlich	O
das	O
Naturel	U-PER
wie	O
auch	O
die	O
Gewohnheiten	U-PER
und	O
Lebensarten	B-PER
der	I-PER
Einwohner	L-PER
dieses	O
Königreichs	U-LOC
beschrieben	O
werden	O
aus	O
dem	O
Dänischen	U-PER
übers.	O
von	O
Johann	B-PER
Adolph	L-PER
Scheiben.	O
Vol.	O
I.	O
Copenhague,	O
1753,	O
p.	O
46	O
.	O
Cette	O
citation,	O
qui	O
met	O
sommairement	O
en	O
évidence	O
des	O
«	O
entrelacements	O
de	O
savoirs	O
»	O
entre	O
la	O
France	U-LOC
et	O
la	O
zone	O
géographique	O
de	O
la	O
Norvège	U-LOC
(qui	O
ne	O
seront	O
pas	O
commentés	O
plus	O
avant	O
dans	O
le	O
présent	O
article),	O
est	O
tirée	O
de	O
l’introduction	O
à	O
la	O
première	O
partie	O
de	O
la	O
traduction	O
allemande	O
d’une	O
histoire	O
naturelle	O
danoise	O
de	O
la	O
Norvège	U-LOC
datée	O
du	O
milieu	O
du	O
18e	O
siècle.	O
Outre	O
cet	O
ouvrage	O
(Versuch	O
einer	O
natürlichen	O
Historie	B-PER
von	I-PER
Norwegen,	L-PER
1753/54),	O
les	O
collections	O
de	O
la	O
Bibliothèque	B-LOC
nationale	I-LOC
et	I-LOC
universitaire	I-LOC
de	I-LOC
Strasbourg	L-LOC
(BNU)	O
abritent	O
sept	O
autres	O
textes	O
du	O
Danois	U-LOC
Erik	O
Pontoppidan	O
(1698–1764)	O
:	O
les	O
Theatrum	B-MISC
Daniae	I-MISC
veteris	I-MISC
et	I-MISC
modernae,	L-MISC
oder:	O
Schau-Bühne	U-PER
des	O
alten	O
und	O
jetzigen	O
Dännemarcks	U-MISC
(1730),	O
Kurtz	U-PER
gefaste	O
Reformations-Historie	U-LOC
der	O
Dänischen	O
Kirche	O
(1734),	O
Gesta	U-PER
et	O
vestigia	O
Danorum	U-PER
(1740/41),	O
Annales	U-PER
ecclesiae	O
Danicae	U-PER
diplomatici	O
oder	O
nach	O
Ordnung	U-MISC
der	O
Jahre	O
abgefassete	O
und	O
mit	O
Urkunden	U-LOC
belegte	O
Kirchen-Historie	U-PER
des	O
Reichs	B-PER
Dännemarck	L-PER
(1741/52),	O
Augustissima	B-MISC
domus	L-MISC
Oldenburgica	O
in	O
nuce	O
augusta	O
(1747),	O
Dänischer	B-PER
Atlas,	L-PER
oder	O
Beschreibung	U-ORG
des	O
Königreichs	B-MISC
Dännemark	I-MISC
(1766-1767)	L-MISC
et	O
la	O
préface	O
de	O
l’ouvrage	O
de	O
Ludwig	B-PER
Ferdinand	L-PER
Römer,	O
Nachrichten	B-PER
von	I-PER
der	I-PER
Küste	L-PER
Guinea	O
(1769).	O
En	O
examinant	O
plus	O
précisément	O
le	O
catalogue,	O
l’on	O
s’aperçoit	O
qu’à	O
l’exception	O
de	O
deux	O
textes,	O
dont	O
la	O
date	O
d’entrée	O
dans	O
la	O
collection	O
n’est	U-MISC
pas	O
claire,	O
tous	O
ont	O
intégré	O
les	O
fonds	O
de	O
la	O
BNU	U-MISC
entre	O
1872	O
et	O
1874.	O
Cette	O
concentration	O
sur	O
une	O
courte	O
période	O
est	O
liée	O
aux	O
événements	O
du	O
24	O
août	O
1870,	O
lorsque	O
les	O
deux	O
bibliothèques	O
principales	O
de	O
