Avec	O
les	O
progrès	O
de	O
la	O
foi,	O
l’erreur	O
vaincue	O
s’effondre.	O
Rome	U-LOC
tout	O
entière,	O
où	O
il	O
n’est	O
plus	O
de	O
place	O
pour	O
le	O
crime	O
et	O
pour	O
le	O
meurtre,	O
donne	O
ses	O
suffrages	O
au	O
nom	O
sacré	O
du	O
Christ.	U-LOC
Elle	O
se	O
moque	O
des	O
inventions	O
de	O
Numa	U-PER
ou	O
des	O
oracles	O
de	O
la	O
Sybille	U-LOC
;	O
la	O
foule	O
répond	O
joyeusement	O
«	O
Amen	U-MISC
»	O
avec	O
les	O
saints	O
pasteurs,	O
dans	O
les	O
nombreuses	O
bergeries	O
du	O
royaume	O
de	O
Dieu.	O
Une	O
sainte	O
clameur	O
de	O
louanges	O
au	O
Dieu	U-MISC
éternel	O
frappe	O
la	O
voûte	O
du	O
ciel	O
;	O
les	O
temples	O
du	O
Capitole	U-LOC
chancellent,	O
frappés	O
à	O
la	O
cime.	O
Dans	O
ces	O
temples	O
désertés,	O
les	O
répugnantes	O
idoles	O
tremblent,	O
frappées	O
au	O
cœur	O
par	O
les	O
pieuses	O
clameurs,	O
renversées	O
par	O
le	O
nom	O
du	O
Christ	U-PER
;	O
les	O
démons	O
terrorisés	O
quittent	O
les	O
sanctuaires	O
abandonnés	O
Paulin	B-PER
de	I-PER
Nole,	L-PER
Poèmes,	O
19,	O
61-71	O
:	O
Crebrescente	U-MISC
fide	O
uictus	O
dilabitur	O
error,	O
/	O
et	O
prope	O
iam	O
nullis	O
sceleri	O
mortique	O
relictis	O
/	O
tota	O
pio	O
Christi	U-PER
censetur	O
nomine	O
Roma,	O
/	O
inridens	O
figmenta	O
Numae	U-PER
uel	O
fata	O
Sibyllae.	U-PER
/	O
Cumque	U-PER
sacris	O
pia	O
turba	O
refert	O
pastoribus	O
Amen	U-MISC
/	O
per	O
numerosa	O
dei	O
regnantis	O
ouilia	O
laetum,	O
/	O
laudibus	O
aeterni	O
domini	O
ferit	O
aethera	O
clamor	O
/	O
sanctus	O
et	O
incusso	O
Capitolia	U-PER
culmine	O
nutant.	O
/	O
In	U-MISC
uacuis	O
simulacra	O
tremant	O
squalentia	O
templis	O
/	O
uocibus	O
icta	O
piis	O
inpulsaque	O
nomine	O
Christi.	U-LOC
/	O
Diffugiunt	U-PER
trepidi	O
desertas	O
daemones	O
aedes.	O
.	O
Du	O
faîte	O
du	O
palais	O
[du	O
Palatin]	U-MISC
on	O
domine	O
les	O
Rostres,	U-MISC
et	O
son	O
entourage	O
de	O
temples	O
est	O
comme	O
un	O
cercle	O
de	O
dieux	O
en	O
faction	O
pour	O
veiller	O
sur	O
lui.	O
Au-dessous	B-MISC
du	I-MISC
sanctuaire	I-MISC
du	I-MISC
Jupiter	I-MISC
Tonnant,	I-MISC
l’œil	L-MISC
ravi	O
voit	O
les	O
Géants	U-PER
suspendus	O
à	O
la	B-LOC
Roche	L-LOC
Tarpéienne,	O
les	O
portes	O
ciselées	O
du	O
Capitole,	U-MISC
les	O
étendards	O
qui	O
flottent	O
jusqu’aux	O
nues,	O
les	O
temples	O
pressés	O
qui	O
remplissent	O
l’espace,	O
le	O
sol	O
planté	O
de	O
colonnes	O
qu’ornent	O
en	O
grand	O
nombre	O
des	O
poupes	O
de	O
navires,	O
les	O
édifices	O
étagés	O
sur	O
les	O
collines	O
où	O
la	O
main	O
de	O
l’homme	U-LOC
a	O
encore	O
ajouté	O
à	O
la	O
nature,	O
une	O
quantité	O
enfin	O
d’arcs	O
de	O
triomphe	O
fastueux	O
et	O
ornés	O
de	O
dépouilles	O
!	O
Claudien,	B-MISC
Panégyrique	L-MISC
sur	O
le	O
sixième	O
consulat	O
d’Honorius,	O
42-51	O
:	O
Attollens	U-LOC
apicem	O
subiectis	O
regia	O
rostris	O
/	O
tot	O
circum	O
delubra	O
uidet	O
tantisque	O
deorum	O
/	O
cingitur	O
excubiis.	O
iuuat	O
infra	O
tecta	O
Tonantis	U-MISC
/	O
Cernere	O
Tarpeia	O
pendentes	O
rupe	O
Gigantas	U-ORG
/	O
caelatasque	O
fores	O
mediisque	O
uolantia	O
signa	O
/	O
nubibus	O
et	O
densum	O
stipantibus	O
aethera	O
templis	O
/	O
aeraque	O
uestitis	O
numerosa	O
puppe	O
columnis	O
/	O
consita	O
subnixasque	O
iugis	O
immanibus	O
aedes,	O
/	O
naturam	O
cumulante	O
manu,	O
spoliisque	O
micantes	O
/	O
Innumeros	U-ORG
arcus.	O
Contrairement	O
à	O
ce	O
qu’affirme	O
Pierre	B-PER
Gros	L-PER
(1996,	O
p.	O
160),	O
il	O
ne	O
nous	O
semble	O
pas	O
que	O
le	O
tecta	O
Tonantis	U-MISC
fasse	O
référence	O
au	O
temple	B-LOC
de	I-LOC
Jupiter	I-LOC
Tonant	L-LOC
consacré	O
par	O
Auguste	U-PER
en	O
22	O
a.C.	O
Une	O
lecture	O
attentive	O
de	O
la	O
description	O
nous	O
mène	O
plutôt	O
à	O
considérer	O
ici	O
Tonans	U-PER
comme	O
une	O
autre	O
dénomination	O
de	O
Iuppiter	U-LOC
Optimus	O
Maximus,	O
à	O
l’instar	O
de	O
son	O
usage	O
dans	O
un	O
passage	O
du	O
Contra	B-MISC
Paganos	I-MISC
(1-2),	L-MISC
poème	O
tardif	O
antipaïen,	O
dans	O
lequel	O
l’auteur	O
anonyme	O
décrie	O
ces	O
notables	O
qui	O
prient	O
les	O
Capitolia	U-PER
celsa	O
Tonantis.	O
Les	O
images	O
mentales	O
de	O
la	O
ville	B-LOC
de	I-LOC
Rome	L-LOC
qui	O
se	O
forment	O
dans	O
notre	O
esprit,	O
à	O
la	O
lecture	O
de	O
ces	O
deux	O
textes,	O
s’avèrent	O
pour	O
le	O
moins	O
contrastées.	O
Et	O
pourtant,	O
ces	O
derniers	O
sont	O
contemporains	O
et	O
s’adressent	O
tous	O
les	O
deux	O
à	O
une	O
audience	O
ou	O
à	O
un	O
destinataire	O
chrétien.	O
Le	O
premier	O
est	O
extrait	O
d’un	O
poème	O
composé	O
en	O
405	O
à	O
l’occasion	O
du	O
natalis	O
de	O
S.	B-PER
Félix	I-PER
de	I-PER
Nole	L-PER
par	O
Paulin,	U-PER
fervent	O
croyant	O
qui,	O
à	O
la	O
manière	O
d’un	O
moine,	O
consacrait	O
désormais	O
sa	O
vie	O
au	O
Christ	U-PER
Sur	O
le	O
personnage	O
et	O
ses	O
œuvres,	O
Trout	O
1999.	O
