Comme	O
elle	O
allait	O
être	O
condamnée,	O
il	O
la	O
fit	O
avancer	O
au	O
milieu	O
de	O
la	O
salle	O
(εἰς	O
μέσον)	U-ORG
et,	U-MISC
ayant	O
déchiré	O
son	O
vêtement,	O
il	O
exhiba	O
(ἐπέδειξε)	U-MISC
la	O
poitrine	O
de	O
la	O
femme.	O
Quand	B-MISC
les	I-MISC
juges	L-MISC
virent	O
(ἀπιδόντων)	O
sa	O
beauté,	O
ils	O
l’acquittèrent	O
Plutarque,	O
Vie	O
des	O
dix	O
orateurs,	O
Hypéride,	O
20	O
:	O
Moralia,	B-MISC
849e	L-MISC
:	O
Μελλούσης	U-LOC
δ'	O
αὐτῆς	O
ἁλίσκεσθαι,	O
παραγαγὼν	O
εἰς	O
μέσον	O
καὶ	O
περιρρήξας	O
τὴν	O
ἐσθῆτα	O
ἐπέδειξε	O
τὰ	O
στέρνατῆς	O
γυναικός,	O
καὶ	O
τῶν	O
δικαστῶν	O
εἰς	O
τὸ	O
κάλλος	O
ἀπιδόντων	O
ἀφείθη.	O
.	O
Fig.	O
1	O
:	O
Phryné	U-PER
devant	O
l’Aréopage.	O
Jean-Léon	B-PER
Gérôme,	I-PER
Hamburg,	I-PER
Kunsthalle,	L-PER
1861.	O
C’est	O
ainsi	O
que	O
le	O
Pseudo-Plutarque	U-LOC
expose	O
la	O
stratégie	O
utilisée	O
par	O
Hypéride	U-PER
pour	O
défendre	O
Phryné	U-PER
,	O
courtisane	O
accusée	O
d’impiété	O
dans	O
les	O
années	O
340-330	O
Sur	B-MISC
les	I-MISC
trois	I-MISC
chefs	I-MISC
d’inculpation	I-MISC
précis,	L-MISC
voir	O
Foucart	U-MISC
1902.	O
Pour	B-MISC
la	I-MISC
date,	L-MISC
voir	O
la	O
bibliographie	O
exposée	O
par	O
Gianfranco	B-PER
Bartolini	L-PER
(1977,	O
p.	O
117-118).	O
.	O
La	O
présentation	O
du	O
corps	O
de	O
l’hétaïre	O
apparaît	O
comme	O
une	O
«	O
arme	O
rhétorique	O
redoutable	O
Gherchanoc	U-MISC
2012,	O
p.	O
207.	O
L’ensemble	O
de	O
l’article	O
analyse	O
les	O
raisons	O
qui	O
font	O
de	O
ce	O
dévoilement	O
un	O
moyen	O
de	O
persuasion.	O
».	B-MISC
Si	L-MISC
le	O
discours	O
de	O
l’orateur	O
est	O
aujourd’hui	O
perdu	O
Une	O
seule	O
phrase	O
a	O
survécu,	O
grâce	O
à	O
Harpocration	U-MISC
et	O
Hésychius.	B-PER
Elle	L-PER
ne	O
concerne	O
malheureusement	O
pas	O
l’opération	O
de	O
dévoilement	O
mais	O
la	O
déesse	O
étrangère	O
Isodaitès,	U-MISC
qu’aurait	O
introduite	O
Phryné.	B-MISC
Voir	L-MISC
Foucart	U-LOC
1975,	O
p.	O
136,	O
n.	O
2.	O
Pour	B-MISC
l’ensemble	I-MISC
des	I-MISC
remarques	I-MISC
des	I-MISC
Anciens	L-MISC
qui	O
se	O
rapportent	O
à	O
l’affaire,	O
voir	O
les	O
fragments	O
d’Hypéride	O
dans	O
l’édition	O
Teubner	U-ORG
éditée	O
par	O
Christian	B-PER
Jensen	L-PER
(1917,	O
p.	O
143-145	O
:	O
fragments	O
171-180).	U-MISC
et	O
si	O
l’authenticité	O
de	O
ce	O
passage	O
a	O
été	O
contestée	O
Voir	O
Craig	B-PER
Cooper	L-PER
(1995),	O
qui	O
parle	O
d’une	O
«	O
biographical	O
fiction	O
»	O
(p.	O
305).	O
,	O
ce	O
geste,	O
ayant	O
valeur	O
d’argument,	O
a	O
été	O
largement	O
évoqué	O
dans	O
l’Antiquité	O
Cette	O
version	O
se	O
trouve	O
dans	O
Athénée,	U-MISC
Deipnosophistes,	O
XIII,	O
590	O
d-f.	O
D’autres	O
auteurs	O
affirment	O
que	O
c’est	B-PER
Phryné	L-PER
qui	O
a	O
déchiré	O
ses	O
vêtements	O
:	O
Alciphron,	B-MISC
Lettres	I-MISC
d’hétaïres	L-MISC
(IV),	O
4	O
;	O
Sextus	B-PER
Empiricus,	L-PER
Contre	O
les	O
rhéteurs	O
(II),	O
4.	O
Enfin,	B-MISC
Posidippe	L-MISC
affirmerait	O
dans	O
son	O
Éphésienne	U-LOC
(fr.	O
13)	O
quece	O
sont	O
les	O
larmes	O
de	O
Phryné,	U-PER
et	O
non	O
pas	O
son	O
dévoilement,	O
qui	O
ont	O
convaincu	O
les	O
juges	O
(Athénée,	O
Deipnosophistes,	B-MISC
XIII,	I-MISC
591	I-MISC
e-f).	L-MISC
et	O
exploité	O
à	O
partir	O
de	O
l’époque	O
moderne	O
Ce	B-MISC
spectacle	I-MISC
vivant	L-MISC
est	O
évoqué	O
dès	O
le	O
xvi	O
e	O
siècle	O
par	O
Michel	B-PER
de	I-PER
Montaigne	L-PER
:	O
«	O
Phryné	U-PER
perdoit	O
sa	O
cause	O
entre	O
les	O
mains	O
d’un	O
excellent	O
advocat	O
si,	O
ouvrant	O
sa	O
robbe	O
elle	O
n’eust	O
corrompu	O
ses	O
juges	O
par	O
l’esclat	U-PER
de	O
sa	O
beauté	O
»	O
(Essais,	O
III,	O
12	O
:	O
«	O
De	O
la	O
phisionomie	O
»).	U-MISC
Sur	O
les	O
nombreux	O
emplois	O
de	O
la	O
scène	O
à	O
sa	O
suite,	O
voir	O
Vouilloux	U-LOC
2002,	O
p.	O
41-52.	O
Voir	O
aussi	O
Wittenburg	U-LOC
2007,	O
p.	O
212,	O
n.	O
73.	O
,	O
à	O
l’image	O
du	O
tableau	O
de	O
Jean-Léon	B-PER
Gérôme	L-PER
(fig.	O
1).	O
Le	O
dévoilement	O
de	O
Phryné	U-PER
témoigne	O
du	O
lien	O
fort	O
qui	O
unit	O
l’exhibition	O
et	O
la	O
conviction	O
En	O
parlant	O
de	O
la	O
réception	O
du	O
tableau	O
de	O
Gérôme,	U-MISC
Gerald	B-PER
Ackerman	L-PER
affirme	O
(2000,	O
p.	O
52)	O
:	O
«	O
Peu	O
à	O
peu,	O
celle-ci	O
devient	O
le	O
symbole	O
de	O
la	O
vérité	O
dévoilée.	O
»	O
.	O
Faire	U-LOC
voir	O
permet	O
de	O
faire	O
accepter,	O
montrer	O
c’est	U-MISC
déjà	O
démontrer.	O
Montrer-démontrer	U-LOC
:	O
la	O
corrélation	O
entre	O
les	O
deux	O
verbes	O
paraît	O
naturelle,	O
puisqu’ils	O
ne	O
différent	O
que	O
d’un	O
préfixe,	O
tout	O
comme	O
leurs	O
étymons	O
latins	O
et	O
grecs	O
que	O
sont	O
monstrare/demonstrare	O
et	O
δείκνυμι/ἀποδείκνυμι.	U-MISC
D’un	O
côté,	O
montrer	O
consiste	O
à	O
«	O
faire	O
voir	O
»,	U-LOC
c’est-à-dire	O
attirer	O
l’attention	O
d’une	O
ou	O
plusieurs	O
personnes.	O
Comme	O
l’écrit	O
Nadine	B-PER
Lavand	L-PER
(2008,	O
p.	O
18),	O
le	O
verbe	O
«	O
exprime	O
alors	O
toute	O
action	O
d’indiquer,	O
que	O
ce	O
soit	O
la	O
bonne	O
direction	O
–	O
montrer	O
le	O
chemin,	O
montrer	O
où	O
regarder	O
–	O
ou	O
la	O
meilleure	O
manière	O
de	O
procéder	O
–	O
montrer	O
comment	O
faire	O
–	O
celle	O
encore	O
de	O
se	O
conduire	O
–	O
montrer	O
l’exemple.	O
»	O
Monstrare	U-PER
,	O
en	O
latin,	O
désigne	O
ainsi	O
le	O
fait	O
d’agir	O
sur	O
un	O
esprit	O
et	O
le	O
monstrum	O
est	O
le	O
prodige,	O
c’est-à-dire	O
l’avertissement	O
des	O
dieux.	O
Or	B-MISC
personne	L-MISC
ne	O
peut	O
forcer	O
une	O
personne	O
à	O
regarder	O
quelque	O
chose	O
:	O
«	O
quand	O
le	O
sage	O
montre	O
la	O
Lune,	U-ORG
l’imbécile	O
regarde	O
le	O
doigt	O
».	B-MISC
Au-delà	I-MISC
de	I-MISC
la	I-MISC
question	I-MISC
des	I-MISC
facultés	I-MISC
de	I-MISC
compréhension	I-MISC
d’un	I-MISC
individu,	L-MISC
l’indication	O
d’une	O
information	O
se	O
fonde	O
d’une	O
part	O
sur	O
un	O
code	O
commun	O
de	O
signes	O
intelligibles	O
entre	O
le	O
locuteur	O
–	O
plus	O
ou	O
moins	O
sage	O
–	O
et	O
son	O
public,	O
et	O
d’autre	O
part	O
sur	O
la	O
capacité	O
du	O
premier	O
à	O
diriger	O
