,Measure	ent_type	partial	strict	exact
0,correct	0	0	0	0
1,incorrect	1	0	1	1
2,partial	0	1	0	0
3,missed	35	35	35	35
4,spurious	86	86	86	86
5,possible	36	36	36	36
6,actual	87	87	87	87
7,precision	0.0	0.006	0.0	0.0
8,recall	0.0	0.014	0.0	0.0
9,f1	0	0.008	0	0
10,correct	8	5	2	5
11,incorrect	11	0	17	14
12,partial	0	14	0	0
13,missed	256	256	256	256
14,spurious	516	516	516	516
15,possible	275	275	275	275
16,actual	535	535	535	535
17,precision	0.015	0.022	0.004	0.009
18,recall	0.029	0.044	0.007	0.018
19,f1	0.02	0.03	0.005	0.012
20,correct	1	2	1	2
21,incorrect	2	0	2	1
22,partial	0	1	0	0
23,missed	59	59	59	59
24,spurious	88	88	88	88
25,possible	62	62	62	62
26,actual	91	91	91	91
27,precision	0.011	0.027	0.011	0.022
28,recall	0.016	0.04	0.016	0.032
29,f1	0.013	0.033	0.013	0.026
30,correct	0	0	0	0
31,incorrect	1	0	1	1
32,partial	0	1	0	0
33,missed	45	45	45	45
34,spurious	61	61	61	61
35,possible	46	46	46	46
36,actual	62	62	62	62
37,precision	0.0	0.008	0.0	0.0
38,recall	0.0	0.011	0.0	0.0
39,f1	0	0.009	0	0
40,correct	1	0	0	0
41,incorrect	0	0	1	1
42,partial	0	1	0	0
43,missed	57	57	57	57
44,spurious	71	71	71	71
45,possible	58	58	58	58
46,actual	72	72	72	72
47,precision	0.014	0.007	0.0	0.0
48,recall	0.017	0.009	0.0	0.0
49,f1	0.015	0.008	0	0
50,correct	0	0	0	0
51,incorrect	0	0	0	0
52,partial	0	0	0	0
53,missed	17	17	17	17
54,spurious	14	14	14	14
55,possible	17	17	17	17
56,actual	14	14	14	14
57,precision	0.0	0.0	0.0	0.0
58,recall	0.0	0.0	0.0	0.0
59,f1	0	0	0	0
60,correct	4	4	1	4
61,incorrect	7	0	10	7
62,partial	0	7	0	0
63,missed	82	82	82	82
64,spurious	159	159	159	159
65,possible	93	93	93	93
66,actual	170	170	170	170
67,precision	0.024	0.044	0.006	0.024
68,recall	0.043	0.081	0.011	0.043
69,f1	0.03	0.057	0.008	0.03
70,correct	2	1	1	1
71,incorrect	1	0	2	2
72,partial	0	2	0	0
73,missed	92	92	92	92
74,spurious	49	49	49	49
75,possible	95	95	95	95
76,actual	52	52	52	52
77,precision	0.038	0.038	0.019	0.019
78,recall	0.021	0.021	0.011	0.011
79,f1	0.027	0.027	0.014	0.014
80,correct	3	1	0	1
81,incorrect	8	0	11	10
82,partial	0	10	0	0
83,missed	110	110	110	110
84,spurious	178	178	178	178
85,possible	121	121	121	121
86,actual	189	189	189	189
87,precision	0.016	0.032	0.0	0.005
88,recall	0.025	0.05	0.0	0.008
89,f1	0.019	0.039	0	0.006
90,correct	0	0	0	0
91,incorrect	0	0	0	0
92,partial	0	0	0	0
93,missed	41	41	41	41
94,spurious	40	40	40	40
95,possible	41	41	41	41
96,actual	40	40	40	40
97,precision	0.0	0.0	0.0	0.0
98,recall	0.0	0.0	0.0	0.0
99,f1	0	0	0	0
100,correct	6	5	4	5
101,incorrect	3	0	5	4
102,partial	0	4	0	0
103,missed	84	84	84	84
104,spurious	119	119	119	119
105,possible	93	93	93	93
106,actual	128	128	128	128
107,precision	0.047	0.055	0.031	0.039
108,recall	0.065	0.075	0.043	0.054
109,f1	0.054	0.063	0.036	0.045
110,correct	4	0	0	0
111,incorrect	3	0	7	7
112,partial	0	7	0	0
113,missed	69	69	69	69
114,spurious	86	86	86	86
115,possible	76	76	76	76
116,actual	93	93	93	93
117,precision	0.043	0.038	0.0	0.0
118,recall	0.053	0.046	0.0	0.0
119,f1	0.047	0.041	0	0
120,correct	0	0	0	0
121,incorrect	1	0	1	1
122,partial	0	1	0	0
123,missed	114	114	114	114
124,spurious	73	73	73	73
125,possible	115	115	115	115
126,actual	74	74	74	74
127,precision	0.0	0.007	0.0	0.0
128,recall	0.0	0.004	0.0	0.0
129,f1	0	0.005	0	0
130,correct	10	1	0	1
131,incorrect	3	0	13	12
132,partial	0	12	0	0
133,missed	157	157	157	157
134,spurious	339	339	339	339
135,possible	170	170	170	170
136,actual	352	352	352	352
137,precision	0.028	0.02	0.0	0.003
138,recall	0.059	0.041	0.0	0.006
139,f1	0.038	0.027	0	0.004
