TOKEN	IOB
À	O
la	O
fin	O
du	O
XIXe	O
siècle,	O
le	O
nouveau	O
bâtiment	O
de	O
la	O
Bibliothèque	O
impériale	O
de	O
l’université	O
et	O
de	O
la	O
régionespaces	O
savantslieubibliothèque	O
(Kaiserliche	O
Universitäts-	O
und	O
Landesbibliothek,	O
l’ancêtre	O
de	O
la	O
BNU)	O
est	O
construit	O
dans	O
le	O
cœur	O
symbolique	O
du	O
nouveau	O
quartier	O
édifié	O
par	O
les	O
autorités	O
allemandes,	O
sur	O
un	O
côté	O
de	O
la	O
place	O
de	O
l’Empereur	O
(Kaiserplatz,	O
actuelle	O
place	O
de	O
la	O
République).	O
Il	O
avoisine	O
le	O
parlement	O
régional,	O
le	O
palais	O
où	O
réside	O
l’Empereur	O
lorsqu’il	O
se	O
déplace	O
à	O
Strasbourg	B-LOC
et	O
deux	O
bâtiments	O
abritant,	O
suivant	O
le	O
système	O
politique	O
allemand,	O
des	O
ministères	O
régionaux.	O
Cette	O
situation	O
centrale	O
donne	O
évidemment	O
à	O
l’établissement	O
culturel	O
et	O
éducatif	O
qu’est	O
la	O
bibliothèque	O
une	O
fonction	O
politique	O
qui	O
prend	O
sa	O
place	O
dans	O
le	O
programme	O
de	O
reconquête	O
idéologique	O
de	O
l’	O
Alsace	B-LOC
-	O
Lorraine	B-LOC
par	O
le	O
nouveau	O
pouvoir	O
allemand.	O
L’importance	O
symbolique	O
que	O
revêt	O
la	O
construction	O
de	O
la	O
bibliothèque	O
se	O
voit	O
dès	O
le	O
début	O
de	O
l’histoire	O
du	O
bâtiment	O
:	O
les	O
décisions	O
qui	O
la	O
concernent	O
(incluant	O
des	O
aspects	O
techniques	O
comme	O
le	O
choix	O
des	O
entreprises	O
ou	O
celui	O
du	O
mobilier)	O
font	O
ainsi	O
l’objet	O
de	O
discussions	O
régulières	O
au	O
parlement	O
régional.	O
Bien	O
plus,	O
la	O
construction	O
du	O
nouveau	O
bâtiment	O
destiné	O
à	O
abriter	O
ce	O
dernier	O
se	O
fait	O
de	O
façon	O
parallèle	O
à	O
celle	O
de	O
la	O
bibliothèque,	O
de	O
sorte	O
qu’on	O
peut	O
presque	O
les	O
considérer	O
comme	O
des	O
«	O
bâtiments	O
jumeaux	O
»,	O
pour	O
reprendre	O
les	O
termes	O
de	O
l’historien	O
de	O
l'architecture	O
Klaus	B-PER
Nohlen	I-PER
:	O
même	O
situation	O
sur	O
le	O
côté	O
est	O
de	O
la	O
place,	O
même	O
période	O
de	O
construction	O
(de	O
1889	O
à	O
1895	O
pour	O
la	O
bibliothèque,	O
de	O
1888	O
à	O
1892	O
pour	O
le	O
parlement),	O
mêmes	O
architectes	O
(Hartel	O
et	O
Neckelmann	B-PER
),	O
mêmes	O
matériaux	O
employés	O
(grès	O
vosgien	O
pour	O
l’extérieur,	O
grès	O
de	O
la	O
Forêt-Noire	O
pour	O
les	O
escaliers	O
intérieurs),	O
enfin	O
même	O
sculpteur	O
(Johannes	O
Riegger,	O
Badois	O
établi	O
à	O
Strasbourg	B-LOC
)	O
responsable	O
de	O
l’exécution	O
du	O
programme	O
iconographique.	O
Car	O
tous	O
ces	O
bâtiments	O
devaient	O
aussi	O
être	O
«	O
parlants	O
»,	O
et	O
furent	O
dotés	O
de	O
représentations	O
imagées,	O
allégoriques	O
ou	O
historiques,	O
qui	O
devaient	O
en	O
souligner	O
la	O
fonction	O
et	O
l’inscription	O
dans	O
le	O
nouvel	O
ordre	O
politique	O
et	O
culturel	O
européen.	O
La	O
bibliothèque,	O
avec	O
des	O
bas-reliefs,	O
des	O
statues	O
et	O
des	O
médaillons	O
(ainsi	O
qu’un	O
décor	O
intérieur	O
peint,	O
malheureusement	O
détruit	O
dans	O
les	O
années	O
cinquante)	O
a	O
été	O
l’objet	O
d’attentions	O
particulières,	O
mais	O
n’est	O
aucunement	O
une	O
exception,	O
tous	O
les	O
bâtiments	O
cités	O
plus	O
haut	O
ayant	O
été	O
pareillement	O
décorés	O
:	O
le	O
parlement	O
régional	O
par	O
des	O
médaillons	O
figurant	O
les	O
armes	O
des	O
villes	O
d’	O
Alsace-Lorraine	B-LOC
,	O
le	O
palais	O
de	O
l’Empereur	O
par	O
des	O
cartouches	O
représentant	O
les	O
armes	O
des	O
principales	O
villes	O
et	O
familles	O
princières	O
d’	O
Allemagne	B-LOC
(en	O
incorporant	O
Strasbourg	B-LOC
,	O
Metz	B-LOC
,	O
l’	O
Alsace	B-LOC
et	O
la	O
Lorraine	B-LOC
à	O
ce	O
programme),	O
les	O
bâtiments	O
ministériels	O
fermant	O
la	O
place	O
vers	O
le	O
nord	O
par	O
des	O
reliefs	O
et	O
des	O
statues	O
rappelant	O
pareillement	O
leur	O
fonction.	O
Enfin,	O
un	O
peu	O
plus	O
loin,	O
l’université,	O
la	O
