TOKEN	IOB
Prélude	O
en	O
quatre	O
mouvements	O
Ferdinand	O
Bol	O
(1616-1680),	O
Portrait	O
d’un	O
mathématicien	O
Vêtu	O
de	O
noir	O
et	O
appuyé	O
sur	O
une	O
table	O
de	O
travail,	O
il	O
désigne	O
de	O
sa	O
règle	O
une	O
figure	O
tracée	O
sur	O
le	O
tableau,	O
deux	O
triangles	O
rectangles	O
prenant	O
appui	O
sur	O
le	O
diamètre	O
d’un	O
demi-cercle,	O
tandis	O
que	O
l’index	O
tendu	O
semble	O
ponctuer	O
l’évidence	O
de	O
la	O
démonstration.	O
La	O
figure	O
se	O
suffit	O
à	O
elle-même	O
et	O
n’appelle	O
pas	O
une	O
légende.	O
Serein,	O
offrant	O
au	O
spectateur	O
la	O
clé	O
visuelle	O
qui	O
identifie	O
son	O
statut,	O
ce	O
mathématicien	O
invite	O
à	O
réfléchir	O
sur	O
l’exercice	O
d’un	O
savoir	O
particulier	O
où	O
les	O
opérations	O
mentales	O
et	O
l’ordre	O
du	O
raisonnement	O
prennent	O
appui	O
sur	O
une	O
inscription	O
dont	O
le	O
tracé	O
accompagne	O
le	O
traitement	O
d’un	O
problème,	O
de	O
sa	O
formulation	O
à	O
sa	O
résolution.	O
Des	O
lettres	O
signalent	O
angles	O
et	O
segments	O
de	O
lignes	O
en	O
différents	O
points	O
de	O
la	O
figure,	O
participant	O
de	O
l’économie	O
minimale	O
du	O
langage	O
et	O
de	O
l’écriture	O
mathématiques.	O
La	O
figure	O
schématique	O
invite	O
à	O
penser	O
une	O
configuration	O
indépendante	O
de	O
la	O
taille	O
et	O
de	O
la	O
couleur	O
de	O
l’inscription,	O
de	O
même	O
que	O
les	O
lettres	O
situent	O
le	O
problème	O
en	O
dehors	O
de	O
toute	O
référence	O
empirique.	O
Elle	O
désigne	O
pour	O
qui	O
sait	O
la	O
lire	O
les	O
trois	O
lignes	O
trigonométriques	O
fondamentales,	O
le	O
sinus,	O
le	O
cosinus	O
et	O
la	O
tangente	O
d’un	O
angle	O
ou	O
d’un	O
arc	O
de	O
cercle.	O
Il	O
s’agit	O
d’une	O
«	O
vue	O
de	O
l’esprit	O
»	O
qui	O
offre	O
un	O
support	O
matériel	O
à	O
un	O
exercice	O
de	O
la	O
pensée,	O
soit	O
qu’elle	O
accompagne	O
le	O
déroulement	O
d’un	O
raisonnement	O
mis	O
en	O
discours,	O
soit	O
qu’elle	O
résume	O
ses	O
étapes	O
dans	O
son	O
évidence	O
silencieuse.	O
De	O
cet	O
exercice	O
de	O
pensée	O
nous	O
ne	O
voyons	O
rien	O
d’autre	O
que	O
le	O
dessin	O
qui	O
le	O
matérialise	O
et	O
que	O
le	O
mathématicien	O
nous	O
invite	O
à	O
regarder.	O
Raphaël,	O
Portrait	O
de	O
Tommaso	O
Inghirami	O
(vers	O
1515-1516),	O
Florence,	O
Palazzo	O
Pitti.	O
Grand	O
lettré,	O
bon	O
orateur	O
et	O
auteur	O
de	O
différents	O
ouvrages	O
érudits	O
sur	O
les	O
auteurs	O
classiques,	O
le	O
cardinal	O
Tommaso	B-PER
Inghirami	I-PER
(1470-1516)	O
garda	O
sa	O
vie	O
durant	O
et	O
malgré	O
lui	O
le	O
surnom	O
de	O
Phaedra	O
que	O
lui	O
avait	O
valu	O
son	O
interprétation	O
au	O
théâtre,	O
au	O
temps	O
de	O
sa	O
jeunesse,	O
de	O
l’héroïne	O
de	O
Sénèque	B-PER
.	O
Il	O
fut	O
nommé	O
à	O
