TOKEN	IOB
La	O
main	O
humaine,	O
cet	O
«	O
organe	O
invraisemblablement	O
archaïque	O
André	O
Leroi-Gourhan,	O
Le	O
Geste	O
et	O
la	O
parole,	O
1.	O
Technique	O
et	O
langage,	O
Paris,	O
2004	O
(1re	O
éd.	O
1964),	O
p.	O
168.	O
»,	O
si	O
on	O
la	O
considère	O
dans	O
le	O
temps	O
long	O
de	O
l’évolution	O
des	O
espèces,	O
est	O
aussi	O
une	O
mécanique	O
infiniment	O
subtile	O
:	O
«	O
Cinq	O
rameaux	O
osseux,	O
avec	O
leur	O
système	O
de	O
nerfs	O
et	O
de	O
ligaments,	O
cheminent	O
sous	O
la	O
peau,	O
puis	O
se	O
dégagent	O
comme	O
d’un	O
jet	O
pour	O
donner	O
cinq	O
doigts	O
séparés,	O
dont	O
chacun,	O
articulé	O
sur	O
trois	O
jointures,	O
a	O
son	O
aptitude	O
propre	O
et	O
son	O
esprit	O
Henri	O
Focillon,	O
«	O
Éloge	O
de	O
la	O
main	O
»,	O
in	O
Vie	O
des	O
Formes,	O
Paris,	O
1981	O
(1re	O
éd.	O
1934),	O
p.	O
101-128.	O
»	O
La	O
main	O
émerge	O
de	O
la	O
patte	O
animale	O
lorsque	O
les	O
premiers	O
hominiens	O
se	O
redressent	O
et,	O
debout	O
sur	O
leurs	O
deux	O
pieds,	O
libèrent	O
leurs	O
membres	O
antérieurs	O
de	O
la	O
fonction	O
locomotrice.	O
En	O
accédant	O
à	O
la	O
station	O
verticale,	O
c’est	O
l’architecture	O
même	O
du	O
corps,	O
son	O
équilibre,	O
ses	O
capacités	O
motrices	O
qui	O
se	O
trouvent	O
redéfinis	O
:	O
la	O
boîte	O
crânienne	O
est	O
remodelée	O
et	O
permet	O
l’accroissement	O
du	O
cerveau,	O
la	O
gueule	O
devient	O
visage,	O
les	O
mains	O
libèrent	O
la	O
bouche,	O
rendant	O
ainsi	O
possible	O
l’interaction	O
du	O
geste	O
et	O
de	O
la	O
parole,	O
dont	O
André	O
Leroi-Gourhan	O
a	O
retracé	O
la	O
genèse	O
dans	O
sa	O
belle	O
méditation	O
de	O
préhistorien.	O
Si	O
le	O
langage	O
tisse	O
le	O
lien	O
social	O
et	O
ouvre	O
la	O
voie	O
à	O
la	O
conquête	O
symbolique	O
du	O
monde,	O
la	O
main	O
permet	O
l’action	O
de	O
l’homme	O
dans	O
et	O
sur	O
son	O
environnement,	O
une	O
fois	O
appris	O
les	O
gestes	O
de	O
la	O
subsistance,	O
de	O
la	O
défense	O
et	O
de	O
la	O
chasse.	O
L’étape	O
décisive	O
est	O
celle	O
de	O
l’invention	O
de	O
l’outil	O
:	O
les	O
premiers	O
galets	O
aménagés	O
offrent	O
un	O
tranchant	O
rudimentaire	O
qui	O
dépasse	O
déjà	O
les	O
capacités	O
de	O
la	O
main	O
qui	O
l’utilise.	O
L’outil	O
est	O
une	O
prothèse	O
externe	O
qui	O
apporte	O
au	O
bras	O
humain	O
une	O
force	O
et	O
une	O
portée	O
inédites.	O
Ces	O
prothèses,	O
généralistes	O
et	O
plurifonctionnelles	O
à	O
l’origine,	O
vont	O
se	O
spécialiser	O
en	O
répondant	O
à	O
des	O
besoins	O
de	O
plus	O
en	O
plus	O
précisément	O
identifiés	O
:	O
les	O
formes	O
des	O
outils	O
tendent	O
à	O
se	O
standardiser,	O
résultat	O
d’un	O
savoir-faire	O
qui	O
adapte	O
les	O
gestes	O
de	O
la	O
fabrication	O
et	O
les	O
matériaux	O
à	O
la	O
fin	O
recherchée.	O
Percer,	O
tuer	O
à	O
distance,	O
scier,	O
couper,	O
dépecer,	O
abattre	O
:	O
autant	O
d’actions	O
accomplies	O
par	O
la	O
main	O
outillée,	O
qui	O
témoignent	O
d’un	O
