TOKEN	IOB
Depuis	O
1970,	O
nous	O
avons	O
eu	O
le	O
privilège	O
de	O
vivre	O
et	O
de	O
travailler	O
auprès	O
d’une	O
population	O
de	O
montagnards	O
des	O
Philippines	B-LOC
établie	O
sur	O
une	O
grande	O
île	O
chargée	O
de	O
mémoire.	O
Dans	O
la	O
beauté	O
lumineuse	O
de	O
la	O
mer	O
de	O
Chine	O
et	O
de	O
la	O
mer	O
de	O
Sulu,	O
Palawan	B-LOC
est	O
posée	O
telle	O
une	O
passerelle	O
unissant	O
Bornéo	B-LOC
à	O
la	O
septentrionale	O
Luzon	B-LOC
Appelé	O
«	O
Isla	O
de	O
la	O
Paragua	O
»	O
sur	O
les	O
cartes	O
espagnoles,	O
cet	O
archipel	O
de	O
1	O
768	O
îles	O
fut	O
nommé	O
en	O
1903	O
«	O
Palawan	O
»	O
;	O
la	O
grande	O
île	O
représente	O
1	O
200	O
000	O
hectares,	O
soit	O
625	O
km	O
de	O
long	O
et	O
de	O
40	O
à	O
18	O
km	O
de	O
large.	O
.	O
S’ouvrant	O
sur	O
un	O
paisible	O
paysage	O
insulaire	O
dont	O
les	O
mythes	O
toponymiques	O
nous	O
révèlent	O
le	O
sens,	O
de	O
magnifiques	O
formations	O
calcaires	O
s’élèvent	O
sur	O
la	O
mer	O
de	O
Chine	O
méridionale	O
et	O
forment	O
«	O
Lipuun	O
Point	O
»,	O
près	O
de	O
la	O
bourgade	O
de	O
Quezon	B-LOC
.	O
Depuis	O
les	O
années	O
1960,	O
de	O
nombreuses	O
fouilles	O
effectuées	O
par	O
le	O
Musée	O
national	O
ont	O
mis	O
au	O
jour	O
des	O
vestiges	O
préhistoriques,	O
néolithiques,	O
protohistoriques,	O
preuves	O
d’un	O
habitat	O
très	O
ancien,	O
le	O
célèbre	O
complexe	O
des	O
grottes	O
de	O
Tabon	B-LOC
Fox,	O
1970,	O
chap.	O
i,	O
«	O
Introduction	O
to	O
the	O
Archeology	O
of	O
Palawan	O
»,	O
p.	O
1-19,	O
et	O
chap.	O
ii,	O
«	O
An	O
upper	O
paleolithic	O
Habitation	O
Site	O
»,	O
p.	O
21-44.	O
.	O
Au	O
début	O
du	O
xx	O
e	O
siècle,	O
les	O
voyageurs	O
observaient	O
une	O
nature	O
primordiale	O
et	O
un	O
couvert	O
forestier	O
de	O
type	O
climacique	O
appartenant	O
à	O
un	O
«	O
berceau	O
cultural	O
»	O
riche	O
de	O
20	O
000	O
espèces	O
endémiques	O
(la	O
Flora	O
Malaysiana	O
),	O
ainsi	O
qu’une	O
très	O
faible	O
densité	O
de	O
populations	O
autochtones.	O
Aujourd’hui,	O
divers	O
paysages	O
montrent	O
l’exploitation	O
lucrative	O
des	O
grands	O
diptérocarpes	O
de	O
la	O
forêt	O
au	O
nord	O
et	O
au	O
sud	O
de	O
l’île	O
ainsi	O
qu’une	O
présence	O
humaine	O
nouvelle.	O
Cette	O
population	O
hétéroclite	O
de	O
migrants	O
a	O
des	O
intérêts,	O
des	O
attitudes,	O
des	O
pratiques	O
culturelles	O
et	O
des	O
valeurs	O
autres.	O
On	O
y	O
parle	O
diverses	O
langues,	O
et	O
les	O
visions	O
du	O
monde	O
sont	O
multiples.	O
Au	O
sud,	O
on	O
trouve	O
différents	O
groupes	O
ethniques	O
islamisés	O
sur	O
les	O
îles	B-LOC
de	I-LOC
Balabac	I-LOC
et	O
de	O
Cagayan	B-LOC
de	O
Tawi-Tawi,	B-LOC
dans	O
la	O
région	O
de	O
Bataraza	B-LOC
et	O
des	O
îles	O
de	O
la	O
mer	O
de	O
Chine	O
:	O
les	O
Molbog,	O
divers	O
groupes	O
Sama	O
(Jama	O
Mapun,	O
Balangigi,	O
Bannaran)	O
et	O
les	O
Tausug,	O
parlant	O
autant	O
de	O
langues	O
apparentées	O
mais	O
distinctes.	O
Grande	O
maison	O
palawan.	O
Au	O
nord,	O
autour	O
de	O
Taytay	B-LOC
et	O
de	O
l’	O
archipel	B-LOC
de	I-LOC
Cuyo	I-LOC
,	O
une	O
population	O
peu	O
à	O
peu	O
christianisée	O
depuis	O
le	O
xvii	O
e	O
siècle	O
est	O
devenue	O
majoritaire	O
sur	O
la	O
grande	O
île	O
:	O
les	O
Palaweños,	O
qui	O
parlent	O
le	O
cuyunon.	O
Dans	O
la	O
capitale	O
de	O
la	O
province	O
et	O
les	O
principales	O
bourgades,	O
des	O
marchands	O
chinois	O
se	O
sont	O
installés	O
depuis	O
le	O
début	O
du	O
xx	O
e	O
siècle.	O
Et	O
depuis	O
les	O
années	O
1970-1980	O
des	O
paysans	O
et	O
des	O
pêcheurs	O
migrants	O
pauvres	O
des	O
