TOKEN	IOB
Peu	O
avant	O
sa	O
capture	O
par	O
la	O
Gestapo	O
à	O
Varsovie	B-LOC
,	O
le	O
7	O
mars	O
1944,	O
Emanuel	B-PER
Ringelblum	I-PER
envoya	O
une	O
lettre	O
à	O
un	O
ami	O
où	O
il	O
soulignait	O
l’importance	O
des	O
archives	O
clandestines,	O
portant	O
le	O
nom	O
de	O
code	O
«	O
Oneg	O
Shabbes	O
»,	O
qu’il	O
avait	O
enterrées	O
dans	O
le	O
ghetto	O
«	O
Oneg	O
Shabbes	O
»	O
(le	O
Plaisir	O
du	O
Sabbath),	O
le	O
nom	O
de	O
code	O
de	O
l’archive	O
secrète,	O
fut	O
utilisé	O
parce	O
que	O
l’équipe	O
avait	O
l’habitude	O
de	O
se	O
réunir	O
tous	O
les	O
samedis	O
après-midi.	O
.	O
Dans	O
cette	O
lettre,	O
Ringelblum	B-PER
,	O
qui	O
se	O
cachait	O
dans	O
un	O
abri,	O
dans	O
la	O
partie	O
aryenne	O
de	O
la	O
ville,	O
se	O
demandait	O
ce	O
qu’il	O
adviendrait	O
des	O
documents	O
enfouis	O
si	O
aucun	O
de	O
ceux	O
qui	O
avaient	O
été	O
impliqués	O
dans	O
ce	O
projet	O
ne	O
survivait	O
à	O
la	O
guerre	O
Adolph	O
Berman	O
Collection,	O
Archive	O
of	O
Kibbutz	O
Lohamei	O
Ha’getaot,	O
Dossier	O
358,	O
lettre	O
d’Emanuel	O
Ringelblum	O
à	O
Adolph	O
Berman,	O
1er	O
mars	O
1944.	O
.	O
Son	O
inquiétude	O
était	O
fondée.	O
De	O
la	O
soixantaine	O
de	O
collaborateurs	O
qu’il	O
entraîna	O
dans	O
cet	O
extraordinaire	O
projet	O
documentaire,	O
trois	O
seulement	O
ont	O
survécu	O
à	O
la	O
guerre	O
et,	O
sur	O
les	O
trois,	O
un	O
seulement,	O
Hersh	B-PER
Wasser	I-PER
,	O
savait	O
où	O
les	O
archives	O
avaient	O
été	O
enterrées.	O
La	O
recherche	O
commença	O
pendant	O
l’été	O
1946,	O
sous	O
les	O
ruines	O
de	O
ce	O
qui	O
avait	O
été	O
une	O
école	O
et	O
une	O
soupe	O
populaire,	O
au	O
68	O
de	O
la	O
rue	O
Nowlipki.	O
Se	O
repérant	O
à	O
l’aide	O
des	O
flèches	O
d’une	O
église	O
et	O
de	O
photos	O
d’avant-guerre,	O
les	O
topographes	O
et	O
les	O
ingénieurs	O
aidèrent	O
les	O
chercheurs	O
à	O
retrouver	O
l’emplacement	O
exact	O
;	O
et,	O
en	O
