TOKEN	IOB
Le	O
rapport	O
de	O
Néoptolème	B-PER
au	O
modèle	O
de	O
vertu	O
héroïque	O
incarné	O
par	O
son	O
père	O
Achille	O
est	O
problématisé	O
tout	O
au	O
long	O
du	O
Philoctète	O
de	O
Sophocle,	O
jusqu’au	O
moment	O
où	O
Philoctète	O
affirme,	O
une	O
fois	O
pour	O
toutes	O
:	O
τὴν	O
φύσιν	O
δ'	O
ἔδειξας,	O
que	O
l’on	O
peut	O
traduire	O
provisoirement	O
par	O
«	O
tu	O
as	O
montré	O
ton	O
hérédité	O
morale	O
»	O
–	O
celle	O
d’Achille,	O
bien	O
entendu	O
Nous	O
ne	O
traduirons	O
pas	O
le	O
mot	O
φύσις	O
dans	O
la	O
suite	O
de	O
ce	O
texte.	O
Un	O
tel	O
choix	O
nous	O
évitera	O
d’estomper	O
les	O
contours	O
de	O
la	O
riche	O
polysémie	O
de	O
ce	O
mot	O
par	O
la	O
superposition	O
forcée	O
d’un	O
équivalent	O
moderne.	O
.	O
Il	O
s’agira	O
ici	O
d’explorer	O
cet	O
acte	O
de	O
validation	O
de	O
l’identité	O
filiale	O
de	O
Néoptolème	B-PER
accompli	O
par	O
Philoctète,	O
notamment	O
à	O
travers	O
l’étude	O
des	O
modèles	O
culturels	O
qu’il	O
implique.	O
D’abord,	O
nous	O
situerons	O
la	O
séquence	O
qui	O
nous	O
intéresse	O
dans	O
le	O
développement	O
du	O
drame	O
et	O
par	O
rapport	O
aux	O
thèmes	O
qui	O
en	O
modèlent	O
la	O
structure,	O
en	O
particulier	O
le	O
thème	O
du	O
lien	O
entre	O
mots	O
et	O
actes,	O
et	O
celui	O
de	O
la	O
relation	O
de	O
Néoptolème	B-PER
au	O
modèle	O
achiléen.	O
Ensuite,	O
nous	O
analyserons	O
la	O
manière	O
dont	O
le	O
mot	O
φύσις	O
est	O
employé	O
dans	O
la	O
construction	O
de	O
l’opposition	O
entre	O
l’héritage	O
paternel	O
de	O
Néoptolème	B-PER
et	O
les	O
enseignements	O
qu’il	O
reçoit	O
d’Ulysse,	O
opposition	O
qui	O
s’inscrit	O
dans	O
la	O
lignée	O
d’un	O
modèle	O
culturel	O
–	O
dont	O
nous	O
retrouvons	O
les	O
traces	O
dans	O
plusieurs	O
textes	O
anciens	O
–	O
qui	O
présuppose	O
et	O
valorise	O
la	O
ressemblance	O
entre	O
pères	O
et	O
fils.	O
À	O
cette	O
fin,	O
nous	O
étudierons	O
trois	O
scènes	O
centrées	O
autour	O
du	O
débat	O
sur	O
la	O
φύσις	O
de	O
Néoptolème	B-PER
et	O
du	O
vol/restitution	O
de	O
l’arc,	O
qui	O
constituent	O
un	O
parcours	O
culminant	O
dans	O
les	O
vers	O
1308-1313.	O
En	O
outre,	O
nous	O
analyserons	O
les	O
unités	O
qui	O
composent	O
l’acte	O
de	O
validation	O
–	O
situation,	O
agents,	O
critères	O
–	O
et	O
mettrons	O
en	O
lumière	O
d’un	O
côté	O
le	O
lien	O
qu’il	O
entretient	O
avec	O
le	O
thème	O
récurrent	O
problématisant	O
le	O
rapport	O
entre	O
mots	O
et	O
actes	O
et,	O
de	O
l’autre,	O
le	O
fait	O
qu’il	O
est	O
bâti	O
à	O
partir	O
d’un	O
modèle	O
culturel	O
d’«	O
épreuves	O
de	O
filiation	O
juste	O
»	O
également	O
répandu	O
en	O
Grèce	B-LOC
ancienne.	O
Enfin,	O
nous	O
proposerons	O
une	O
analyse	O
sémantique	O
de	O
l’expression	O
τὴνφύσιν	O
δ'	O
ἔδειξας,	O
en	O
argumentant	O
qu’il	O
est	O
nécessaire	O
d’en	O
garder	O
la	O
polysémie,	O
sans	O
imposer	O
au	O
texte	O
une	O
partition	O
entre	O
monstration	O
et	O
démonstration,	O
en	O
d’autres	O
mots,	O
sans	O
réduire	O
le	O
verbe	O
δείκνυμι	O
à	O
la	O
seule	O
expression	O
métaphorique	O
d’un	O
procédé	O
d’ordre	O
intellectuel.	O
En	O
guise	O
d’introduction	O
:	O
au	O
cœur	O
du	O
drame	O
Le	O
Philoctète	O
de	O
Sophocle	O
met	O
en	O
scène	O
un	O
épisode	O
lié	O
à	O
la	O
fin	O
de	O
la	O
guerre	O
de	O
Troie	B-LOC
Pour	O
les	O
mises	O
en	O
discours	O
plus	O
anciennes,	O
épiques	O
et	O
tragiques,	O
des	O
faits	O
concernant	O
l’abandon	O
de	O
Philoctète	O
à	O
Lemnos	O
et	O
sa	O
réintégration	O
au	O
sein	O
de	O
l’armée	O
grecque,	O
voir	O
maintenant	O
Brillante	O
2009,	O
p.	O
60-67	O
(avec	O
références).	O
L’ouvrage	O
d’Andreas	O
Schnebele	O
(1988)	O
est	O
consacré	O
à	O
cette	O
question.	O
Néoptolème	O
ne	O
figurait	O
pas	O
parmi	O
les	O
héros	O
chargés	O
de	O
récupérer	O
Philoctète	O
dans	O
les	O
récits	O
antérieurs	O
à	O
Sophocle	O
que	O
nous	O
connaissons.	O
.	O
L’action	O
se	O
déroule	O
sur	O
l’île	O
de	O
Lemnos	B-LOC
,	O
imaginée	O
comme	O
un	O
lieu	O
désert.	O
Le	O
héros	O
grec	O
Philoctète	O
y	O
a	O
été	O
abandonné	O
lors	O
de	O
l’expédition	O
achéenne	O
qui	O
avait	O
ouvert	O
le	O
conflit,	O
dix	O
ans	O
auparavant.	O
Mordu	O
par	O
un	O
serpent	O
sur	O
l’île	O
de	O
Chrysé,	O
Philoctète	O
est	O
blessé.	O
Depuis,	O
sa	O
plaie	O
ne	O
se	O
referme	O
pas,	O
il	O
en	O
émane	O
une	O
odeur	O
terrible.	O
Les	O
Achéens	O
donc,	O
et	O
notamment	O
Ulysse,	O
l’abandonnent,	O
seul	O
et	O
malade,	O
à	O
Lemnos	B-LOC
.	O
Dix	O
ans	O
plus	O
tard,	O
la	O
situation	O
a	O
changé.	O
Le	O
devin	O
Hélénos	O
apprend	O
à	O
l’armée	O
grecque	O
que	O
jamais	O
les	O
Grecs	O
ne	O
pourront	O
conquérir	O
Troie	B-LOC
sans	O
Philoctète	O
et	O
son	O
arc,	O
l’arme	O
que	O
le	O
héros	O
a	O
reçue	O
des	O
mains	O
d’Héraclès.	O
Il	O
est	O
nécessaire	O
aussi	O
que	O
Néoptolème,	O
le	O
fils	O
d’Achille	O
(qui	O
est	O
mort	O
entre-temps),	O
participe	O
à	O
la	O
guerre.	O
Ulysse	O
et	O
Néoptolème	O
se	O
rendent	O
donc	O
à	O
Lemnos	B-LOC
,	O
pour	O
récupérer	O
Philoctète	O
et	O
son	O
arme.	O
Plus	O
précisément,	O
Ulysse	O
charge	O
Néoptolème	B-PER
de	O
gagner	O
la	O
confiance	O
de	O
Philoctète	O
et	O
de	O
lui	O
soustraire	O
l’arc	O
Ulysse,	O
au	O
début	O
du	O
drame,	O
ne	O
fait	O
pas	O
de	O
référence	O
directe	O
à	O
la	O
prophétie	O
;	O
elle	O
n’est	O
citée	O
explicitement	O
pour	O
la	O
première	O
fois	O
qu’aux	O
vers	O
603-619,	O
par	O
le	O
personnage	O
du	O
«	O
faux	O
marchand	O
»,	O
dans	O
des	O
circonstances	O
qui	O
jettent	O
une	O
ombre	O
de	O
soupçon	O
sur	O
sa	O
précision	O
et	O
véridicité	O
(Pucci	O
2003,	O
p.	O
232-234	O
avec	O
références).	O
Jusqu’à	O
la	O
conclusion	O
du	O
drame,	O
l’auditoire	O
ne	O
peut	O
pas	O
savoir	O
avec	O
précision	O
si	O
Hélénos	O
avait	O
enjoint	O
de	O
reconduire	O
à	O
Troie	O
Philoctète	O
et	O
son	O
arc	O
–	O
ce	O
qui	O
devait	O
aussi	O
être	O
volontaire	O
de	O
la	O
part	O
du	O
héros	O
!	O
(voir,	O
par	O
ex.	O
:	O
v.	O
610-613,	O
839-842,	O
1329-1335)	O
–	O
ou	O
tout	O
simplement	O
de	O
récupérer	O
l’arc	O
(qui	O
pourra	O
par	O
la	O
suite	O
être	O
manœuvré	O
par	O
un	O
autre	O
guerrier,	O
voir	O
par	O
ex.	O
les	O
vers	O
68-69,	O
77-78,	O
113-115,	O
1054-1060).	O
L’ambiguïté	O
est	O
voulue	O
(Easterling	O
1978,	O
p.	O
27-30)	O
:	O
des	O
morceaux	O
d’information	O
sont	O
dévoilés	O
à	O
différents	O
moments,	O
de	O
telle	O
sorte	O
que	O
les	O
spectateurs	O
doivent	O
toujours	O
supposer	O
ce	O
que	O
chaque	O
personnage	O
connaît	O
et	O
ce	O
qui	O
donc,	O
motive	O
ses	O
actions.	O
Le	O
vol	O
de	O
l’arc	O
était	O
en	O
tout	O
cas	O
rendu	O
indispensable.	O
Il	O
n’aurait	O
pas	O
été	O
possible	O
de	O
convaincre	O
Philoctète,	O
ni	O
de	O
le	O
vaincre	O
au	O
combat	O
:	O
le	O
priver	O
de	O
son	O
seul	O
moyen	O
de	O
survie	O
et	O
de	O
combat	O
aurait	O
obligé	O
le	O
héros	O
à	O
réintégrer	O
l’armée	O
achéenne	O
(Kamerbeek	O
1980).	O
La	O
question	O
de	O
la	O
prophétie,	O
qui	O
est	O
le	O
ressort	O
de	O
l’action	O
dramatique,	O
est	O
centrale	O
et	O
a	O
été	O
longuement	O
discutée	O
par	O
tous	O
les	O
interprètes	O
:	O
par	O
souci	O
de	O
brièveté,	O
nous	O
renvoyons	O
au	O
travail	O
de	O
Tamara	O
Visser	O
(1998),	O
entièrement	O
dédié	O
à	O
ce	O
problème,	O
et	O
à	O
la	O
bibliographie	O
qui	O
s’y	O
trouve	O
;	O
voir	O
aussi,	O
plus	O
récemment,	O
les	O
considérations	O
de	O
Carlo	O
Brillante	O
(2009,	O
p.	O
69-74).	O
.	O
Le	O
jeune	O
homme	O
est	O
d’abord	O
réticent	O
:	O
il	O
ne	O
veut	O
pas	O
accomplir	O
des	O
actions	O
qu’il	O
juge	O
déjà	O
douloureuses	O
à	O
entendre.	O
S’il	O
préférerait	O
agir,	O
se	O
battre	O
avec	O
Philoctète,	O
plutôt	O
que	O
le	O
séduire	O
par	O
des	O
discours,	O
il	O
accomplit	O
pourtant	O
le	O
plan	O
d’Ulysse.	O
Cependant,	O
la	O
turpitude	O
de	O
cet	O
acte,	O
qui	O
ne	O
correspond	O
pas	O
au	O
modèle	O
de	O
vertu	O
incarné	O
par	O
son	O
père	O
Achille,	O
le	O
pousse	O
finalement	O
à	O
affronter	O
directement	O
Ulysse	O
et	O
à	O
rendre	O
l’objet	O
volé	O
à	O
son	O
propriétaire.	O
Après	O
la	O
sortie	O
définitive	O
d’Ulysse	O
de	O
la	O
scène,	O
Achille	O
et	O
Néoptolème	B-PER
échangent	O
les	O
vers	O
suivants	O
(1308-1313)	O
:	O
Εἶἑν·	O
τὰ	O
μὲν	O
δὴ	O
τόξ'	O
ἔχεις,	O
κοὐκ	O
