TOKEN	IOB
Les	O
étagères	O
Lipman,	O
qui	O
équipaient	O
la	O
Kaiserliche	O
Universitäts-	O
und	O
Landesbibliothek	O
(ancêtre	O
de	O
la	O
BNU)	O
à	O
l’ouverture	O
de	O
son	O
nouveau	O
bâtiment	O
en	O
1895	O
(et	O
qui	O
seront	O
remontées	O
dans	O
deux	O
étages	O
de	O
magasins	O
dans	O
le	O
bâtiment	O
rénové	O
en	O
2014)	O
portent	O
le	O
nom	O
de	O
leur	O
inventeur,	O
Robert	O
Lipman.	O
Serrurier	O
de	O
profession,	O
celui-ci	O
développa	O
un	O
système	O
astucieux	O
:	O
il	O
imagina	O
une	O
étagère	O
en	O
métal	O
dont	O
les	O
planches	O
en	O
bois	O
avaient	O
toutes	O
une	O
longueur	O
d’un	O
mètre.	O
On	O
pouvait	O
fixer	O
ces	O
planches	O
aux	O
étagères	O
et	O
régler	O
facilement	O
leur	O
hauteur,	O
grâce	O
à	O
un	O
système	O
de	O
crans	O
dans	O
lesquels	O
les	O
fixations	O
des	O
planches	O
venaient	O
s’emboîter.	O
On	O
pouvait	O
aussi,	O
en	O
fonction	O
des	O
nouveaux	O
arrivages,	O
déplacer	O
la	O
planche	O
en	O
laissant	O
les	O
livres	O
en	O
place,	O
dans	O
leur	O
classement	O
original,	O
ce	O
qui	O
évitait	O
un	O
grand	O
travail	O
de	O
rangement	O
aux	O
magasiniers.	O
Des	O
ardoises	O
placées	O
sur	O
les	O
côtés	O
des	O
étagères	O
permettaient	O
d’inscrire	O
à	O
la	O
craie	O
les	O
cotes	O
des	O
livres	O
rangés	O
et	O
de	O
les	O
actualiser	O
au	O
fur	O
et	O
à	O
mesure	O
des	O
ajustements.	O
C’est	O
à	O
Strasbourg U-LOC
que	O
ce	O
système	O
a	O
été	O
utilisé	O
pour	O
la	O
première	O
fois.	O
Un	O
nouveau	O
procédé	O
a	O
même	O
été	O
mis	O
en	O
place	O
pour	O
la	O
bibliothèque	O
:	O
les	O
piliers	O
des	O
étagères	O
en	O
métal	O
traversaient	O
les	O
étages,	O
devenant	O
ainsi	O
des	O
éléments	O
statiques	O
à	O
part	O
entière,	O
participant	O
à	O
l’équilibre	O
de	O
l’ensemble	O
du	O
bâtiment.	O
Le	O
poids	O
des	O
livres	O
était	O
ainsi	O
réparti	O
sur	O
tous	O
les	O
étages.	O
L’inconvénient	O
majeur	O
de	O
cette	O
solution	O
est	O
que	O
les	O
étagères	O
ne	O
peuvent	O
ultérieurement	O
plus	O
jamais	O
être	O
bougées.	O
Le	O
magasin	O
est	O
en	O
quelque	O
sorte	O
figé.	O
Très	O
répandues	O
jusque	O
dans	O
les	O
années	O
cinquante,	O
les	O
étagères	O
Lipman	O
furent	O
ensuite	O
peu	O
à	O
peu	O
remplacées	O
par	O
le	O
système	O
des	O
compactus,	O
montés	O
sur	O
des	O
rails	O
et	O
collés	O
les	O
uns	O
aux	O
autres,	O
ce	O
qui	O
permet	O
un	O
gain	O
de	O
place	O
optimal.	O
Fleuron	O
de	O
l’industrie	O
alsacienne,	O
les	O
étagères	O
Lipman	O
étaient	O
commercialisées	O
par	O
l’entreprise	O
Wolf	O
Netter	O
&amp;	O
Jacobi.	O
Réputée	O
dans	O
son	O
domaine,	O
dotée	O
de	O
deux	O
sièges	O
à	O
Strasbourg U-LOC
et	O
à	O
Berlin U-LOC
,	O
elle	O
fut	O
chargée	O
d’aménager	O
le	O
pavillon	O
des	O
bibliothèques	O
de	O
la	O
grande	O
exposition	O
internationale	O
des	O
métiers	O
du	O
livre	O
et	O
des	O
métiers	O
graphiques	O
(Ausstellung	O
für	O
Buchgewerbe	O
und	O
Graphik,	O
aussi	O
nommée	O
BUGRA)	O
de	O
Leipzig U-LOC
en	O
1914.	O
Ce	O
choix	O
témoigne	O
de	O
la	O
place	O
importante	O
occupée	O
par	O
cette	O
entreprise	O
et	O
ses	O
produits,	O
considérés	O
comme	O
à	O
la	O
pointe	O
des	O
techniques	O
modernes	O
d’aménagement	O
des	O
bibliothèques.	O
Le	O
projet	O
de	O
l’exposition	O
était	O
très	O
ambitieux	O
:	O
il	O
ne	O
s’agissait	O
de	O
rien	O
moins	O
que	O
de	O
présenter	O
l’ensemble	O
des	O
arts	O
et	O
métiers	O
en	O
lien	O
avec	O
le	O
livre	O
et	O
le	O
graphisme,	O
aussi	O
bien	O
dans	O
leur	O
développement	O
historique	O
que	O
dans	O
leurs	O
développements	O
techniques	O
et	O
intellectuels	O
actuels.	O
Le	O
projet	O
du	O
pavillon	O
des	O
bibliothèques	O
n’était	O
pas	O
moins	O
universel	O
puisqu’il	O
avait	O
pour	O
but	O
de	O
réaliser	O
un	O
panorama	O
complet	O
du	O
monde	O
des	O
bibliothèques,	O
à	O
la	O
fois	O
pour	O
le	O
grand	O
public	O
et	O
pour	O
le	O
public	O
spécialisé.	O
Le	O
directeur	O
de	O
la	O
Kaiserliche	O
Universitäts	O
und	O
Landesbibliothek,	O
le	O
Dr.	O
Wolfram,	O
faisait	O
partie	O
du	O
comité	O
d’organisation	O
de	O
la	O
section	O
consacrée	O
aux	O
bibliothèques.	O
Tous	O
les	O
aspects	O
du	O
travail	O
devaient	O
être	O
abordés	O
et	O
la	O
liste	O
initiale	O
conçue	O
par	O
le	O
comité	O
est	O
impressionnante	O
par	O
la	O
diversité	O
et	O
le	O
degré	O
de	O
détail	O
des	O
éléments	O
présentés.	O
Il	O
s’agissait	O
en	O
effet	O
de	O
permettre	O
au	O
visiteur	O
d’appréhender	O
un	O
univers	O
à	O
la	O
fois	O
en	O
gros	O
(plans,	O
vues	O
et	O
photographies	O
des	O
bibliothèques,	O
reconstitution	O
d’une	O
bibliothèque	O
miniature)	O
mais	O
aussi	O
de	O
le	O
comprendre	O
dans	O
son	O
fonctionnement	O
interne	O
(aménagement	O
des	O
salles	O
de	O
lecture	O
et	O
des	O
banques	O
de	O
prêt,	O
meubles	O
de	O
stockage	O
pour	O
les	O
journaux	O
et	O
les	O
cartes,	O
ascenseurs,	O
chariots	O
à	O
livres,	O
matériel	O
de	O
dépoussiérage,	O
aspirateurs).	O
Tout	O
ce	O
qui	O
était	O
alors	O
utile	O
au	O
travail	O
en	O
bibliothèque	O
était	O
exposé	O
:	O
étiquettes	O
et	O
présentation	O
des	O
livres	O
en	O
libre	O
accès,	O
cartes	O
de	O
lecteurs,	O
réservations,	O
prêt	O
entre	O
bibliothèques,	O
retards...	O
Le	O
cœur	O
du	O
travail	O
des	O
bibliothécaires	O
était	O
aussi	O
présenté	O
(bibliographie,	O
acquisition	O
des	O
livres,	O
relations	O
avec	O
les	O
libraires,	O
achats,	O
dons,	O
échanges	O
et	O
dépôt	O
légal,	O
journaux	O
et	O
collections	O
automatiques,	O
réclamations	O
et	O
suggestions,	O
catalogues	O
sous	O
forme	O
papier,	O
sur	O
fiches	O
ou	O
en	O
volumes).	O
On	O
décida	O
même	O
de	O
montrer	O
au	O
