TOKEN	IOB
Le	O
dernier	O
texte	O
de	O
Mauss,	O
Une	O
catégorie	O
de	O
l’esprit	O
humain	O
:	O
la	O
notion	O
de	O
personne,	O
ou	O
l’invention	O
de	O
la	O
personne	O
à	O
Rome	O
Le	O
terme	O
latin	O
persona	O
est	O
souvent	O
placé	O
à	O
l’origine	O
de	O
la	O
notion	O
moderne	O
et	O
occidentale	O
de	O
personne	O
comme	O
si	O
l’étymologie	O
imposait	O
cette	O
préhistoire	O
Par	O
exemple	O
:	O
Nédoncelle	O
1948	O
;	O
Meyerson	O
1973	O
;	O
Housset	O
2007	O
;	O
Ildefonse	O
2009.	O
.	O
La	O
plus	O
connue	O
de	O
ces	O
reconstructions	O
est	O
le	O
texte	O
de	O
Marcel	O
Mauss	O
Une	O
catégorie	O
de	O
l’esprit	O
humain	O
:	O
la	O
notion	O
de	O
personne,	O
celle	O
de	O
“moi”	O
»,	O
article	O
originalement	O
publié	O
en	O
1938	O
dans	O
Journal	O
of	O
the	O
Royal	O
Anthropological	O
Institute,	O
vol.	O
68	O
Repris	O
dans	O
Sociologie	O
et	O
Anthropologie,	O
Paris,	O
1970,	O
p.	O
333-362.	O
Le	O
texte	O
est	O
accessible	O
en	O
ligne	O
à	O
l’adresse	O
:	O
http://classiques.uqac.ca/classiques/mauss_marcel/mauss_marcel.html	O
;	O
Nous	O
nous	O
référerons	O
à	O
la	O
pagination	O
de	O
la	O
publication	O
en	O
ligne.	O
.	O
L’essai	O
de	O
Mauss U-PER
prétend	O
décrire	O
la	O
généalogie	O
occidentale	O
de	O
la	O
conscience	O
individuelle,	O
d’un	O
Moi	O
personnel	O
et	O
unique,	O
irréductible	O
à	O
un	O
statut	O
ou	O
à	O
l’appartenance	O
à	O
un	O
groupe,	O
signifié	O
par	O
le	O
terme	O
français	O
«	O
personne	O
».	O
Forme	O
supérieure	O
de	O
civilisation,	O
cette	O
invention	O
aurait	O
été	O
initiée	O
par	O
Rome	O
et	O
se	O
serait	O
accomplie	O
dans	O
la	O
modernité	O
