TOKEN	IOB
Avec	O
les	O
progrès	O
de	O
la	O
foi,	O
l’erreur	O
vaincue	O
s’effondre.	O
Rome U-LOC
tout	O
entière,	O
où	O
il	O
n’est	O
plus	O
de	O
place	O
pour	O
le	O
crime	O
et	O
pour	O
le	O
meurtre,	O
donne	O
ses	O
suffrages	O
au	O
nom	O
sacré	O
du	O
Christ.	O
Elle	O
se	O
moque	O
des	O
inventions	O
de	O
Numa	O
ou	O
des	O
oracles	O
de	O
la	O
Sybille	O
;	O
la	O
foule	O
répond	O
joyeusement	O
«	O
Amen	O
»	O
avec	O
les	O
saints	O
pasteurs,	O
dans	O
les	O
nombreuses	O
bergeries	O
du	O
royaume	O
de	O
Dieu.	O
Une	O
sainte	O
clameur	O
de	O
louanges	O
au	O
Dieu	O
éternel	O
frappe	O
la	O
voûte	O
du	O
ciel	O
;	O
les	O
temples	O
du	O
Capitole	O
chancellent,	O
frappés	O
à	O
la	O
cime.	O
Dans	O
ces	O
temples	O
désertés,	O
les	O
répugnantes	O
idoles	O
tremblent,	O
frappées	O
au	O
cœur	O
par	O
les	O
pieuses	O
clameurs,	O
renversées	O
par	O
le	O
nom	O
du	O
Christ	O
;	O
les	O
démons	O
terrorisés	O
quittent	O
les	O
sanctuaires	O
abandonnés	O
Paulin	O
de	O
Nole,	O
Poèmes,	O
19,	O
61-71	O
:	O
Crebrescente	O
fide	O
uictus	O
dilabitur	O
error,	O
/	O
et	O
prope	O
iam	O
nullis	O
sceleri	O
mortique	O
relictis	O
/	O
tota	O
pio	O
Christi	O
censetur	O
nomine	O
Roma,	O
/	O
inridens	O
figmenta	O
Numae	O
uel	O
fata	O
Sibyllae.	O
/	O
Cumque	O
sacris	O
pia	O
turba	O
refert	O
pastoribus	O
Amen	O
/	O
per	O
numerosa	O
dei	O
regnantis	O
ouilia	O
laetum,	O
/	O
laudibus	O
aeterni	O
domini	O
ferit	O
aethera	O
clamor	O
/	O
sanctus	O
et	O
incusso	O
Capitolia	O
culmine	O
nutant.	O
/	O
In	O
uacuis	O
simulacra	O
tremant	O
squalentia	O
templis	O
/	O
uocibus	O
icta	O
piis	O
inpulsaque	O
nomine	O
Christi.	O
/	O
Diffugiunt	O
trepidi	O
desertas	O
daemones	O
aedes.	O
.	O
Du	O
faîte	O
du	O
palais	O
[du	O
Palatin]	O
on	O
domine	O
les	O
Rostres,	O
et	O
son	O
entourage	O
de	O
temples	O
est	O
comme	O
un	O
cercle	O
de	O
dieux	O
en	O
faction	O
pour	O
veiller	O
sur	O
lui.	O
Au-dessous	O
du	O
sanctuaire	O
du	O
Jupiter	O
Tonnant,	O
l’œil	O
ravi	O
voit	O
les	O
Géants	O
suspendus	O
à	O
la	O
Roche	O
Tarpéienne,	O
les	O
portes	O
ciselées	O
du	O
Capitole,	O
les	O
étendards	O
qui	O
flottent	O
jusqu’aux	O
nues,	O
les	O
temples	O
pressés	O
qui	O
remplissent	O
l’espace,	O
le	O
sol	O
planté	O
de	O
colonnes	O
qu’ornent	O
en	O
grand	O
nombre	O
des	O
poupes	O
de	O
navires,	O
les	O
édifices	O
étagés	O
sur	O
les	O
collines	O
où	O
la	O
main	O
de	O
l’homme	O
a	O
encore	O
ajouté	O
à	O
la	O
nature,	O
une	O
quantité	O
enfin	O
d’arcs	O
de	O
triomphe	O
fastueux	O
et	O
ornés	O
de	O
dépouilles	O
!	O
Claudien,	O
Panégyrique	O
sur	O
le	O
sixième	O
consulat	O
d’Honorius,	O
42-51	O
:	O
Attollens	O
apicem	O
subiectis	O
regia	O
rostris	O
/	O
tot	O
circum	O
delubra	O
uidet	O
tantisque	O
deorum	O
/	O
cingitur	O
excubiis.	O
iuuat	O
infra	O
tecta	O
Tonantis	O
/	O
Cernere	O
Tarpeia	O
pendentes	O
rupe	O
Gigantas	O
/	O
caelatasque	O
fores	O
mediisque	O
uolantia	O
signa	O
/	O
nubibus	O
et	O
densum	O
stipantibus	O
aethera	O
templis	O
/	O
aeraque	O
uestitis	O
numerosa	O
puppe	O
columnis	O
/	O
consita	O
subnixasque	O
iugis	O
immanibus	O
aedes,	O
/	O
naturam	O
cumulante	O
manu,	O
spoliisque	O
micantes	O
/	O
Innumeros	O
arcus.	O
Contrairement	O
à	O
ce	O
qu’affirme	O
Pierre	O
Gros	O
(1996,	O
p.	O
160),	O
il	O
ne	O
nous	O
semble	O
pas	O
que	O
le	O
tecta	O
Tonantis	O
fasse	O
référence	O
au	O
temple	O
de	O
Jupiter	O
Tonant	O
consacré	O
par	O
Auguste	O
en	O
22	O
a.C.	O
Une	O
lecture	O
attentive	O
de	O
la	O
description	O
nous	O
mène	O
plutôt	O
à	O
considérer	O
ici	O
Tonans	O
comme	O
une	O
autre	O
dénomination	O
de	O
Iuppiter	O
Optimus	O
Maximus,	O
à	O
l’instar	O
de	O
son	O
usage	O
dans	O
un	O
passage	O
du	O
Contra	O
Paganos	O
(1-2),	O
poème	O
tardif	O
antipaïen,	O
dans	O
lequel	O
l’auteur	O
anonyme	O
décrie	O
ces	O
notables	O
qui	O
prient	O
les	O
Capitolia	O
celsa	O
Tonantis.	O
Les	O
images	O
mentales	O
de	O
la	O
ville	O
de	O
Rome U-LOC
qui	O
se	O
forment	O
dans	O
notre	O
esprit,	O
à	O
la	O
lecture	O
de	O
ces	O
deux	O
textes,	O
s’avèrent	O
pour	O
le	O
moins	O
contrastées.	O
Et	O
pourtant,	O
ces	O
derniers	O
sont	O
contemporains	O
et	O
s’adressent	O
tous	O
les	O
deux	O
à	O
une	O
audience	O
ou	O
à	O
un	O
destinataire	O
chrétien.	O
Le	O
premier	O
est	O
extrait	O
d’un	O
poème	O
composé	O
en	O
405	O
à	O
l’occasion	O
du	O
natalis	O
de	O
S.	O
Félix	O
de	O
Nole	O
par	O
Paulin,	O
fervent	O
croyant	O
qui,	O
à	O
la	O
manière	O
d’un	O
moine,	O
consacrait	O
désormais	O
sa	O
vie	O
au	O
Christ	O
Sur	O
le	O
personnage	O
et	O
ses	O
œuvres,	O
Trout	O
1999.	O
.	O
Le	O
second	O
provient	O
d’un	O
éloge	O
de	O
Claudien U-PER
,	O
poète	O
de	O
cour	O
à	O
l’orientation	O
religieuse	O
traditionnelle,	O
rédigé	O
à	O
l’adresse	O
de	O
l’empereur	O
chrétien	O
Honorius U-PER
,	O
pour	O
son	O
sixième	O
consulat	O
en	O
404,	O
et	O
lu	O
à	O
Rome U-LOC
devant	O
celui-ci	O
et	O
un	O
