TOKEN	IOB
Le	O
Muséum,	O
c’est	O
à	O
la	O
fois	O
un	O
lieu	O
où	O
se	O
rassemblent	O
des	O
objets	O
et	O
un	O
espace	O
où	O
ils	O
se	O
distribuent.	O
Pour	O
décrire	O
le	O
Cabinet	O
du	O
roi	O
à	O
partir	O
de	O
ces	O
deux	O
termes,	O
on	O
pourrait	O
partir	O
d’un	O
mal	O
de	O
tête,	O
celui	O
éprouvé	O
par	O
Louis-Sébastien B-PER
Mercier L-PER
lors	O
d’une	O
visite,	O
à	O
la	O
fin	O
de	O
l’Ancien	O
Régime.	O
Il	O
le	O
décrit	O
longuement	O
dans	O
son	O
Tableau	O
de	O
Paris	O
Mercier,	O
Tableau	O
de	O
Paris,	O
p.	O
1415-1416.	O
:	O
On	O
y	O
voit	O
le	O
squelette	O
de	O
l’éléphant	O
confondu	O
avec	O
celui	O
de	O
la	O
baleine	O
;	O
et	O
dans	O
un	O
frêle	O
bâtiment,	O
on	O
retrouve	O
ce	O
qui	O
est	O
épars	O
dans	O
les	O
quatre	O
coins	O
du	O
monde	O
;	O
mais	O
quand	O
je	O
sors	O
de	O
ce	O
magnifique	O
cabinet,	O
j’ai	O
toujours	O
mal	O
à	O
la	O
tête	O
;	O
pourquoi	O
?	O
C’est	O
que	O
la	O
multitude	O
des	O
objets	O
a	O
fatigué	O
mon	O
attention.	O
Rien	O
ne	O
me	O
paraît	O
plus	O
désordonné	O
que	O
cet	O
assemblage	O
savant,	O
fait	O
pour	O
être	O
dispersé	O
sur	O
la	O
surface	O
de	O
la	O
terre.	O
Toutes	O
ces	O
différentes	O
espèces	O
qui	O
se	O
touchent	O
et	O
qui	O
ne	O
sont	O
pas	O
créées	O
pour	O
se	O
toucher,	O
réunies	O
en	O
un	O
seul	O
point,	O
forment	O
une	O
dissonance	O
en	O
mon	O
cerveau,	O
et	O
me	O
donnent	O
une	O
sensation	O
pénible.	O
Cet	O
ordre	O
symétrique,	O
ouvrage	O
momentané	O
de	O
la	O
main	O
de	O
l’homme,	O
a	O
quelque	O
chose	O
de	O
factice	O
et	O
de	O
bizarre	O
qui	O
blesse	O
mon	O
sens	O
moral	O
et	O
intime.	O
Ce	O
n’est	O
point	O
là	O
l’ordre	O
dont	O
j’ai	O
l’image	O
en	O
moi.	O
Enfin,	O
rien	O
ne	O
trouble	O
dans	O
ma	O
tête	O
et	O
ne	O
bouleverse	O
plus	O
mon	O
instinct	O
que	O
l’aspect	O
des	O
curiosités	O
entassées	O
au	O
Cabinet	O
du	O
roi.	O
Ces	O
animaux	O
qui	O
peuplent	O
les	O
quatre	O
éléments,	O
non,	O
je	O
n’aime	O
point	O
à	O
les	O
voir	O
rapprochés	O
et	O
confondus.	O
Les	O
quadrupèdes,	O
les	O
reptiles	O
et	O
les	O
poissons,	O
je	O
ne	O
puis	O
les	O
considérer	O
côte	O
à	O
côte	O
dans	O
la	O
même	O
salle	O
;	O
ainsi	O
que	O
je	O
ne	O
puis	O
apprendre	O
tout	O
à	O
la	O
fois	O
la	O
botanique,	O
la	O
chimie,	O
l’anatomie,	O
l’histoire	O
naturelle,	O
que	O
quatre	O
professeurs	O
y	O
enseignent,	O
dans	O
quatre	O
cours	O
annuels	O
;	O
la	O
science	O
m’écrase.	O
J’y	O
vois	O
trop	O
ma	O
faiblesse	O
et	O
mon	O
impuissance	O
:	O
sortons,	O
car	O
on	O
me	O
propose	O
encore	O
de	O
voir	O
un	O
amas	O
de	O
pierres	O
précieuses	O
;	O
et	O
comme	O
on	O
se	O
dispute	O
ces	O
brillants,	O
et	O
que	O
l’on	O
commet	O
des	O
