TOKEN	IOB
I.	O
Les	O
corrections	O
de	O
manuscrits	O
dans	O
la	O
transmission	O
des	O
textes	O
sanskrits	O
La	O
littérature	O
sanskrite	O
aborde	O
rarement	O
l’épisode	O
de	O
la	O
transmission	O
du	O
texte	O
qu’est	O
son	O
écriture	O
et	O
moins	O
encore	O
la	O
question	O
des	O
corrections	O
de	O
manuscrits.	O
La	O
philologie	O
moderne	O
n’ignore	O
pas	O
le	O
phénomène	O
des	O
corrections,	O
mais	O
l’a	O
peu	O
étudié.	O
Cette	O
contribution	O
tentera	O
de	O
faire	O
progresser	O
l’étude	O
de	O
l’émendation	O
dans	O
la	O
transmission	O
manuscrite	O
sanskrite.	O
Elle	O
le	O
fera	O
à	O
partir	O
d’un	O
corpus	O
limité,	O
celui	O
que	O
forme	O
l’ensemble	O
des	O
manuscrits	O
sanskrits	O
philosophiques	O
du	O
fonds	O
Chandra B-PER
Shum I-PER
Shere L-PER
de	O
la	O
Bibliothèque	O
bodléienne	O
à	O
Oxford U-LOC
C’est	O
le	O
catalogage	O
de	O
ce	O
corpus	O
qui	O
a	O
conduit	O
à	O
analyser	O
d’assez	O
nombreux	O
exemples	O
d’émendations	O
:	O
cf.	O
Colas	O
et	O
Colas-Chauhan	O
(sous	O
presse).	O
Sur	O
le	O
fonds	O
Chandra	O
Shum	O
Shere,	O
cf.	O
Katz,	O
1984.	O
Ne	O
seront	O
mentionnées	O
ici	O
que	O
les	O
cotes	O
des	O
manuscrits,	O
sans	O
que	O
soit	O
rappelé	O
à	O
chaque	O
fois	O
le	O
nom	O
du	O
fonds.	O
.	O
La	O
plupart	O
des	O
manuscrits	O
de	O
ce	O
fonds	O
ont	O
été	O
copiés	O
entre	O
le	O
xv	O
e	O
et	O
le	O
xix	O
e	O
siècle.	O
Plusieurs	O
observations	O
préalables	O
s’imposent,	O
choses	O
connues,	O
voire	O
générales,	O
mais	O
dont	O
le	O
lien,	O
même	O
indirect,	O
avec	O
le	O
phénomène	O
des	O
corrections	O
est	O
essentiel,	O
parfois	O
causal.	O
Dans	O
l’	O
Inde U-LOC
traditionnelle	O
Les	O
traditions	O
islamiques,	O
richement	O
représentées	O
en	O
Inde	O
aussi,	O
ne	O
sont	O
pas	O
envisagées	O
ici.	O
,	O
l’écriture	O
même	O
ne	O
possédait	O
qu’une	O
importance	O
assez	O
faible	O
dans	O
la	O
transmission	O
des	O
textes,	O
en	O
comparaison	O
de	O
ce	O
qui	O
se	O
passait	O
dans	O
d’autres	O
sociétés.	O
Cette	O
remarque	O
nécessiterait	O
des	O
nuances,	O
que	O
l’on	O
ne	O
développera	O
pas	O
ici	O
Cf.	O
Colas	O
et	O
Gerschheimer,	O
2009,	O
p.	O
12-14.	O
,	O
mais	O
l’on	O
peut	O
dire	O
que	O
la	O
pensée	O
n’avait	O
pas	O
avec	O
l’écrit	O
le	O
rapport	O
dialectique	O
fondamental	O
qu’on	O
lui	O
connaît	O
en	O
Occident,	O
notamment	O
depuis	O
la	O
diffusion	O
de	O
l’imprimerie.	O
La	O
culture	O
classique	O
indienne	O
ne	O
connaissait	O
sans	O
doute	O
pas	O
le	O
brouilloṇ.	O
Prenons	O
un	O
seul	O
exemple.	O
Selon	O
la	O
Kāvyamīmāṃsā	O
(	O
ix	O
e-x	O
e	O
siècle),	O
l’autographe	O
d’auteur	O
ne	O
faisait	O
que	O
consigner	O
le	O
résultat	O
d’une	O
élaboration	O
intellectuelle	O
antérieure	O
:	O
le	O
poète	O
composait	O
son	O
œuvre	O
le	O
matin,	O
il	O
l’examinait	O
plus	O
tard	O
seul	O
ou	O
en	O
petit	O
comité	O
et	O
c’est	O
le	O
soir	O
qu’il	O
mettait	O
par	O
écrit	O
ce	O
qu’il	O
avait	O
«	O
composé	O
et	O
revu	O
dans	O
la	O
journée	O
Stchoupak	O
et	O
Renou,	O
1946,	O
p.	O
152-153.	O
».	O
Le	O
manuscrit	O
était	O
un	O
support	O
d’enregistrement	O
passif,	O
non	O
de	O
création	O
textuelle,	O
même	O
s’il	O
véhiculait	O
modifications,	O
interpolations	O
et	O
corrections.	O
On	O
est	O
loin	O
des	O
brouillons	O
de	O
Balzac U-PER
.	O
C’est	O
la	O
lecture	O
qui,	O
en	O
réalité,	O
importait.	O
Le	O
livre	O
formait	O
avant	O
tout	O
un	O
instrument	O
d’énonciation	O
du	O
texte	O
qu’il	O
recueillait,	O
si	O
l’on	O
excepte	O
les	O
exercices	O
d’écriture,	O
qui	O
consistaient	O
parfois	O
en	O
copie	O
de	O
manuscrits	O
entiers.	O
Certes,	O
des	O
milieux	O
religieux	O
pratiquaient	O
le	O
culte	O
du	O
livre.	O
Les	O
manuscrits	O
pouvaient	O
être	O
illustrés,	O
la	O
graphie	O
parfois	O
extrêmement	O
soignée.	O
Mais	O
ces	O
pratiques	O
restèrent,	O
dans	O
l’ensemble,	O
secondaires	O
Cf.	O
Colas,	O
2001,	O
p.	O
310-311.	O
.	O
La	O
lecture	O
peut	O
être	O
distinguée	O
de	O
la	O
récitation	O
;	O
cependant	O
le	O
vocabulaire	O
sanskrit	O
ne	O
sépare	O
pas	O
toujours	O
nettement	O
les	O
deux.	O
Le	O
terme	O
pāṭha	O
peut	O
désigner	O
plusieurs	O
faits	O
relatifs	O
au	O
texte	O
:	O
récitation,	O
lecture,	O
variantes.	O
Les	O
manuels	O
auxiliaires	O
védiques	O
comptent	O
onze	O
modes	O
de	O
récitation	O
(pāṭha),	O
dont	O
trois	O
«	O
de	O
base	O
»	O
et	O
huit	O
«	O
dérivés	O
».	O
Ils	O
distinguent,	O
par	O
exemple,	O
la	O
récitation	O
continue,	O
celle	O
qui,	O
levant	O
les	O
règles	O
euphoniques,	O
présente	O
le	O
texte	O
par	O
mots	O
isolés,	O
la	O
récitation	O
à	O
l’envers,	O
celle	O
qui	O
est	O
«	O
en	O
tresse	O
»	O
(mot	O
a	O
/	O
mot	O
b,	O
puis	O
b/a,	O
puis	O
a/b),	O
etc.	O
Cf.	O
l’introduction	O
et	O
les	O
textes	O
réunis	O
dans	O
Abhyankar	O
et	O
Devas-Thali,	O
1978	O
;	O
cf.	O
aussi	O
Janert,	O
1995,	O
p.	O
10-11.	O
.	O
Dans	O
la	O
littérature	O
classique	O
sanskrite	O
pāṭha	O
signifie	O
«	O
récitation	O
»,	O
mais	O
il	O
désigne	O
aussi	O
couramment	O
l’action	O
de	O
lire	O
un	O
texte	O
écrit.	O
Quant	O
à	O
la	O
notion	O
de	O
pāṭha	O
ou	O
pāṭhāntara	O
comme	O
variante	O
Cf.,	O
par	O
exemple,	O
Katre,	O
1954,	O
p.	O
42.	O
,	O
elle	O
ne	O
suppose	O
pas	O
nécessairement	O
l’intermédiaire	O
de	O
l’écrit,	O
car	O
c’est	O
le	O
texte	O
même	O
qui	O
importe,	O
non	O
son	O
écriture	O
:	O
la	O
variante	O
(une	O
syllabe,	O
un	O
mot	O
ou	O
un	O
groupe	O
linguistique	O
doté	O
de	O
sens)	O
peut	O
avoir	O
été	O
observée	O
dans	O
un	O
manuscrit,	O
mais	O
aussi	O
entendue	O
dans	O
une	O
récitation	O
ou	O
relevée	O
au	O
cours	O
d’un	O
débat	O
érudit.	O
Cependant,	O
certaines	O
éditions	O
critiques	O
modernes	O
à	O
l’indienne	O
désignent	O
systématiquement	O
du	O
terme	O
pāṭha	O
,	O
pāṭhāntara	O
(ou	O
encore	O
pāṭhabheda	O
)	O
des	O
variantes	O
qui	O
sont	O
exclusivement	O
manuscrites	O
Cf.,	O
par	O
exemple,	O
parmi	O
beaucoup	O
d’autres,	O
l’édition	O
de	O
la	O
Sū	O
ktimuktā	O
valî	O
par	O
Krishnamacharya,	O
1991,	O
passim.	O
.	O
La	O
racine	O
verbale	O
vac	O
employée	O
au	O
causatif	O
signifie	O
littéralement	O
«	O
faire	O
parler	O
»	O
un	O
écrit	O
Références	O
dans	O
Böhtlingk	O
et	O
Roth,	O
1871,	O
p.	O
622,	O
col.	O
A.	O
L’expression	O
se	O
retrouve,	O
par	O
exemple,	O
dans	O
le	O
Mudrārākṣasa	O
(p.	O
55-56),	O
où	O
l’on	O
«	O
fait	O
parler	O
»	O
un	O
message	O
écrit	O
(patraka).	O
.	O
Le	O
fonctionnement	O
même	O
des	O
écritures	O
indiennes	O
répond	O
d’ailleurs	O
à	O
ce	O
sens	O
littéral,	O
comme	O
nous	O
allons	O
bientôt	O
le	O
voir.	O
On	O
lisait	O
d’ordinaire	O
le	O
manuscrit	O
à	O
voix	O
haute,	O
mais	O
aussi	O
parfois	O
en	O
marmonnant,	O
voire	O
en	O
silence.	O
L’	O
Inde U-LOC
ancienne	O
connut	O
vraisemblablement	O
la	O
lecture	O
silencieuse	O
sans	O
que	O
l’on	O
puisse	O
dater	O
avec	O
précision	O
l’émergence	O
de	O
cette	O
pratique.	O
Selon	O
la	O
Patrakaumudī	O
(verset	O
34),	O
manuel	O
épistolaire	O
de	O
date	O
inconnue	O
mais	O
sans	O
doute	O
assez	O
tardif,	O
le	O
scribe	O
royal	O
doit	O
lire	O
(paṭh)	O
deux	O
fois	O
«	O
mentalement	O
»	O
(manasā)	O
la	O
lettre	O
adressée	O
à	O
son	O
maître	O
avant	O
de	O
le	O
faire	O
à	O
haute	O
voix	O
devant	O
l’assemblée	O
royale	O
Banerji,	O
1960,	O
p.	O
13.	O
Comparer	O
avec	O
la	O
situation	O
dans	O
la	O
Grèce	O
du	O
ve	O
siècle	O
avant	O
notre	O
ère	O
(Svenbro,	O
2001,	O
p.	O
