TOKEN	IOB
Parmi	O
les	O
gestes	O
dans	O
lesquels	O
s’incarne	O
la	O
fabrication	O
des	O
savoirs,	O
la	O
représentation	O
des	O
objets	O
sur	O
lesquels	O
travaille	O
l’esprit	O
constitue	O
un	O
aspect	O
décisif.	O
L’épistémologie,	O
l’histoire	O
des	O
sciences	O
et	O
l’anthropologie	O
des	O
savoirs	O
ont	O
montré	O
en	O
quoi	O
il	O
est	O
nécessaire,	O
pour	O
rendre	O
compte	O
des	O
opérations	O
diverses	O
qui	O
composent	O
et	O
articulent	O
les	O
activités	O
cognitives,	O
de	O
dégager	O
les	O
moments	O
constructifs	O
au	O
sein	O
desquels	O
ces	O
activités	O
se	O
donnent	O
concrètement	O
un	O
sens	O
en	O
installant	O
pour	O
ainsi	O
dire	O
face	O
à	O
elles	O
un	O
monde	O
de	O
référence	O
sur	O
lequel	O
et	O
à	O
propos	O
duquel,	O
précisément,	O
elles	O
opèrent.	O
Il	O
semble	O
indispensable	O
de	O
reconnaître	O
dans	O
les	O
activités	O
de	O
connaissance,	O
outre	O
leurs	O
aspects	O
proprement	O
formels,	O
l’existence	O
d’un	O
niveau	O
sémantique,	O
qui	O
conduit	O
à	O
les	O
envisager	O
dans	O
la	O
perspective	O
d’une	O
dynamique	O
des	O
problématisations	O
ouvertes,	O
et	O
pas	O
seulement	O
dans	O
celle	O
d’une	O
normativité	O
syntaxique.	O
Pour	O
ne	O
prendre	O
qu’un	O
exemple,	O
la	O
théorie	O
des	O
modèles	O
a	O
établi	O
en	O
quoi	O
ceux-ci	O
ne	O
doivent	O
pas	O
être	O
compris	O
comme	O
de	O
simples	O
illustrations,	O
commodes	O
pour	O
la	O
pensée	O
mais	O
qui	O
resteraient	O
extérieurs	O
au	O
mouvement	O
propre	O
de	O
l’intelligence	O
savante,	O
ni	O
réduits	O
à	O
n’être	O
que	O
des	O
cadres	O
formels	O
pour	O
les	O
opérations	O
de	O
calcul.	O
Le	O
modèle	O
se	O
définit	O
dans	O
le	O
rapport	O
constructif	O
des	O
opérations	O
humaines	O
et	O
des	O
objets,	O
il	O
possède	O
une	O
fonction	O
schématisante.	O
La	O
valeur	O
cognitive	O
du	O
modèle	O
réside	O
dans	O
sa	O
dimension	O
prospective,	O
qui	O
lui	O
permet	O
d’articuler,	O
dans	O
une	O
progression	O
sémantique,	O
des	O
domaines	O
encore	O
informes.	O
Dans	O
cette	O
perspective,	O
on	O
doit	O
accorder	O
qu’une	O
partie	O
importante	O
des	O
activités	O
de	O
connaissance,	O
au	O
moins	O
dans	O
leurs	O
phases	O
exploratoires,	O
consiste	O
à	O
réfléchir	O
sur	O
ce	O
que	O
peut	O
être	O
une	O
«	O
bonne	O
»	O
représentation,	O
ou,	O
plus	O
exactement,	O
un	O
bon	O
«	O
point	O
de	O
vue	O
»,	O
permettant	O
de	O
rendre	O
compte	O
des	O
propriétés	O
observées	O
et	O
d’organiser	O
les	O
données	O
accumulées.	O
Or,	O
parmi	O
les	O
instruments	O
permettant	O
la	O
représentation	O
des	O
objets,	O
il	O
y	O
a	O
les	O
procédures	O
de	O
visualisation,	O
plus	O
précisément	O
les	O
diverses	O
opérations	O
mises	O
en	O
œuvre	O
pour	O
donner	O
une	O
image	O
concrète	O
de	O
l’objet	O
étudié,	O
pour	O
le	O
faire	O
voir,	O
et	O
ainsi	O
donner	O
un	O
sens	O
au	O
travail	O
de	O
l’esprit	O
savant.	O
Dans	O
sa	O
contribution	O
consacrée	O
à	O
l’imagerie	O
médicale	O
de	O
la	O
première	O
modernité,	O
Rafael B-PER
Mandressi L-PER
rappelle	O
le	O
rôle	O
cognitif	O
central	O
des	O
images	O
anatomiques,	O
considérées	O
comme	O
supérieures	O
au	O
discours,	O
dans	O
une	O
épistémologie	O
organisée	O
autour	O
des	O
exigences	O
conjointes	O
de	O
la	O
mise	O
en	O
évidence	O
visuelle	O
et	O
de	O
l’autopsie.	O
Les	O
historiens	O
des	O
sciences	O
et	O
les	O
anthropologues	O
ont	O
attiré	O
l’attention	O
sur	O
le	O
rôle	O
constitutif	O
des	O
gestes	O
d’écriture	O
(au	O
sens	O
large	O
:	O
de	O
la	O
rhétorique	O
du	O
texte	O
à	O
la	O
mise	O
en	O
image)	O
dans	O
la	O
fabrication	O
des	O
faits.	O
Les	O
pratiques	O
graphiques	O
contribuent	O
à	O
établir	O
la	O
réalité	O
du	O
fait	O
scientifique	O
en	O
le	O
présentant	O
au	O
regard	O
sous	O
l’apparence	O
d’une	O
entité	O
stabilisée,	O
communicable	O
en	O
l’état,	O
et	O
pouvant	O
devenir	O
le	O
support	O
de	O
nouveaux	O
discours.	O
Autrement	O
dit	O
:	O
si	O
le	O
fait	O
scientifique	O
est	O
d’abord	O
écrit	O
et	O
dessiné	O
(en	O
un	O
mot	O
:	O
décrit),	O
cela	O
revient	O
à	O
dire	O
que	O
sa	O
réalité	O
de	O
fait	O
(réalité	O
scientifique,	O
mais	O
aussi	O
culturelle	O
et	O
sociale)	O
ne	O
préexiste	O
pas	O
à	O
l’acte	O
de	O
visualisation	O
que	O
rendent	O
possible	O
les	O
opérations	O
graphiques.	O
Les	O
contributions	O
qui	O
composent	O
cette	O
section	O
présentent	O
un	O
parcours	O
diversifié,	O
aussi	O
bien	O
sur	O
le	O
plan	O
chronologique	O
et	O
géographique	O
que	O
sur	O
celui	O
des	O
savoirs	O
concernés,	O
dans	O
l’espace	O
des	O
opérations	O
de	O
visualisation	O
et	O
des	O
genres	O
d’images	O
dont	O
ces	O
opérations	O
sont	O
à	O
la	O
fois	O
les	O
points	O
d’aboutissement	O
et	O
les	O
supports.	O
Malgré	O
l’hétérogénéité	O
des	O
domaines	O
concernés	O
(astronomie,	O
sélénographie,	O
médecine,	O
architecture),	O
ces	O
