TOKEN	IOB
La	O
présente	O
contribution	O
a	O
pour	O
objet	O
les	O
représentations	O
non	O
linéaires	O
de	O
textes	O
qui,	O
en	O
Chine U-LOC
,	O
ont	O
été	O
une	O
composante	O
importante	O
des	O
pratiques	O
savantes	O
entre	O
le	O
xii	O
e	O
et	O
le	O
xiv	O
e	O
siècle.	O
Nous	O
qualifions	O
ces	O
représentations	O
de	O
diagrammes,	O
car	O
la	O
notion	O
chinoise	O
de	O
tu	O
圖	O
constitue	O
une	O
sorte	O
d’	O
umbrella	O
term	O
,	O
sous	O
lequel	O
se	O
trouvent	O
inclus	O
des	O
schémas,	O
des	O
tableaux,	O
des	O
plans,	O
des	O
cartes	O
topographiques,	O
aussi	O
bien	O
que	O
des	O
figures,	O
dans	O
le	O
sens	O
le	O
plus	O
vaste	O
du	O
mot	O
Voir	O
Bray,	O
2007.	O
Au	O
sujet	O
de	O
la	O
définition	O
du	O
tu,	O
Frances	O
Bray	O
se	O
réfère	O
particulièrement	O
à	O
certains	O
de	O
mes	O
travaux	O
:	O
Lackner,	O
1990,	O
1992,	O
2000.	O
Elle	O
évoque	O
également	O
Reiter,	O
1990.	O
.	O
Afin	O
de	O
traiter	O
ce	O
sujet,	O
il	O
faut	O
également,	O
pour	O
des	O
raisons	O
de	O
méthode,	O
évoquer	O
les	O
diagrammes	O
cosmologiques,	O
qui	O
sont	O
certes	O
composés	O
différemment	O
de	O
ceux	O
consacrés	O
à	O
l’analyse	O
textuelle,	O
mais	O
qui	O
présentent	O
de	O
nombreux	O
liens	O
avec	O
la	O
philologie	O
chinoise	O
de	O
l’époque.	O
Diagrammatologie	O
Ces	O
dernières	O
années,	O
la	O
problématique	O
du	O
diagramme	O
en	O
tant	O
que	O
médium	O
situé	O
à	O
mi-chemin	O
entre	O
le	O
texte	O
et	O
l’image	O
a	O
reçu	O
une	O
attention	O
accrue	O
de	O
la	O
part	O
de	O
différentes	O
disciplines	O
La	O
littérature	O
récente	O
est	O
devenue	O
extrêmement	O
vaste.	O
On	O
se	O
contentera	O
de	O
mentionner	O
ici	O
Stjernfeldt,	O
2007	O
;	O
Ernt	O
et	O
Globisch,	O
2007,	O
qui	O
contient	O
une	O
fructueuse	O
discussion	O
de	O
l’approche	O
diagrammatologique	O
de	O
Peirce,	O
à	O
laquelle	O
je	O
suis	O
fort	O
redevable.	O
Pour	O
une	O
prise	O
de	O
position	O
qui	O
envisage	O
l’écriture	O
comme	O
un	O
médium	O
recelant	O
