TOKEN	IOB
Les	O
examens	O
publics	O
représentaient	O
l’un	O
des	O
carrefours	O
les	O
plus	O
fréquentés	O
de	O
la	O
politique,	O
de	O
la	O
société,	O
de	O
l’économie	O
et	O
de	O
la	O
vie	O
intellectuelle	O
dans	O
la	O
Chine U-LOC
impériale	O
d’avant	O
l’époque	O
moderne.	O
Les	O
élites	O
locales	O
et	O
la	O
cour	O
impériale	O
usaient	O
continûment	O
de	O
leur	O
influence	O
pour	O
amener	O
le	O
pouvoir	O
dynastique	O
à	O
réviser	O
et	O
à	O
adapter	O
le	O
programme	O
classique,	O
ainsi	O
qu’à	O
examiner	O
de	O
nouvelles	O
améliorations	O
du	O
système	O
institutionnel	O
destiné	O
à	O
sélectionner	O
les	O
fonctionnaires.	O
Par	O
conséquent,	O
les	O
examens	O
publics,	O
en	O
tant	O
que	O
mise	O
à	O
l’épreuve	O
du	O
mérite	O
scolaire,	O
servaient	O
également	O
à	O
lier	O
la	O
culture	O
dynastique	O
et	O
la	O
culture	O
lettrée	O
par	O
le	O
moyen	O
de	O
la	O
bureaucratie.	O
Si	O
les	O
examens	O
publics	O
reflétaient	O
la	O
culture	O
des	O
lettrés,	O
évidemment	O
plus	O
riche,	O
c’est	O
que	O
les	O
institutions	O
de	O
l’État	O
en	O
étaient	O
déjà	O
pénétrées,	O
en	O
raison	O
de	O
la	O
nature	O
même	O
du	O
programme	O
de	O
classiques	O
établi	O
pour	O
la	O
sélection	O
des	O
fonctionnaires	O
Elman,	O
2000.	O
.	O
Culture	O
classique	O
et	O
institution	O
Gardons-nous	O
de	O
croire	O
que	O
les	O
examens	O
publics	O
de	O
l’époque	O
pré-moderne	O
furent	O
un	O
obstacle	O
à	O
la	O
construction	O
étatique	O
de	O
la	O
Chine U-LOC
moderne.	O
Une	O
éducation	O
classique	O
fondée	O
sur	O
des	O
théories	O
morales	O
et	O
politiques	O
non	O
techniques	O
convenait	O
tout	O
aussi	O
bien	O
à	O
la	O
sélection	O
des	O
élites,	O
qui	O
se	O
mettaient	O
au	O
service	O
de	O
l’État	O
impérial	O
à	O
ses	O
plus	O
hauts	O
échelons,	O
que	O
l’humanisme	O
et	O
l’éducation	O
classique	O
qui	O
remplissaient	O
le	O
même	O
office	O
auprès	O
des	O
élites	O
dans	O
les	O
États-nations	O
en	O
formation	O
au	O
début	O
de	O
l’Europe	O
moderne.	O
En	O
outre,	O
les	O
examens	O
classiques	O
étaient	O
une	O
puissante	O
construction	O
culturelle,	O
sociale,	O
politique	O
et	O
scolaire,	O
qui	O
répondait	O
aux	O
besoins	O
de	O
la	O
bureaucratie	O
dynastique	O
tout	O
en	O
soutenant	O
la	O
structure	O
sociale	O
des	O
derniers	O
siècles	O
de	O
l’Empire.	O
L’élite	O
de	O
la	O
petite	O
noblesse	O
et	O
des	O
marchands	O
se	O
définissait	O
en	O
partie	O
par	O
la	O
référence	O
que	O
constituait	O
le	O
titre	O
acquis	O
grâce	O
à	O
l’examen	O
Man-Cheong,	O
2004.	O
.	O
Les	O
examens	O
publics	O
eux-mêmes	O
n’ouvraient	O
guère	O
la	O
voie	O
à	O
une	O
importante	O
mobilité	O
sociale	O
:	O
ils	O
n’étaient	O
pas	O
l’occasion	O
pour	O
l’immense	O
majorité	O
des	O
paysans	O
et	O
des	O
artisans	O
de	O
quitter	O
les	O
classes	O
inférieures	O
pour	O
entrer	O
dans	O
les	O
cercles	O
de	O
l’élite.	O
Les	O
archives	O
indiquent	O
que	O
les	O
paysans,	O
les	O
commerçants	O
et	O
les	O
artisans,	O
qui	O
formaient	O
90	O
%	O
de	O
la	O
population,	O
étaient	O
une	O
part	O
négligeable	O
des	O
deux	O
ou	O
trois	O
millions	O
d’individus	O
qui	O
échouaient	O
régulièrement	O
aux	O
épreuves	O
diplômantes	O
organisées	O
localement	O
tous	O
les	O
deux	O
ans.	O
Il	O
demeure	O
qu’une	O
retombée	O
sociale	O
en	O
était	O
la	O
circulation	O
