Le	O
xvi	O
e	O
siècle	O
avait	O
postulé	O
une	O
continuité	O
et	O
une	O
forme	O
d’universalisme	O
unissant	O
le	O
goût	O
antique	O
au	O
goût	O
moderne	O
pour	O
légitimer	O
son	O
mouvement	O
de	O
retour	O
à	O
l’antique	O
;	O
les	O
débats	O
qui	O
s’ouvrent	O
en	O
France	U-LOC
à	O
partir	O
de	O
la	O
querelle	O
du	O
Cid	U-MISC
autour	O
de	O
la	O
Poétique	U-LOC
d’Aristote,	O
au	O
contraire,	O
mettent	O
en	O
avant	O
une	O
rupture	O
entre	O
les	O
deux	O
périodes,	O
rupture	O
qui	O
menaçait,	O
si	O
l’on	O
suivait	O
le	O
clan	O
des	O
Modernes,	U-MISC
de	O
rendre	O
illisibles	O
et	O
obsolètes	O
les	O
grands	O
modèles	O
grecs	O
Voir,	O
en	O
particulier,	O
l’évolution	O
des	O
termes	O
du	O
débat	O
entre	O
la	O
querelle	O
du	O
Cid	U-MISC
et	O
la	O
querelle	O
d’Alceste.	O
C’est	O
en	O
fait	O
avec	O
les	O
créations	O
d’	O
H	U-PER
orace	O
et	O
de	O
Sophonisbe	U-PER
que	O
Corneille	U-PER
affûte	O
l’argument	O
relativiste,	O
pour	O
le	O
rendre	O
plus	O
efficace	O
contre	O
D’Aubignac	U-MISC
et	O
Donneau	U-LOC
de	O
Visé	U-LOC
(voir	O
en	O
particulier	O
l’«	O
Avis	U-MISC
au	O
lecteur	O
»	O
de	O
Sophonisbe).	U-LOC
De	O
cette	O
querelle	O
entre	O
les	O
Anciens	U-LOC
et	O
les	O
Modernes,	U-MISC
Molière	U-PER
donne	O
un	O
résumé,	O
certes	O
simplifié	O
à	O
l’extrême,	O
dans	O
le	O
Malade	B-MISC
imaginaire	L-MISC
(Acte	O
II,	U-PER
scène	O
6)	O
:	O
«	O
Les	O
Anciens	U-LOC
sont	O
les	O
Anciens,	U-LOC
et	O
nous	O
sommes	O
les	O
gens	O
de	O
maintenant.	O
»	O
.	O
Dès	O
ce	O
moment,	O
on	O
le	O
voit,	O
les	O
dés	O
sont	O
pipés,	O
puisque	O
c’est	U-MISC
pour	O
légitimer	O
ou	O
refuser	O
les	O
lectures	O
aristotéliciennes	O
du	O
théâtre	O
français	O
que	O
Chapelain,	B-PER
Corneille	L-PER
et	O
les	O
théoriciens	O
qui	O
leur	O
emboîtent	O
le	O
pas	O
invoquent	O
les	O
modèles	O
d’	O
Eschyle	U-PER
,	O
de	O
Sophocle	U-PER
ou	O
d’	O
Euripide	U-PER
,	O
fourrant	O
dans	O
un	O
même	O
sac	O
cet	O
ensemble	O
hétérogène	O
que	O
l’on	O
appelle	O
commodément	O
les	O
Anciens,	U-LOC
et	O
qui	O
va	O
d’	O
Homère	U-PER
à	O
Augustin.	U-PER
Se	O
constitue	O
alors	O
un	O
discours	O
visant	O
à	O
réduire	O
l’écart	O
entre	O
Eschyle	U-PER
et	O
Aristote	U-PER
,	O
et	O
à	O
faire	O
de	O
ce	O
dernier	O
le	O
législateur	O
d’une	O
tragédie	O
pourtant	O
morte	O
avant	O
lui	O
–	O
Aristote	U-PER
et	O
Eschyle	U-PER
se	O
trouvant	O
mis,	O
en	O
quelque	O
sorte,	O
sur	O
un	O
pied	O
d’égalité	O
et	O
promus	O
au	O
rang	O
d’inventeurs	O
de	O
la	O
tragédie	O
classique	O
française.	O
Les	B-MISC
réflexions	I-MISC
de	I-MISC
l’abbé	I-MISC
Brumoy	I-MISC
sur	I-MISC
la	I-MISC
naissance	I-MISC
de	I-MISC
la	I-MISC
tragédie,	I-MISC
inspirées	L-MISC
de	O
Plutarque	U-PER
(Propos	O
de	O
table,	O
I,	U-LOC
1)	O
et	O
d’Aristote	O
(Poétique,	O
chap.	O
XI),	U-MISC
opèrent,	O
en	O
1730,	O
une	O
synthèse	O
intéressante,	O
parce	O
qu’elle	O
se	O
veut	O
globalisante,	O
des	O
différentes	O
pistes	O
avancées	O
par	O
le	O
siècle	O
précédant.	O
Elles	O
me	O
paraissent	O
exemplaires	O
de	O
la	O
manière	O
dont	O
le	O
classicisme	O
français	O
pense	O
l’origine	O
du	O
théâtre	O
et	O
la	O
notion	O
d’invention,	O
liées	O
à	O
ce	O
qui	O
n’est	O
pas	O
théorisé	O
en	O
termes	O
de	O
civilisation,	O
mais	O
de	O
poli	O
(ou	O
de	O
polissage)	O
–	O
une	O
origine	O
construite	O
a	O
posteriori,	O
destinée	O
paradoxalement	O
à	O
justifier	O
une	O
linéarité	O
qui	O
conduit	O
à	O
un	O
double	O
geste	O
:	O
proclamer	O
à	O
la	O
fois	O
et	O
dans	O
le	O
même	O
temps	O
la	O
continuité	O
de	O
la	O
Grèce	U-LOC
classique	O
à	O
la	B-LOC
France	L-LOC
du	O
xvii	O
e	O
siècle,	O
et	O
la	O
direction	O
d’un	O
progrès	O
qui	O
ne	O
peut	O
que	O
sacrer	O
les	O
Français	U-LOC
rois	O
d’un	O
genre	O
inauguré	O
par	O
leurs	O
illustres	O
ancêtres,	O
et	O
porté	O
par	O
eux	O
à	O
son	O
apogée.	O
Cette	O
double	O
stratégie	O
est	O
destinée	O
chez	O
Brumoy	U-PER
à	O
sortir	O
de	O
l’aporie	O
installée	O
par	O
la	O
querelle	O
entre	O
le	O
parti	B-ORG
des	I-ORG
Anciens	L-ORG
et	O
celui	O
des	O
Modernes	B-MISC
(mettant	L-MISC
face	O
à	O
face	O
une	O
fidélité	O
aux	O
Anciens	U-LOC
qui	O
semble	O
condamner	O
les	O
dramaturges	O
à	O
une	O
fixité	O
formelle	O
et	O
une	O
modernité	O
qui	O
les	O
soumet	O
au	O
relativisme	O
du	O
goût	O
d’un	O
public	O
ignorant)	O
;	O
elle	O
s’appuie	O
sur	O
la	O
théorisation	O
d’un	O
relativisme	O
nuancé,	O
qui	O
permet	O
