La	O
journée	O
d’étude	O
à	O
l’origine	O
de	O
cette	O
publication	O
était	O
consacrée	O
à	O
une	O
critique	O
de	O
la	O
civilisation	O
gréco-romaine,	O
comme	O
modèle,	O
implicite	O
ou	O
non,	O
de	O
toute	O
civilisation.	O
Ce	O
qui	O
impliquait	O
en	O
même	O
temps	O
de	O
réexaminer	O
cette	O
notion	O
de	O
civilisation,	O
utilisée	O
aussi	O
bien	O
par	O
les	O
enseignants	O
et	O
chercheurs	O
en	O
sciences	O
humaines	O
et	O
sociales	O
–	O
le	O
fameux	O
intitulé	O
«	O
langue	O
et	O
civilisation	O
»	O
des	O
cursus	O
–	O
que	O
par	O
les	O
médias	O
d’opinion,	U-MISC
dont	O
le	O
fameux	O
«	O
Nous	B-MISC
autres,	L-MISC
civilisations,	O
nous	O
savons	O
maintenant	O
que	O
nous	O
sommes	O
mortelles	O
»	O
de	O
Paul	B-PER
Valéry,	L-PER
dans	O
la	O
Crise	B-MISC
de	I-MISC
l’esprit	L-MISC
(1919),	O
fut	O
le	O
prélude	O
élégant	O
à	O
The	B-ORG
Clash	I-ORG
of	I-ORG
Civilizations	I-ORG
and	I-ORG
the	I-ORG
Remaking	I-ORG
of	I-ORG
World	I-ORG
Order	L-ORG
de	O
Samuel	B-PER
P.	I-PER
Huntington	L-PER
paru	O
en	O
1996.	O
Il	O
n’échappe	O
à	O
personne	O
qu’aujourd’hui	O
employer	O
le	O
mot	O
de	O
civilisation	O
dans	O
l’espace	O
médiatique	O
est	O
devenu	O
problématique.	O
On	O
se	O
souvient	O
de	O
Claude	B-PER
Guéant	L-PER
,	O
alors	O
ministre	O
de	O
l’Intérieur	O
du	O
gouvernement	O
Fillon,	U-MISC
(le	O
dimanche	O
5	O
février	O
2012)	U-PER
déclarant	O
«	O
que	O
toutes	O
les	O
civilisations	O
ne	O
se	O
valent	O
pas	O
»,	U-PER
lors	O
d’un	O
énième	O
débat	O
médiatique	O
sur	O
le	O
port	O
du	O
voile.	O
Le	B-ORG
Figaro	L-ORG
avait	O
alors	O
demandé	O
à	O
quelques	O
anthropologues	O
pourquoi	O
ce	O
terme	O
était	O
controversé	O
au	O
point	O
qu’ils	O
évitaient	O
soigneusement	O
de	O
l’utiliser	O
depuis	O
50	O
ans	O
et	O
préféraient	O
parler	O
de	O
cultures.	O
François	B-PER
Flahault	I-PER
Anthropologue	L-PER
directeur	O
de	O
recherche	O
émérite	O
au	O
CNRS.	U-LOC
répondit	O
que	O
ce	O
terme	O
[de	O
culture]	O
était	O
le	O
plus	O
«	O
approprié	O
»	O
pour	O
désigner	O
«	O
tout	O
ce	O
que	O
les	O
générations	O
humaines	O
se	O
transmettent	O
les	O
unes	O
aux	O
autres	O
de	O
manière	O
non	O
biologique	O
».	U-MISC
Pour	O
Marc	B-PER
Crépon	I-PER
Philosophe	L-PER
à	O
l’ENS	O
(Paris).	O
,	O
«	O
le	O
terme	O
de	O
civilisation	O
était	O
difficilement	O
dissociable	O
des	O
idéologies	O
les	O
plus	O
meurtrières	O
du	O
xx	O
e	O
siècle	O
qui	O
avaient	O
une	O
idée	O
très	O
précise	O
de	O
la	O
hiérarchie	O
des	O
civilisations	O
et	O
de	O
leur	O
différence	O
de	O
valeur.	O
»	O
Alfred	B-PER
Grosser	I-PER
Historien.	L-PER
répliquait	O
à	O
Claude	B-PER
Guéant	L-PER
que	O
son	O
jugement	O
de	O
valeur	O
qui	O
laissait	O
supposer	O
des	O
hiérarchies	O
entre	O
civilisations	O
sous-entendait	O
que	O
la	O
civilisation	O
islamique	O
est	O
inférieure	O
à	O
la	O
civilisation	O
française.	O
Claude	B-PER
Guéant	L-PER
s’attaquait	O
implicitement	O
aux	O
musulmans	O
de	B-LOC
France	L-LOC
,	O
mais	O
la	O
défense	O
de	O
Grosser	U-PER
est	O
désastreuse	O
:	O
il	O
est	O
impossible	O
de	O
comparer	O
la	O
civilisation	O
française,	O
nationale,	O
à	O
une	O
civilisation	O
islamique,	O
religieuse,	O
en	O
supposant	O
que	O
l’une	U-MISC
et	O
l’autre	O
expressions	O
recouvrent	O
la	O
moindre	O
réalité.	O
Maurice	B-PER
Godelier	I-PER
Directeur	L-PER
d’études	O
émérite	O
à	O
l’EHESS.	O
distinguait,	O
à	O
son	O
tour,	O
culture	O
et	O
civilisation	O
de	O
la	O
façon	O
suivante	O
:	O
Contrairement	O
à	O
la	O
«	O
culture	O
»,	U-LOC
la	O
«	O
civilisation	O
»	O
ne	O
peut	O
être	O
pensée	O
seule,	O
car	O
elle	O
comporte	O
toujours	O
implicitement	O
un	O
jugement	O
de	O
valeur	O
en	O
opposition	O
à	O
un	O
autre,	O
plus	O
barbare	O
;	O
par	O
exemple,	O
dans	O
«	O
civilisation	O
»	O
il	O
y	O
a	O
civis	O
,	O
