Comme	U-MISC
elle	O
allait	O
être	O
condamnée,	O
il	O
la	O
fit	O
avancer	O
au	O
milieu	O
de	O
la	O
salle	O
(εἰς	O
μέσον)	U-ORG
et,	U-MISC
ayant	O
déchiré	O
son	O
vêtement,	O
il	O
exhiba	O
(ἐπέδειξε)	U-MISC
la	O
poitrine	O
de	O
la	O
femme.	O
Quand	O
les	O
juges	O
virent	O
(ἀπιδόντων)	U-MISC
sa	O
beauté,	O
ils	O
l’acquittèrent	O
Plutarque,	B-MISC
Vie	I-MISC
des	I-MISC
dix	I-MISC
orateurs,	L-MISC
Hypéride,	B-MISC
20	L-MISC
:	O
Moralia,	B-MISC
849e	L-MISC
:	O
Μελλούσης	B-MISC
δ'	I-MISC
αὐτῆς	L-MISC
ἁλίσκεσθαι,	O
παραγαγὼν	O
εἰς	O
μέσον	O
καὶ	O
περιρρήξας	O
τὴν	O
ἐσθῆτα	O
ἐπέδειξε	O
τὰ	O
στέρνατῆς	U-MISC
γυναικός,	O
καὶ	O
τῶν	O
δικαστῶν	O
εἰς	O
τὸ	O
κάλλος	O
ἀπιδόντων	O
ἀφείθη.	O
.	O
Fig.	B-ORG
1	L-ORG
:	O
Phryné	U-PER
devant	O
l’Aréopage.	O
Jean-Léon	B-PER
Gérôme,	I-PER
Hamburg,	L-PER
Kunsthalle,	O
1861.	O
C’est	O
ainsi	O
que	O
le	O
Pseudo-Plutarque	U-ORG
expose	O
la	O
stratégie	O
utilisée	O
par	O
Hypéride	U-PER
pour	O
défendre	O
Phryné	U-PER
,	O
courtisane	O
accusée	O
d’impiété	O
dans	O
les	O
années	O
340-330	O
Sur	O
les	O
trois	O
chefs	O
d’inculpation	O
précis,	O
voir	O
Foucart	U-PER
1902.	O
Pour	B-MISC
la	I-MISC
date,	I-MISC
voir	I-MISC
la	I-MISC
bibliographie	I-MISC
exposée	L-MISC
par	O
Gianfranco	B-PER
Bartolini	L-PER
(1977,	O
p.	O
117-118).	O
.	O
La	O
présentation	O
du	O
corps	O
de	O
l’hétaïre	O
apparaît	O
comme	O
une	O
«	O
arme	O
rhétorique	O
redoutable	O
Gherchanoc	U-MISC
2012,	O
p.	O
207.	O
L’ensemble	O
de	O
l’article	O
analyse	O
les	O
raisons	O
qui	O
font	O
de	O
