Après	O
avoir	O
été	O
injustement	O
soupçonné	O
de	O
tremper	O
dans	O
un	O
complot	O
contre	O
les	O
Médicis	U-PER
et	O
écarté	O
de	O
la	O
vie	O
politique	O
active	O
qu’il	O
aimait	O
tant,	O
Machiavel	U-PER
(1469-1527)	O
fut	O
pour	O
ainsi	O
dire	O
placé	O
en	O
«	O
résidence	O
surveillée	O
»	O
dans	O
sa	O
propriété	O
familiale	O
de	O
Sant’Andrea	B-ORG
in	I-ORG
Percussina	L-ORG
,	O
à	O
une	O
quinzaine	O
de	O
kilomètres	O
au	O
sud	O
de	O
Florence	U-LOC
.	O
À	O
quoi	O
occupe-t-il	O
donc	O
sa	O
soirée,	O
après	O
avoir	O
lu	O
de	O
la	O
poésie	O
légère	O
dans	O
la	O
matinée,	O
vaqué	O
à	O
ses	O
occupations	O
dans	O
la	O
journée,	O
puis	O
dîné,	O
être	O
allé	O
à	O
l’auberge,	U-ORG
avoir	O
plaisanté	O
et	O
joué	O
aux	O
cartes	O
avec	O
ses	O
amis	O
?	O
Voici	O
ce	O
qu’il	O
écrit,	O
le	O
10	O
décembre	O
1513,	O
à	O
son	O
très	O
cher	O
ami	O
Francesco	B-PER
Vettori	L-PER
:	O
Le	O
soir	O
tombe,	O
je	O
retourne	O
au	O
logis.	O
Je	O
pénètre	O
dans	O
mon	O
cabinet	O
et,	U-MISC
dès	O
le	O
seuil,	O
je	O
me	O
dépouille	O
de	O
la	O
défroque	O
de	O
tous	O
les	O
jours,	O
couverte	O
de	O
fange	O
et	O
de	O
boue,	O
pour	O
revêtir	O
des	O
habits	O
de	O
cour	O
royale	O
et	O
pontificale	O
;	O
ainsi	O
honorablement	O
accoutré,	O
j’entre	O
dans	O
les	O
cours	O
antiques	O
des	O
hommes	O
de	O
l’Antiquité.	O
Là,	U-MISC
accueilli	O
avec	O
affabilité	O
par	O
eux,	O
je	O
me	O
repais	O
de	O
l’aliment	O
qui	O
par	O
excellence	O
est	O
le	O
mien,	O
et	O
pour	O
lequel	O
je	O
suis	O
né.	O
Là,	U-MISC
nulle	O
honte	O
à	O
parler	O
avec	O
eux,	O
à	O
les	O
interroger	O
sur	O
les	O
mobiles	O
de	O
leurs	O
actions,	O
et	O
eux,	O
en	O
vertu	O
de	O
leur	O
humanité,	O
ils	O
me	O
répondent.	O
Et,	U-MISC
durant	O
quatre	O
heures	O
de	O
temps,	O
je	O
ne	O
sens	O
pas	O
le	O
moindre	O
ennui,	O
j’oublie	O
tous	O
mes	O
tourments,	O
je	O
cesse	O
